FONTE,TIPO,ID_LATTES,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL/LIVRO,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,Comparativo de Desempenho entre Bancos de Dados de Código Livre,2006,Português,Anais / II Escola Regional de Banco de Dados - ERBD 2006,Passo Fundo,2006,"['PIRES, C. E. S.;PIRES, C. E.;PIRES, CARLOS EDUARDO SANTOS;PIRES, CARLOS EDUARDO;PIRES, CARLOS EDUARDO S.;SANTOS PIRES, CARLOS EDUARDO;PIRES, CARLOS E. and', 'NASCIMENTO, R. O. and', 'SALGADO, A. C. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,RESUMO,Data Management in P2P Systems,2006,Português,Anais do XXI Simpósio Brasileiro de Banco de Dados,Florianópolis,2006,"['PIRES, C. E. S.;PIRES, C. E.;PIRES, CARLOS EDUARDO SANTOS;PIRES, CARLOS EDUARDO;PIRES, CARLOS EDUARDO S.;SANTOS PIRES, CARLOS EDUARDO;PIRES, CARLOS E. and', 'LÓSCIO, B. F. and', 'SALGADO, A. C. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,Semantic-based Connectivity in a Peer Data Management System,2007,Português,VI WTDBD - Workshop de Teses e Dissertações em Bancos de Dados,João Pessoa,2007,"['PIRES, C. E. S.;PIRES, C. E.;PIRES, CARLOS EDUARDO SANTOS;PIRES, CARLOS EDUARDO;PIRES, CARLOS EDUARDO S.;SANTOS PIRES, CARLOS EDUARDO;PIRES, CARLOS E. and', 'SALGADO, A. C. and', 'LÓSCIO, B. F. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,A Semantic-based Ontology Matching Process for PDMS,2009,Inglês,2nd International Conference on Data Management in Grid and P2P Systems,Linz,2009,"['PIRES, C. E. S.;PIRES, C. E.;PIRES, CARLOS EDUARDO SANTOS;PIRES, CARLOS EDUARDO;PIRES, CARLOS EDUARDO S.;SANTOS PIRES, CARLOS EDUARDO;PIRES, CARLOS E. and', 'SOUZA, D. and', 'PACHECO, T. and', 'SALGADO, A. C. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,Using Semantics in Peer Data Management Systems,2009,Inglês,"Colloquium of Computation: Brazil / INRIA, Cooperations, Advances and Challenges",Bento Gonçalves,2009,"['PIRES, C. E. S.;PIRES, C. E.;PIRES, CARLOS EDUARDO SANTOS;PIRES, CARLOS EDUARDO;PIRES, CARLOS EDUARDO S.;SANTOS PIRES, CARLOS EDUARDO;PIRES, CARLOS E. and', 'SOUZA, D. and', 'KEDAD, Z. and', 'BOUZEGHOUB, M. and', 'SALGADO, A. C. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,RESUMO_EXPANDIDO,SemMatcher: A Tool for Matching Ontology-based Schemas,2009,Inglês,6th Demo Session,Fortaleza,2009,"['PIRES, C. E. S.;PIRES, C. E.;PIRES, CARLOS EDUARDO SANTOS;PIRES, CARLOS EDUARDO;PIRES, CARLOS EDUARDO S.;SANTOS PIRES, CARLOS EDUARDO;PIRES, CARLOS E. and', 'SOUZA, D. and', 'PACHECO, T. and', 'SALGADO, A. C. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,Summarizing Ontology-based Schemas in PDMS,2010,Inglês,International Workshop on Data Engineering meets the Semantic Web,"Long Beach, CA, USA",2010,"['PIRES, C. E. S.;PIRES, C. E.;PIRES, CARLOS EDUARDO SANTOS;PIRES, CARLOS EDUARDO;PIRES, CARLOS EDUARDO S.;SANTOS PIRES, CARLOS EDUARDO;PIRES, CARLOS E. and', 'SOUSA, P. and', 'KEDAD, Z. and', 'SALGADO, A. C. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,RESUMO_EXPANDIDO,Uma Ferramenta de Sumarização de Esquemas Representados por Ontologias (Best Paper Award),2010,Português,7th Demo Session,Belo Horizonte,2010,"['SOUSA, P. and', 'PIRES, C. E. S.;PIRES, C. E.;PIRES, CARLOS EDUARDO SANTOS;PIRES, CARLOS EDUARDO;PIRES, CARLOS EDUARDO S.;SANTOS PIRES, CARLOS EDUARDO;PIRES, CARLOS E. and', 'SALGADO, A. C. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,RESUMO_EXPANDIDO,Uma Ferramenta para Geração de Esquemas Sintéticos de Bancos de Dados para Simulações P2P,2011,Português,Escola Paraibana de Informática,João Pessoa,2011,"['VIEIRA, P. K. M. and', 'SARAIVA, M. C. and', 'PIRES, C. E. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,Data Warehouse de Trajetórias: um Modelo com Suporte à Agregação por Direção dos Movimentos,2011,Português,Anais do VII Simpósio Brasileiro de Sistemas de Informação ? SBSI 2011,Salvador,2011,"['ALMEIDA, C. A. S. and', 'PIRES, C. E. and', 'SCHIEL, U. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,Using Ontologies to Enhance Data Management in Distributed Environments,2011,Português,Iberoamerican Meeting on Ontological Research,Gramado,2011,"['PIRES, C. E. and', 'SOUZA, D. and', 'LÓSCIO, B. F. and', 'BELIAN, R. B. and', 'TEDESCO, P. and', 'SALGADO, A. C. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,Exploring Web Semantic Knowledge and User Feedback to Improve Ontology Matching,2011,Inglês,10th International Workshop on Web Semantics (WebS'11),Toulouse,2011,"['PACHECO, T. and', 'PIRES, C. E. and', 'SALGADO, A. C. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,Uma Solução Baseada em Software Livre para Detecção e Avaliação de Cola em Provas Escolares,2011,Português,Anais do 12o Workshop de Software Livre,Porto Alegre,2011,"['CAVALCANTI, E. R. and', 'PIRES, C. E. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,Using OGC services to interoperate spatial sata stored in SQL and NoSQL databases,2011,Inglês,"Anais do 12º Simpósio Brasileiro de Geoinformática, Campos do Jordão, SP",Campos do Jordão,2011,"['BAPTISTA, C. S. and', 'LIMA JUNIOR, O. F. and', 'OLIVEIRA, M. G. and', 'ANDRADE, F. G. and', 'SILVA, T. E. and', 'PIRES, C. E. S. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,A Static Analysis-based Approach to Suggest Improvements for Stored Procedures,2012,Inglês,Anais do XVI Simpósio Brasileiro de Linguagens de Programação (SBLP'12),Natal,2012,"['NASCIMENTO FILHO, D. C. and', 'MASSONI, T. L. and', 'PIRES, C. E. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,RESUMO_EXPANDIDO,Uma Abordagem Baseada em Análise Estática para Sugerir Melhorias em Procedimentos Armazenados em Banco de Dados,2012,Português,Anais do II Workshop de Teses e Dissertações do CBSoft (WTDSoft'12),Natal,2012,"['NASCIMENTO FILHO, D. C. and', 'MASSONI, T. L. and', 'PIRES, C. E. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,RESUMO_EXPANDIDO,Improving location recommendations with temporal pattern extraction,2012,Inglês,,,,"['MARINHO, L. B. and', 'NUNES, I. D. C. O. and', 'SANDHOLM, T. and', 'NOBREGA, C. S. B. and', 'ARAUJO, J. E. S. and', 'PIRES, C. E. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,Learning Synonym Relations from Folksonomies,2012,Inglês,Anais do IADIS International Conferene WWW/Internet,Madrid,2012,"['REGO, A. S. C. and', 'MARINHO, L. B. and', 'PIRES, C. E. S. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,RESUMO_EXPANDIDO,Early Classification: A New Heuristic to Improve the Classification Step of K-Means (best paper award),2012,Português,Proceedings of the 27th Brazilian Symposium on Databases,São Paulo,2012,"['PEREZ, J. and', 'PIRES, C. E. and', 'MARINHO, L. B. and', 'MEXICANO, A. and', 'HIDALGO, M. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,PL/SQL Advisor: a Static Analysis-based Tool to Suggest Improvements for Stored Procedures,2013,Inglês,Anais do IX Simpósio Brasileiro de Sistemas de Informação,João Pessoa,2013,"['NASCIMENTO FILHO, D. C. and', 'PIRES, C. E. and', 'MASSONI, T. L. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,Improving load balancing for MapReduce-based entity matching,2013,Inglês,2013 IEEE Symposium on Computers and Communications (ISCC),Split,,"['MESTRE, DEMETRIO GOMES and', 'PIRES, CARLOS EDUARDO SANTOS and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,An Adaptive Blocking Approach for Entity Matching with MapReduce,2013,Português,Anais do Workshop de Teses e Dissertações em Banco de Dados,Recife,2013,"['MESTRE, D. G. and', 'PIRES, C. E. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,Recomendação de Consultas de Banco de Dados utilizando Agrupamentos de Usuários,2013,Português,Anais do Workshop de Teses e Dissertações em Banco de Dados,Recife,2013,"['SARAIVA, M. C. and', 'PIRES, C. E. and', 'MARINHO, L. B. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,RESUMO_EXPANDIDO,Efficient Entity Maching over Multiple Data Sources with MapReduce,2013,Português,Anais do 28o Simpósio Brasileiro de Banco de Dados,Recife,2013,"['MESTRE, D. G. and', 'PIRES, C. E. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,Uma Abordagem para Aprimoramento do Balanceamento de Carga do Método de Resolução de Entidades Standard Blocking baseado em MapReduce,2014,Português,Anais do WSCAD-CTD,São José dos Campos,2014,"['MESTRE, D. G. and', 'PIRES, C. E. S. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,A supervised learning approach to detect subsumption relations between tags in folksonomies,2015,Inglês,Proceedings of the 30th Annual ACM Symposium on Applied Computing - SAC &amp;apos;15,Salamanca,,"['RÊGO, ALEX SANDRO C. and', 'MARINHO, LEANDRO BALBY and', 'PIRES, CARLOS EDUARDO S. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,Adaptive sorted neighborhood blocking for entity matching with MapReduce,2015,Inglês,Proceedings of the 30th Annual ACM Symposium on Applied Computing - SAC &amp;apos;15,Salamanca,,"['MESTRE, DEMETRIO GOMES and', 'PIRES, CARLOS EDUARDO and', 'NASCIMENTO, DIMAS C. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,A data quality-aware cloud service based on metaheuristic and machine learning provisioning algorithms,2015,Inglês,Proceedings of the 30th Annual ACM Symposium on Applied Computing - SAC &amp;apos;15,Salamanca,,"['NASCIMENTO, DIMAS C. and', 'PIRES, CARLOS EDUARDO and', 'MESTRE, DEMETRIO GOMES and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,RESUMO_EXPANDIDO,Uma Abordagem para Matching de Grandes Ontologias usando MapReduce,2015,Português,Anais do 30o Simpósio Brasileiro de Banco de Dados,Petrópolis,2015,"['ARAUJO, T. B. and', 'PIRES, C. E. S. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,RESUMO_EXPANDIDO,Uma Abordagem para Aprimoramento do Balanceamento de Carga do Método de Resolução de Entidades Standard Blocking baseado em MapReduce,2015,Português,Anais do SBBD-CTD,Petrópolis,2015,"['MESTRE, D. G. and', 'PIRES, C. E. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,RESUMO_EXPANDIDO,Avaliação Empírica de Técnicas de Comparação Privada Aplicadas na Resolução de Entidades,2016,Português,Anais do 31o Simpósio Brasileiro de Banco de Dados,Salvador,2016,"['NOBREGA, T. P. and', 'PIRES, C. E. S. and', 'ARAUJO, T. B. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,RESUMO_EXPANDIDO,A Data Quality-aware Cloud Service,2016,Português,Anais dos Eventos Satélites do 31o Simpósio Brasileiro de Banco de Dados,Salvador,2016,"['NASCIMENTO, DIMAS C. and', 'PIRES, C. E. S. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,A Linked Open Data Approach for Feature Based Diversification in Music Recommendation Systems,2016,Português,"Proceedings of the 4th Symposium on Knowledge Discovery, Mining and Learning",Recife,2016,"['NOBREGA, C. S. B. and', 'OLIVEIRA, R. and', 'MARINHO, L. B. and', 'ANDRADE, N. F. and', 'PIRES, C. E. S. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,Spark-based Streamlined Metablocking,2017,Inglês,2017 IEEE Symposium on Computers and Communications (ISCC),Heraklion,2017,"['ARAUJO, TIAGO BRASILEIRO and', 'PIRES, CARLOS EDUARDO SANTOS and', 'DA NOBREGA, THIAGO PEREIRA and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,RESUMO_EXPANDIDO,Towards Reliable Data Analyses for Smart Cities,2017,Português,Proceedings of the 21st International Database Engineering &amp;amp; Applications Symposium on  - IDEAS 2017,Bristol,2017,"['ARAÚJO, TIAGO BRASILEIRO and', 'CAPPIELLO, CINZIA and', 'KOZIEVITCH, NADIA PUCHALSKI and', 'MESTRE, DEMETRIO GOMES and', 'PIRES, CARLOS EDUARDO SANTOS and', 'VITALI, MONICA and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,Blind attribute pairing for privacy-preserving record linkage,2018,Português,Proceedings of the 33rd Annual ACM Symposium on Applied Computing - SAC &amp;apos;18,Pau,2018,"['DA NÓBREGA, THIAGO PEREIRA and', 'PIRES, CARLOS EDUARDO S. and', 'ARAÚJO, TIAGO BRASILEIRO and', 'MESTRE, DEMETRIO GOMES and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,GIS and Data: Three Applications to Enhance Mobility,2018,Inglês,Proc. of Brazilian Symposium on GeoInformatics (GEOINFO),Campina Grande,2018,"['ALIC, A. S. and', 'BRAZ, T. and', 'BRITO, A. and', 'PIRES, C. E. and', 'ANTUNES, N. and', 'VIEIRA, M. and', 'SILVA, P. and', 'ARDAGNA, D. and', 'FONSECA, K. and', 'LEZZI, D. and', 'ELIA, D. and', 'ALMEIDA, J. and', 'MORAES, R. and', 'BASSO, T. and', 'CAVASSIN, W. H. and', 'MEIRA JR., W. and', 'GUEDES, D. and', 'SANTOS, W. and', 'BLANQUER, I. and', 'FIORI, S. and', 'KOZIEVITCH, N. P. and', 'ANDRADE, NAZARENO and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,A noise tolerant and schema-agnostic blocking technique for entity resolution,2019,Português,Proceedings of the 34th ACM/SIGAPP Symposium on Applied Computing - SAC &amp;apos;19,Limassol,2019,"['ARAÚJO, TIAGO BRASILEIRO and', 'PIRES, CARLOS EDUARDO SANTOS and', 'MESTRE, DEMETRIO GOMES and', 'NÓBREGA, THIAGO PEREIRA DA and', 'NASCIMENTO, DIMAS CASSIMIRO DO and', 'STEFANIDIS, KOSTAS and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,A Parallel-based Map Matching Approach over Urban Place Records,2019,Inglês,Anais do Simpósio Brasileiro de Banco de Dados (SBBD),Fortaleza,2019,"['ARAÚJO, TIAGO BRASILEIRO and', 'PIRES, CARLOS EDUARDO SANTOS and', 'MESTRE, DEMETRIO GOMES and', 'DE QUEIROZ, ANDREZA RAQUEL MONTEIRO and', 'SANTOS, VERUSKA BORGES and', 'DA NÓBREGA, THIAGO PEREIRA and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,RESUMO_EXPANDIDO,Conformity Analysis of GTFS Routes and Bus Trajectories,2019,Inglês,Anais do Simpósio Brasileiro de Banco de Dados (SBBD),Fortaleza,2019,"['QUEIROZ, ANDREZA RAQUEL M. and', 'SANTOS, VERUSKA B. and', 'NASCIMENTO, DIMAS C. and', 'PIRES, CARLOS EDUARDO S. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,RESUMO_EXPANDIDO,OndeBus: uma Aplicação de Monitoramento e Detecção de Aglomerados de Ônibus,2019,Português,Anais do 34o Simpósio Brasileiro de Banco de Dados,Fortaleza,2019,"['SANTOS, V. B. and', 'OLIVEIRA, L. F. and', 'MESTRE, D. G. and', 'QUEIROZ, A. R. M. and', 'PIRES, C. E. S. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,RESUMO_EXPANDIDO,Parallel Blocking for Entity Resolution over Heterogeneous Data,2019,Inglês,Anais dos Eventos Satélites do 34o Simpósio Brasileiro de Banco de Dados,Fortaleza,2019,"['ARAUJO, T. B. and', 'PIRES, C. E. S. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,RESUMO_EXPANDIDO,Usando Aprendizagem de Máquina para Predizer a Ocorrência de Aglomerados de Ônibus em Tempo Real,2019,Português,Anais dos Eventos Satélites do 34o Simpósio Brasileiro de Banco de Dados,Fortaleza,2019,"['SANTOS, V. B. and', 'PIRES, C. E. S. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,RESUMO_EXPANDIDO,Avaliação de Confiabilidade das Viagens de Ônibus com base na Conformidade entre Dados de GPS e GTFS,2019,Português,Anais dos Eventos Satélites do 34o Simpósio Brasileiro de Banco de Dados,Fortaleza,2019,"['QUEIROZ, A. R. M. and', 'PIRES, C. E. S. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,RESUMO,Noisy-aware Blocking over Heterogeneous Data,2018,Português,"Proceedings of the ISWC 2018 Posters &amp; Demonstrations, Industry and Blue Sky Ideas Tracks",Monterey,2018,"['ARAUJO, T. B. and', 'PIRES, C. E. S. and', 'STEFANIDIS, K. and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,RESUMO_EXPANDIDO,Incremental Blocking for Entity Resolution over Web Streaming Data,2019,Português,IEEE/WIC/ACM International Conference on Web Intelligence on  - WI &amp;apos;19,Thessaloniki,2019,"['BRASILEIRO ARAÚJO, TIAGO and', 'STEFANIDIS, KOSTAS and', 'SANTOS PIRES, CARLOS EDUARDO and', 'NUMMENMAA, JYRKI and', 'PEREIRA DA NÓBREGA, THIAGO and']"
LATTES,TRAB.EVENTO,4986021622366786,Carlos Eduardo Santos Pires,COMPLETO,Generating Sample Database Schemas for Simulation Purposes,2011,Inglês,22nd International Conference on Database and Expert Systems Applications (DEXA'11),Toulouse,2011,"['PIRES, C. E. and', 'VIEIRA, P. K. M. and', 'SARAIVA, M. C. and', 'BARBOSA, D. and']"
