FONTE,TIPO,ID_LATTES,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,5628596240762051,Holisson Soares da Cunha,COMPLETO,Info.edu: Novos Talentos no Pampa Laboratório de Construção de Sites em Abordagem Participativa,2011,Português,29º Seminário de Extensão Universitária da Região Sul,Foz do Iguaçu,2011,"['MOMBACH, J. G. and', 'CUNHA, H. S. and', 'MELO, A. M. and']"
LATTES,TRAB.EVENTO,5628596240762051,Holisson Soares da Cunha,RESUMO_EXPANDIDO,Extensão Universitária como Prática Pedagógica de Interação Humano-Computador,2011,Português,Workshop Sobre Ensino de IHC,Porto de Galinhas,2011,"['MELO, A. M. and', 'CUNHA, H. S. and', 'SALDANHA, J. F. and', 'MOMBACH, J. G. and']"
LATTES,TRAB.EVENTO,5628596240762051,Holisson Soares da Cunha,RESUMO,Workshops sobre Uso da Informática em Atividades de Ensino-Aprendizagem no Município de Alegrete,2011,Português,"III Salão Internacional de Ensino, Pesquisa e Extensão",Uruguaiana,2011,"['SALDANHA, J. F. and', 'MELO, A. M. and', 'WERNZ, M. C. G. and', 'RANGEL, D. and', 'CUNHA, H. S. and', 'MOMBACH, J. G. and', 'ABREU, L. and', 'BRAGA, A. F. and', 'GUTTIER, R. and', 'SILVA, E. C. and']"
LATTES,TRAB.EVENTO,5628596240762051,Holisson Soares da Cunha,RESUMO,Extração de Dados na Web no Contexto de uma Rede Social de Consumo,2012,Português,"IV Salão Internacional de Ensino, Pesquisa e Extensão",Bagé-RS,2012,"['CUNHA, H. S. and', 'MERGEN, S. L. S. and']"
LATTES,TRAB.EVENTO,5628596240762051,Holisson Soares da Cunha,COMPLETO,Uma aplicação de rede social de consumo baseada em uma arquitetura de Data Warehouse,2013,Português,Uma aplicação de rede social de consumo baseada em uma arquitetura de Data Warehouse,Camboriú-SC,2013,"['CUNHA, H. S. and', 'MERGEN, S. L. S. and']"
LATTES,TRAB.EVENTO,5628596240762051,Holisson Soares da Cunha,RESUMO,Recent Advances in Molecular Docking Experiments of Fully-Flexible Receptor Models,2014,Inglês,Posters: Category 'A'- Bioinformatics of Disease and Treatment',Belo Horizonte,2014,"['CUNHA, H. S. and', 'DE PARIS, RENATA and', 'QUEVEDO, CHRISTIAN VAHL and', 'RUIZ, D. D. A. and', 'NORBERTO DE SOUZA, OSMAR and']"
LATTES,TRAB.EVENTO,5628596240762051,Holisson Soares da Cunha,COMPLETO,Rede de Escolas no Pampa: uma proposta de interlocução entre comunidades educacionais da região do Pampa Gaúcho,2011,Português,Anais do 29º Seminário de Extensão Universitária da Região Sul,Foz do Iguaçu,2011,"['WERNZ, M. C. G. and', 'MELO, A. M. and', 'SILVA, E. C. and', 'CORREIA, G. B. and', 'SOARES, H. and', 'SALDANHA, J. F. and', 'ABREU, L. E. M. and', 'MONTENEGRO, T. and']"
