FONTE,TIPO,ID_LATTES,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,1825726627470153,Elis Cassiana Nakonetchnei dos Santos,COMPLETO,Mobility Open Data: Use Case for Curitiba and New York,2017,Inglês,Anais da XIII Escola Regional de Banco de Dados,Passo Fundo,2017,"['NAKONETCHNEI, E. C.;NAKONETCHNEI DOS SANTOS, ELIS CASSIANA;NAKONETCHNEI, ELIS CASSIANA and', 'Kozievitch, N. P. and', 'Cappiello, C. and', 'VITALI, M. and', 'AKBAR, M. and']"
LATTES,TRAB.EVENTO,1825726627470153,Elis Cassiana Nakonetchnei dos Santos,COMPLETO,Análise e Integração dos Dados Abertos do Sistema de Transporte Público de Curitiba,2017,Português,Anais da IV Escola Regional de Sistemas de Informação do Rio de Janeiro,Rio de Janeiro,2017,"['NAKONETCHNEI, E. C.;NAKONETCHNEI DOS SANTOS, ELIS CASSIANA;NAKONETCHNEI, ELIS CASSIANA and', 'Kozievitch, N. P. and', 'VENDRAMIN, A. C. B. K. and', 'FONSECA, A. M. and', 'FONSECA, K. V. O. and']"
LATTES,TRAB.EVENTO,1825726627470153,Elis Cassiana Nakonetchnei dos Santos,COMPLETO,Aplicativo de Mobilidade Urbana Focado na Cidade de Curitiba,2018,Português,E-TIC 2018 ? I WORKSHOP EM SISTEMAS DE INFORMAÇÃO,Camboriú,2018,"['NAKONETCHNEI, E. C.;NAKONETCHNEI DOS SANTOS, ELIS CASSIANA;NAKONETCHNEI, ELIS CASSIANA and', 'OLIVEIRA, J. A. and', 'PASQUIM, B. L. and', 'Kozievitch, N. P. and', 'CALANDRE, A. and']"
LATTES,TRAB.EVENTO,1825726627470153,Elis Cassiana Nakonetchnei dos Santos,RESUMO,MyUrb: Aplicativo de Mobilidade Urbana para Curitiba,2018,Português,Proceedings on XIX Brazilian Symposium on Geoinformatics,Campina Grande,2018,"['PASQUIM, B. L. and', 'NAKONETCHNEI, E. C.;NAKONETCHNEI DOS SANTOS, ELIS CASSIANA;NAKONETCHNEI, ELIS CASSIANA and', 'OLIVEIRA, J. A. and', 'CALANDRE, A. and', 'Kozievitch, N. P. and', 'FONSECA, K. V. O. and']"
LATTES,TRAB.EVENTO,1825726627470153,Elis Cassiana Nakonetchnei dos Santos,COMPLETO,DESENVOLVIMENTO PRELIMINAR DE UM CAM PARA MANUFATURA ADITIVA PARA O PROCESSO LMD,2019,Português,10º Congresso Brasileiro de Engenharia de Fabricação,,2019,"['VOLPATO, NERI and', 'NAKONETCHNEI DOS SANTOS, ELIS CASSIANA and', 'DE SOUZA PINTO PEREIRA, ADRIANO and', 'PEREIRA, MILTON and']"
LATTES,TRAB.EVENTO,1825726627470153,Elis Cassiana Nakonetchnei dos Santos,COMPLETO,Strategies for Obtaining Porous Media Through the Process Planning in Material Extrusion Additive Manufacturing,2019,Português,Proceedings of the ProDPM'19,Leiria,2019,"['SHIGUEOKA, M. O. and', 'NAKONETCHNEI, E. C. and', 'VOLPATO, N. and']"
