FONTE,TIPO,ID_LATTES,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL/LIVRO,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,6055243052118565,Cristina Paludo Santos,COMPLETO,A Configuration Mechanism for Versioned Documents,1999,Inglês,IEEE Press,TALCA-CHILE,,"['SANTOS, C. P.;P., CRISTINA;SANTOS, CRISTINA PALUDO;PALUDO SANTOS, CRISTINA and', 'SANTOS, C. S. and']"
LATTES,TRAB.EVENTO,6055243052118565,Cristina Paludo Santos,COMPLETO,Mecanismo de Configuração Baseado em Atributos de Documentos Estruturados,1998,Português,ANAIS DA III SEMANA ACADÊMICA DO PROGRAMA DE P´S-GRADUAÇÃO,PORTO ALEGRE-RS,1998,"['SANTOS, C. P.;P., CRISTINA;SANTOS, CRISTINA PALUDO;PALUDO SANTOS, CRISTINA and', 'GOLDSTEIN, L. G. and']"
LATTES,TRAB.EVENTO,6055243052118565,Cristina Paludo Santos,COMPLETO,Estudo sobre a Utilização de Agentes no Gerenciamento de Configurações e Notificações em um Banco de Dados Orientado à Objetos,1997,Português,UFRGS,PORTO ALEGRE-RS,1997,"['SANTOS, C. P.;P., CRISTINA;SANTOS, CRISTINA PALUDO;PALUDO SANTOS, CRISTINA and']"
LATTES,TRAB.EVENTO,6055243052118565,Cristina Paludo Santos,COMPLETO,Configuration of Structured and Versioned Documents,2002,Inglês,CSREA Press,Las Vegas,2002,"['SANTOS, C. P.;P., CRISTINA;SANTOS, CRISTINA PALUDO;PALUDO SANTOS, CRISTINA and']"
LATTES,TRAB.EVENTO,6055243052118565,Cristina Paludo Santos,COMPLETO,Using Intelligent Database Systems in the Candidate's Profile Analysis Process,2002,Inglês,CSREA Press,"Las Vegas, Nevada",2002,"['SANTOS, C. P.;P., CRISTINA;SANTOS, CRISTINA PALUDO;PALUDO SANTOS, CRISTINA and', 'SILVA, D. R. and']"
LATTES,TRAB.EVENTO,6055243052118565,Cristina Paludo Santos,COMPLETO,Integrating Technologies to Assist the Candidate Pre-Selection Process,2002,Inglês,International Institute of Informatics and Systemics (IIIS),Orlando - Flórida,2002,"['SANTOS, C. P.;P., CRISTINA;SANTOS, CRISTINA PALUDO;PALUDO SANTOS, CRISTINA and', 'SILVA, D. R. and']"
LATTES,TRAB.EVENTO,6055243052118565,Cristina Paludo Santos,COMPLETO,Configuração de Documentos Versionados,2000,Português,Dissertação de Mestrado,Porto Alegre,2000,"['SANTOS, C. P.;P., CRISTINA;SANTOS, CRISTINA PALUDO;PALUDO SANTOS, CRISTINA and']"
LATTES,TRAB.EVENTO,6055243052118565,Cristina Paludo Santos,COMPLETO,InterCase: An Environment for Prototyping User Interfaces,2003,Inglês,Proceedings of the International Conference on Software Engineering Research and Practice,Las Vegas,2003,"['SANTOS, C. P.;P., CRISTINA;SANTOS, CRISTINA PALUDO;PALUDO SANTOS, CRISTINA and', 'SILVA, D. R. and']"
LATTES,TRAB.EVENTO,6055243052118565,Cristina Paludo Santos,COMPLETO,Banco de Dados para Olarias: Um Enfoque Ambiental,2004,Português,Anais do IV Simpósio Internacional de Qualidade Ambiental,Porto Alegre,2004,"['SANTOS, C. P.;P., CRISTINA;SANTOS, CRISTINA PALUDO;PALUDO SANTOS, CRISTINA and']"
LATTES,TRAB.EVENTO,6055243052118565,Cristina Paludo Santos,RESUMO,O Processo de Projeto de Interfaces de Usuário Suportado pela Ferramenta InterCase,2004,Português,X Encontro de Iniciação Científica do Instituto Tecnológico de Aeronáutica,São José dos Campos,2004,"['SANTOS, C. P.;P., CRISTINA;SANTOS, CRISTINA PALUDO;PALUDO SANTOS, CRISTINA and', 'SILVA, D. R. and', 'AIOLFI, G. and']"
