FONTE,TIPO,ID,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,7856783089604214,Raqueline Ritter de Moura Penteado,COMPLETO,O Uso de Conhecimento Prévio do Domínio em Programação por Demonstração,2004,Português,Anais do IV Simpósio de Fatores Humanos em Sistemas Computacionais,Curitiba,2004,"['PENTEADO, R. R. M. and', 'SILVA, Sérgio Roberto Pereira da and']"
LATTES,TRAB.EVENTO,7856783089604214,Raqueline Ritter de Moura Penteado,COMPLETO,Detecção de Padrões Repetitivos em Seqüências de Ações sobre Ruído em Aplicações por Demonstração,2005,Português,CLIHC 2005,Cuernavaca - México,2005,"['SILVA, Sérgio Roberto Pereira da and', 'PENTEADO, R. R. M. and']"
LATTES,TRAB.EVENTO,7856783089604214,Raqueline Ritter de Moura Penteado,RESUMO_EXPANDIDO,Considerando o Contexto de Pesquisa na Modelagem de Usuários,2009,Português,XVIII EAIC UEL,Londrina,2009,"['OYAMA, H. K. O. and', 'PENTEADO, R. R. M. and']"
LATTES,TRAB.EVENTO,7856783089604214,Raqueline Ritter de Moura Penteado,COMPLETO,Um Modelo de Grupos para MANETs,2011,Português,Escola Regional de Banco de Dados,Novo Hamburgo - RS,2011,"['SANTOS, H. S. and', 'PENTEADO, R. R. M. and', 'HARA, C. S. and', 'ALBINI, L. C. P. and']"
LATTES,TRAB.EVENTO,7856783089604214,Raqueline Ritter de Moura Penteado,RESUMO_EXPANDIDO,"Deletando Diferenças, Formatando Cidadania",2010,Português,SEM_DADOS,Maringá,2010,"['PENTEADO, R. R. M. and', 'LEME, L. H. R. and', 'BENINCA, R. and']"
LATTES,TRAB.EVENTO,7856783089604214,Raqueline Ritter de Moura Penteado,COMPLETO,Knowledge and Contextual Information Management in Global Software Development: Challenges and Perspectives,2012,Português,2012 IEEE Seventh International Conference on Global Software Engineering Workshops,Porto Alegre,2012,"['HUZITA, ELISA HATSUE MORIYA and', 'LEAL, GISLAINE CAMILA LAPASINI and', 'BALANCIERI, RENATO and', ""TAIT, TANIA F'TIMA CALVI and"", 'CARDOZA, EDWIN and', 'PENTEADO, RAQUELINE RITTER DE MOURA and', 'VIVIAN, RAFAEL LEONARDO and']"
LATTES,TRAB.EVENTO,7856783089604214,Raqueline Ritter de Moura Penteado,RESUMO,Partitioning RDF Exploiting Workload Information,2013,Português,Proceeding WWW '13 Companion,Rio de Janeiro,2013,"['HARA, C. S. and', 'SCHROEDER, R. and', 'PENTEADO, R. R. M. and']"
LATTES,TRAB.EVENTO,7856783089604214,Raqueline Ritter de Moura Penteado,COMPLETO,Um mecanismo de captura de informações contextuais em um Ambiente de Desenvolvimento Distribuído de Software,2013,Português,XIX Congreso Argentino de Ciencias de la Computación - CACIC2013,Mar del Plata,2013,"['BALANCIERI, R. and', 'HUZITA, ELISA HATSUE MORIYA and', 'VIVIAN, RAFAEL LEONARDO and', 'Yoji Massago and', 'PENTEADO, R. R. M. and']"
LATTES,TRAB.EVENTO,7856783089604214,Raqueline Ritter de Moura Penteado,COMPLETO,Exploring Controlled RDF Distribution,2016,Português,IEEE Computer Society 2016,Luxemburgo,2016,"['PENTEADO, R. R. M. and', 'SCHROEDER, R. and', 'HARA, C. S. and']"
LATTES,TRAB.EVENTO,7856783089604214,Raqueline Ritter de Moura Penteado,RESUMO_EXPANDIDO,Comunicação em bloco na exploração de grafos em bases RDF distribuídas,2019,Português,Anais do Simpósio Brasileiro de Banco de Dados (SBBD),,,"['SANTOS, EDUARDO VILLAS BOAS and', 'HARA, CARMEM S. and', 'PENTEADO, RAQUELINE R. M. and']"
LATTES,TRAB.EVENTO,7856783089604214,Raqueline Ritter de Moura Penteado,COMPLETO,PabS: UM PROCESSADOR DE CONSULTAS SOBRE BASES DISTRIBUÍDAS,2019,Português,Proceedings Companion of 34nd Brazilan Symposium on Databases - SBBD 2019,Fortaleza,2019,"['PENTEADO, RAQUELINE RITTER DE MOURA and', 'TAKIUCHI, H. P. B. and', 'HARA, C. S. and']"
LATTES,TRAB.EVENTO,7856783089604214,Raqueline Ritter de Moura Penteado,COMPLETO,FeSHyD: BUSCA FEDERADA SOBRE BASES DE DADOS RDF DISTRIBUÍDAS,2019,Português,Proceedings Companion of 34nd Brazilan Symposium on Databases - SBBD 2019,Fortaleza,2019,"['TAKIUCHI, H. P. B. and', 'PENTEADO, RAQUELINE RITTER DE MOURA and', 'HARA, C. S. and']"
LATTES,TRAB.EVENTO,7856783089604214,Raqueline Ritter de Moura Penteado,RESUMO,Exploração de Grafos em Bases RDF com Distribuição Controlada,2015,Português,Proceedings of the 30th Brazilian Symposium on Databases,Petrópolis,2015,"['PENTEADO, R. R. M. and', 'SCHROEDER, R. and', 'HARA, C. S. and']"
