FONTE,TIPO,ID,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,1894333931411941,Alexandre Tagliari Lazzaretti,COMPLETO,A Domain Integrity Constraint Control for XML Documents,2005,Inglês,20o Simpósio Brasileiro de Banco de Dados,Uberlândia,2005,"['LAZZARETTI, A. T.;LAZZARETTI, A.T.;LAZZARETTI, ALEXANDRE TAGLIARI and', 'MELLO, R. S. and']"
LATTES,TRAB.EVENTO,1894333931411941,Alexandre Tagliari Lazzaretti,RESUMO,Restrições de Integridade de Domínio em Documentos XML,2006,Outros,II Escola Regional de Banco de Dados,Passo Fundo,2006,"['LAZZARETTI, A. T.;LAZZARETTI, A.T.;LAZZARETTI, ALEXANDRE TAGLIARI and', 'MELLO, R. S. and']"
LATTES,TRAB.EVENTO,1894333931411941,Alexandre Tagliari Lazzaretti,COMPLETO,FGIBD - Um Framework Genérico de Integração de Bases de Dados Aplicado à Agricultura,2011,Português,III Simpósio de Computação aplicada,Passo Fundo,2011,"['LAZZARETTI, A. T.;LAZZARETTI, A.T.;LAZZARETTI, ALEXANDRE TAGLIARI and']"
LATTES,TRAB.EVENTO,1894333931411941,Alexandre Tagliari Lazzaretti,COMPLETO,Information architecture for crop growth simulation model applications,2011,Inglês,"HAICTA 2011 - Hllenic Association of Information and Communication Technology in Agriculture, Food and Environment",Skiathos,2011,"['FERNADES, J. M. C. and', 'LAZZARETTI, A. T.;LAZZARETTI, A.T.;LAZZARETTI, ALEXANDRE TAGLIARI and']"
LATTES,TRAB.EVENTO,1894333931411941,Alexandre Tagliari Lazzaretti,COMPLETO,Web service para disponibilização de dados de estações meteorológicas,2011,Português,SBIAGRO 2011 - VIII Congresso Brasileiro de Agroinformática,Bento Gonçalves,2011,"['LAZZARETTI, A. T.;LAZZARETTI, A.T.;LAZZARETTI, ALEXANDRE TAGLIARI and', 'FERNADES, J. M. C. and', 'PAVAN, W. and']"
LATTES,TRAB.EVENTO,1894333931411941,Alexandre Tagliari Lazzaretti,COMPLETO,WXDC: Uma Ferramenta para Imposição e Validação de Restrições de Integridade baseadas na Linguagem XDCL,2013,Português,WXDC: Uma Ferramenta para Imposição e Validação de Restrições de Integridade baseadas na Linguagem XDCL,Frederico Westphalen,2013,"['LAZZARETTI, A. T.;LAZZARETTI, A.T.;LAZZARETTI, ALEXANDRE TAGLIARI and', 'ROSSETO, A. and', 'DANIELLI, S. and']"
LATTES,TRAB.EVENTO,1894333931411941,Alexandre Tagliari Lazzaretti,COMPLETO,Paralelização da Execução do Modelo Matemático CROPSIM para Simulação da Cultura do Trigo em um Grid Oportunista,2012,Português,Paralelização da Execução do Modelo Matemático CROPSIM para Simulação da Cultura do Trigo em um Grid Oportunista,,2012,"['LAZZARETTI, A. T.;LAZZARETTI, A.T.;LAZZARETTI, ALEXANDRE TAGLIARI and']"
LATTES,TRAB.EVENTO,1894333931411941,Alexandre Tagliari Lazzaretti,COMPLETO,Uso da Plataforma Galaxy na Execução de Modelos de Simulação,2013,Português,Uso da Plataforma Galaxy na Execução de Modelos de Simulação,Cuiabá,2013,"['LAZZARETTI, A. T.;LAZZARETTI, A.T.;LAZZARETTI, ALEXANDRE TAGLIARI and']"
LATTES,TRAB.EVENTO,1894333931411941,Alexandre Tagliari Lazzaretti,COMPLETO,An integrative modeling framework to evaluate wheat production systems: Fusarium head blight,2014,Inglês,Proceedings of the 7th International Congress on Environmental Modelling and Software (iEMSs),"San Diego, EUA",2014,"['PAVAN, W. and', 'FERNADES, J. M. C. and', 'LAZZARETTI, A. T.;LAZZARETTI, A.T.;LAZZARETTI, ALEXANDRE TAGLIARI and']"
LATTES,TRAB.EVENTO,1894333931411941,Alexandre Tagliari Lazzaretti,COMPLETO,Web Service Para Disponibilização de Dados de Estações Meteorológicas,2011,Português,VIII Congresso Brasileiro de Agroinformática,Bento Gonçalves,2011,"['LAZZARETTI, A. T.;LAZZARETTI, A.T.;LAZZARETTI, ALEXANDRE TAGLIARI and', 'FERNADES, J. M. C. and', 'CERVI, C. R. and', 'PAVAN, W. and']"
