FONTE,TIPO,ID_LATTES,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,0513694670507977,Elisa Mannes,COMPLETO,Implications of Misbehaving Attacks on Probabilistic Quorum System for MANETs,2010,Inglês,Proceedings of the International Conference on Security and Cryptography,Atenas,2010,"['MANNES, Elisa.;MANNES, ELISA and', 'SILVA, Eduardo da. and', 'NOGUEIRA, Michele and', 'SANTOS, Aldri L. and']"
LATTES,TRAB.EVENTO,0513694670507977,Elisa Mannes,COMPLETO,Um Esquema Bio-inspirado para Tolerância à Má-conduta em Sistemas de Quórum para MANETs,2011,Português,Anais do XI Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais (SBSeg 2011),Brasília,2011,"['MANNES, Elisa.;MANNES, ELISA and', 'NOGUEIRA, Michele and', 'SANTOS, Aldri L. and']"
LATTES,TRAB.EVENTO,0513694670507977,Elisa Mannes,COMPLETO,A Bio-inspired Scheme on Quorum Systems for Reliable Services Data Management in MANETs,2012,Inglês,Proceedings of the Network Operations and Management Symposium,Hawaii,2012,"['MANNES, Elisa.;MANNES, ELISA and', 'NOGUEIRA, Michele and', 'SANTOS, Aldri L. and']"
LATTES,TRAB.EVENTO,0513694670507977,Elisa Mannes,COMPLETO,Serviços Confiáveis em MANETs Baseado em Sistema de Quórum Tolerante a Má-conduta,2012,Português,Anais do XXX Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos,Ouro Preto,2012,"['MANNES, Elisa.;MANNES, ELISA and', 'NOGUEIRA, Michele and', 'SANTOS, Aldri L. and']"
LATTES,TRAB.EVENTO,0513694670507977,Elisa Mannes,RESUMO,GroupShare: Distribuição e Gerência de Conteúdo em Grupos de Interesse para Dispositivos Móveis,2012,Português,Anais da VIII Escola Regional de Banco de Dados,Curitiba,2012,"['MANNES, Elisa.;MANNES, ELISA and', 'GIELOW, F. H. and', 'FERREIRA, P. H. K. and', 'SANTOS, Aldri L. and', 'HARA, C. S. and']"
LATTES,TRAB.EVENTO,0513694670507977,Elisa Mannes,COMPLETO,Reliable Operational Services in MANETs by Misbehavior-Tolerant Quorum Systems,2012,Inglês,Proceedings of the VIII International Conference on Network and Service Management,Las Vegas,2012,"['MANNES, Elisa.;MANNES, ELISA and', 'NOGUEIRA, Michele and', 'SANTOS, Aldri L. and']"
LATTES,TRAB.EVENTO,0513694670507977,Elisa Mannes,COMPLETO,Um esquema bio-inspirado para tolerância a má-conduta em sistemas de quórum apoiando serviços em MANETs,2012,Português,Anais do XII Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais,Curitiba,2012,"['MANNES, Elisa.;MANNES, ELISA and', 'NOGUEIRA, Michele and', 'SANTOS, Aldri L. and']"
LATTES,TRAB.EVENTO,0513694670507977,Elisa Mannes,COMPLETO,Controle de acesso baseado em reencriptação por proxy em Redes Centradas em Informação,2014,Português,XIV Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais,Belo Horizonte,2014,"['MANNES, Elisa.;MANNES, ELISA and', 'MAZIERO, C. A. and', 'BORGES, F. and']"
LATTES,TRAB.EVENTO,0513694670507977,Elisa Mannes,COMPLETO,Optimized Access Control Enforcement Over Encrypted Content in Information-centric Networks,2015,Português,Proceedings of the IEEE Symposium on Computers and Communications,"Larnaca, Chipre",2015,"['MANNES, Elisa.;MANNES, ELISA and', 'MAZIERO, C. A. and', 'BORGES, F. and']"
LATTES,TRAB.EVENTO,0513694670507977,Elisa Mannes,COMPLETO,Assessing the Impact of Cryptographic Access Control Solutions on Multimedia Delivery in Information-Centric Networks,2016,Português,Proceedings of the Network Operations and Management Symposium,Istambul,2016,"['MANNES, Elisa. and', 'MAZIERO, C. A. and', 'BORGES, F. and']"
LATTES,TRAB.EVENTO,0513694670507977,Elisa Mannes,COMPLETO,Controle de acesso baseado em criptografia para a distribuição segura de conteúdo multimídia em Redes Centradas em Informação,2016,Português,XVI Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais,Niterói,2016,"['MANNES, Elisa. and', 'MAZIERO, C. A. and']"
LATTES,TRAB.EVENTO,0513694670507977,Elisa Mannes,RESUMO,A Adaptação de Serviços da Saúde Móvel ao Contexto de Convergência Tecnológica,2011,Português,19º Evento de Iniciação Científica - EVINCI,Curitiba,2011,"['Barabasz, Larissa and', 'MANNES, ELISA and', 'SANTOS, Aldri L. and', 'NOGUEIRA, Michele and']"
LATTES,TRAB.EVENTO,0513694670507977,Elisa Mannes,COMPLETO,Distribuindo e Consultando o Estado de Chaves Públicas em Redes Centradas na Informação,2017,Português,"Anais do XIII Workshop de redes P2P, dinâmicas, sociais e orientadas a conteúdo (WP2P+)",Belém,2017,"['REZENDE, D. and', 'MAZIERO, C. A. and', 'MANNES, ELISA and']"
LATTES,TRAB.EVENTO,0513694670507977,Elisa Mannes,COMPLETO,A Distributed Online Certificate Status Protocol for Named Data Networks,2017,Inglês,Anais do 33rd Symposium on Applied Computing,Pau,2017,"['REZENDE, D. and', 'MAZIERO, C. A. and', 'MANNES, ELISA and']"
LATTES,TRAB.EVENTO,0513694670507977,Elisa Mannes,COMPLETO,Analisando o desempenho de um sistema de quóruns probabilístico para MANETs diante de ataques maliciosos,2009,Português,Anais do IX Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais,Campinas,2009,"['MANNES, Elisa.;MANNES, ELISA and', 'SILVA, Eduardo da. and', 'SANTOS, Aldri L. and']"
