FONTE,TIPO,ID,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,4134668596803043,Igor Eduardo Viana Rudel,RESUMO_EXPANDIDO,UM SISTEMA DE RECOMENDAÇÃO PARA DISPOSITIVOS MÓVEIS DE USUÁRIOS DE UM CAMPUS UNIVERSITÁRIO,2014,Português,JAI,Santa Maria - RS,2014,"['RUDEL, I. E. V. and', 'LICHTNOW, D. and']"
LATTES,TRAB.EVENTO,4134668596803043,Igor Eduardo Viana Rudel,RESUMO_EXPANDIDO,Sistemas de Recomendação e Computação Ubíqua : Um Survey,2015,Português,ERBD,Caxias do Sul - RS,2015,"['RUDEL, I. E. V. and', 'LICHTNOW, D. and']"
LATTES,TRAB.EVENTO,4134668596803043,Igor Eduardo Viana Rudel,RESUMO,USANDO RECURSOS DA COMPUTAÇÃO UBÍQUA PARA RECOMENDAR LOCAIS DE INTERESSE PARA FREQUENTADORES DE UM CAMPUS UNIVERSITÁRIO,2015,Português,JAI,Santa Maria - RS,2015,"['RUDEL, I. E. V. and', 'LICHTNOW, D. and']"
