FONTE,TIPO,ID_LATTES,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,7243777210978499,Darlan Florêncio de Arruda,COMPLETO,Banco de Dados em Nuvem: Principais Características e Desafios,2011,Português,Computer on The Beach,Florianópolis,2011,"['ARRUDA, DARLAN and', 'MOURA JÚNIOR, J. A. F. and']"
LATTES,TRAB.EVENTO,7243777210978499,Darlan Florêncio de Arruda,COMPLETO,Computação em Nuvem: Um estudo exploratório realizado no Polo de confecções do agreste Pernambucano,2013,Português,ENEGI,Recife,2013,"['ARRUDA, DARLAN and', 'TEIXEIRA FILHO, J. G. A. and']"
LATTES,TRAB.EVENTO,7243777210978499,Darlan Florêncio de Arruda,COMPLETO,"Métricas para Sistemas de Tempo Real: Conceitos, Aplicações e Desafios",2013,Português,InfoBrasil,Fortaleza,2013,"['ARRUDA, DARLAN and', 'BARBOZA, L. and']"
LATTES,TRAB.EVENTO,7243777210978499,Darlan Florêncio de Arruda,COMPLETO,Uma Revisão Sistemática da Literatura sobre Métricas de Software,2013,Português,CIACA,Porto Alegre,2013,"['ARRUDA, DARLAN and', 'TEIXEIRA FILHO, J. G. A. and', 'CHEN, R.L and']"
LATTES,TRAB.EVENTO,7243777210978499,Darlan Florêncio de Arruda,COMPLETO,Métricas de Software: Por que é difícil usá-las de forma eficiente?,2013,Português,Memorias Comtel,Lima - Perú,2013,"['ARRUDA, DARLAN and', 'TEIXEIRA FILHO, J. G. A. and', 'CHEN, R.L and']"
LATTES,TRAB.EVENTO,7243777210978499,Darlan Florêncio de Arruda,COMPLETO,"Engenharia de Requisitos: Um Survey realizado no Porto Digital, Recife/Brasil.",2014,Português,Workshop on Requirements Engineering,Pucon,2014,"['LENCASTRE, M and', 'ARRUDA, DARLAN and']"
LATTES,TRAB.EVENTO,7243777210978499,Darlan Florêncio de Arruda,COMPLETO,Software Metrics: A Survey Conducted within Brazilian IT companies,2014,Português,CONTECSI,São Paulo,2014,"['ARRUDA, DARLAN and', 'TEIXEIRA FILHO, J. G. A. and']"
LATTES,TRAB.EVENTO,7243777210978499,Darlan Florêncio de Arruda,COMPLETO,Understanding quality requirements in the context of big data systems,2016,Inglês,Proceedings of the 2nd International Workshop on BIG Data Software Engineering - BIGDSE '16,Austin,,"['NOORWALI, IBTEHAL and', 'ARRUDA, DARLAN and', 'MADHAVJI, NAZIM H. and']"
LATTES,TRAB.EVENTO,7243777210978499,Darlan Florêncio de Arruda,COMPLETO,The Role of Big Data Analytics in Corporate Decision-making,2017,Inglês,DATA 2017,"Madrid, Spain",2017,"['ARRUDA, DARLAN and', 'MADHAVJI, NAZIM H. and']"
LATTES,TRAB.EVENTO,7243777210978499,Darlan Florêncio de Arruda,COMPLETO,Towards a requirements engineering artefact model in the context of big data software development projects: Research in progress,2017,Inglês,2017 IEEE International Conference on Big Data (Big Data),Boston,2017,"['ARRUDA, DARLAN and', 'MADHAVJI, NAZIM H. and']"
LATTES,TRAB.EVENTO,7243777210978499,Darlan Florêncio de Arruda,RESUMO_EXPANDIDO,Towards a big data requirements engineering artefact model in the context of big data software development projects: Poster extended abstract,2017,Inglês,2017 IEEE International Conference on Big Data (Big Data),Boston,2017,"['ARRUDA, DARLAN and', 'MADHAVJI, NAZIM H. and']"
LATTES,TRAB.EVENTO,7243777210978499,Darlan Florêncio de Arruda,COMPLETO,State of Requirements Engineering Research in the Context of Big Data Applications,2018,Inglês,RESFQ,Utrech,2018,"['ARRUDA, D and', 'MADHAVJI, NAZIM H. and']"
LATTES,TRAB.EVENTO,7243777210978499,Darlan Florêncio de Arruda,RESUMO_EXPANDIDO,CASCON Workshop on Developing Big Data Applications and Services,2018,Português,CASCON '18: Proceedings of the 28th Annual International Conference on Computer Science and Software Engineering,"Markham, Ontario",2018,"['ARRUDA, D and', 'MADHAVJI, NAZIM H. and', 'TAYLOR, C. and']"
LATTES,TRAB.EVENTO,7243777210978499,Darlan Florêncio de Arruda,COMPLETO,A Validation Study of a Requirements Engineering Artefact Model for Big Data Software Development Projects,2019,Português,Proceedings of the 14th International Conference on Software Technologies,Prague,2019,"['ARRUDA, DARLAN and', 'MADHAVJI, NAZIM and', 'NOORWALI, IBTEHAL and']"
LATTES,TRAB.EVENTO,7243777210978499,Darlan Florêncio de Arruda,COMPLETO,"Banco de Dados em Nuvem: Conceitos, Características, Gerenciamento e Desafios",2011,Português,InfoBrasil,Fortaleza,2011,"['ARRUDA, DARLAN and', 'MOURA JÚNIOR, J. A. F. and', 'SILVA, L. A. T. and']"
