FONTE,TIPO,ID,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,0943321240537948,Kaio Alexandre da Silva,COMPLETO,A utilização do método Cross-Industry Standard Process for Data Mining no processo de mineração de textos: extração de termos para criação de uma tecnologia assistiva para o auxílio à alunos com deficiência motora,2016,Português,XII Escola Regional de Banco de Dados: Data Science,Londrina,2016,"['SILVA, K. A.;SILVA, KAIO ALEXANDRE DA and', 'SANTOS, M. R. P. and', 'SILVA, M. and', 'GIACON, J. F. and', 'BORGES, T. and']"
LATTES,TRAB.EVENTO,0943321240537948,Kaio Alexandre da Silva,RESUMO_EXPANDIDO,Desenvolvimento de um aplicativo educacional para o auxílio na alfabetização infantil,2016,Português,Computer on the beach,Florianópolis,2016,"['SILVA, K. A.;SILVA, KAIO ALEXANDRE DA and', 'SILVA, K. F. and', 'ODISIO, M. P. and', 'SILVA, M. and', 'SILVA, A. L. G. and']"
LATTES,TRAB.EVENTO,0943321240537948,Kaio Alexandre da Silva,RESUMO_EXPANDIDO,Desenvolvimento de Sistema para reportar problemas encontrados em vias urbanas,2015,Português,VI Escola Regional de Informática de Mato Grosso,Cuiába,2015,"['CARDOSO, B. and', 'NUNES, G. and', 'SILVA, G. and', 'JACOMELI, I. and', 'SILVA, K. A.;SILVA, KAIO ALEXANDRE DA and', 'CELESTINO, T. and', 'ANDRADE, M. A. A. and']"
LATTES,TRAB.EVENTO,0943321240537948,Kaio Alexandre da Silva,COMPLETO,Desenvolvimento de um dicionário controlado para dispositivos móveis como ferramenta de auxílio à alunos com deficiência motora.,2015,Português,VI Escola Regional de Informática de Mato Grosso,Cuiába,2015,"['SILVA, K. A.;SILVA, KAIO ALEXANDRE DA and', 'GIACON, J. F. and', 'SILVA, M. and']"
LATTES,TRAB.EVENTO,0943321240537948,Kaio Alexandre da Silva,COMPLETO,ONS: Simulador de Eventos Discretos para Redes Ópticas WDM/EON.,2016,Português,XXXIV Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos,Salvador,2016,"['COSTA, L. R. and', 'SOUSA, L. S. and', 'RODOPOLUS, F. and', 'SILVA, K. A.;SILVA, KAIO ALEXANDRE DA and', 'JUNIOR, P. J. S. and', 'DRUMMOND, A. C. and']"
LATTES,TRAB.EVENTO,0943321240537948,Kaio Alexandre da Silva,COMPLETO,Desenvolvimento de um Objeto de Aprendizagem baseado em Mobile Learning e sistemas de recomendações para o auxílio ao processo de letramento infantil na educação básica,2017,Português,Anais da XIII Escola Regional de Banco de Dados,Passo Fundo,2017,"['SOUZA, S. R. A. and', 'SAMPAIO, L. F. C. and', 'ARAUJO, L. F. A. and', 'SILVA, K. A.;SILVA, KAIO ALEXANDRE DA and']"
LATTES,TRAB.EVENTO,0943321240537948,Kaio Alexandre da Silva,RESUMO_EXPANDIDO,Desenvolvimento de um Web Service baseado em REST para a interligação de dados entre uma aplicação mobile e um portal WEB,2017,Português,Anais do Computer on the Beach,Florianópolis,2017,"['SILVA, K. A.;SILVA, KAIO ALEXANDRE DA and', 'SAMPAIO, L. F. C. and']"
LATTES,TRAB.EVENTO,0943321240537948,Kaio Alexandre da Silva,COMPLETO,"Objeto de Estudo de Letramento (OEL), um objeto de aprendizagem para auxílio a alfabetização infantil",2017,Português,Anais do XXXVII congresso da sociedade brasileira de computação : #ComputaçãoParaTudoeParaTod*s [recurso eletrônico],São Paulo,2017,"['SILVA, K. A.;SILVA, KAIO ALEXANDRE DA and', 'SAMPAIO, L. F. C. and', 'SOUZA, S. R. A. and', 'ARAUJO, L. F. A. and', 'FREITAS, S. L. and', 'RIOS, M. L. and']"
LATTES,TRAB.EVENTO,0943321240537948,Kaio Alexandre da Silva,COMPLETO,Despachador de Simulações Tolerante a Falhas,2018,Português,Anais do Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos,Campos do Jordão,2018,"['SARMENTO, M. M. and', 'COSTA, L. R. and', 'SILVA, K. A.;SILVA, KAIO ALEXANDRE DA and', 'DRUMMOND, A. C. and']"
LATTES,TRAB.EVENTO,0943321240537948,Kaio Alexandre da Silva,COMPLETO,Objeto de Estudo de Letramento: Um jogo sério para o auxílio no processo de letramento infantil,2018,Português,Proceedings of SBGames 2018,Foz do Iguaçu,2018,"['SAMPAIO, L. F. C. and', 'SILVA, K. A.;SILVA, KAIO ALEXANDRE DA and', 'PEREZ, P. and']"
LATTES,TRAB.EVENTO,0943321240537948,Kaio Alexandre da Silva,COMPLETO,Estudo Sobre o Uso de Métricas de Fragmentação de Espectro no Projeto de Algoritmos RSA,2018,Português,Anais do Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos,Campos do Jordão,2018,"['SILVA, K. A.;SILVA, KAIO ALEXANDRE DA and', 'COSTA, L. R. and', 'BRASILEIRO, I. B. and', 'DRUMMOND, A. C. and']"
