FONTE,TIPO,ID,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,6771642666904396,Alex Sandro Romeo de Souza Poletto,RESUMO,"O Grau de Auto-Organização existentes nos Modelos de Redes Neurais Artificiais, no processo paralelo de Informação",2001,Português,"O Grau de Auto-Organização existentes nos Modelos de Redes Neurais Artificiais, no processo paralelo de Informação",Marília,2001,"['POLETTO, A. S. R. S. and']"
LATTES,TRAB.EVENTO,6771642666904396,Alex Sandro Romeo de Souza Poletto,RESUMO,Formalizando uma Metodologia de Acesso a Bancos de Dados via OBDC (Open Database Conectivity),2003,Português,3º Congresso Nacional de Iniciação Científica,São Paulo,2003,"['POLETTO, A. S. R. S. and', 'BELIZARIO, B. S. and']"
LATTES,TRAB.EVENTO,6771642666904396,Alex Sandro Romeo de Souza Poletto,COMPLETO,Uma proposta de modelagem e implementação de um Banco de Dados Analítico-Temporal,2007,Português,The Logic as Base in the Development and Application of New Technologies,Santos,2007,"['POLETTO, A. S. R. S. and', 'ALMEIDA JUNIOR, J. R. and']"
LATTES,TRAB.EVENTO,6771642666904396,Alex Sandro Romeo de Souza Poletto,COMPLETO,Modeling of an Analytical Database System,2007,Inglês,ACM Transactions on Information Systems,Funchal,2007,"['POLETTO, A. S. R. S. and', 'ALMEIDA JUNIOR, J. R. and']"
LATTES,TRAB.EVENTO,6771642666904396,Alex Sandro Romeo de Souza Poletto,COMPLETO,Treinamento de uma Rede Neural Artificial Perceptron com Algoritmo de Aprendizagem Backpropagation,2002,Português,"Advances in Logic, Artificial Intelligence and Robotics",São Paulo,2002,"['POLETTO, A. S. R. S. and']"
LATTES,TRAB.EVENTO,6771642666904396,Alex Sandro Romeo de Souza Poletto,COMPLETO,A Propriedade Intelectual e a Disciplina de Trabalho de Conclusão de Curso: Um Estudo de Caso para a Área de Computação,2008,Português,XXXIV Conferencia Latinoamericana en Informática (CLEI 2008),"Ciudad de Santa Fe, Prov",2008,"['FABRI, J. A. and', 'POLETTO, A. S. R. S. and']"
LATTES,TRAB.EVENTO,6771642666904396,Alex Sandro Romeo de Souza Poletto,RESUMO,Viabilidade de se usar um Processador Quântica junto as Redes Neurais Artificiais,2003,Português,3º Congresso Nacional de Iniciação Científica - CONIC,São Paulo,2003,"['POLETTO, A. S. R. S. and', 'VILLELA, J. F. B. and']"
LATTES,TRAB.EVENTO,6771642666904396,Alex Sandro Romeo de Souza Poletto,RESUMO,IBM DB2: Consultando dados XML utilizando XPath e XQuery,2008,Português,ANAIS do I Fórum Científico FEMA,Assis,2008,"['FARTO; Guilherme de Cleva and', 'POLETTO, A. S. R. S. and']"
LATTES,TRAB.EVENTO,6771642666904396,Alex Sandro Romeo de Souza Poletto,RESUMO,Utilização de XML para Importação e Exportação de Dados,2008,Português,ANAIS do I Fórum Científico FEMA,Assis,2008,"['TEXEIRA; Nathália de Andrade and', 'POLETTO, A. S. R. S. and']"
LATTES,TRAB.EVENTO,6771642666904396,Alex Sandro Romeo de Souza Poletto,RESUMO,Oracle Data Mining,2008,Português,ANAIS do I Fórum Científico FEMA,Assis,2008,"['GARCIA; Edi and', 'POLETTO, A. S. R. S. and']"
LATTES,TRAB.EVENTO,6771642666904396,Alex Sandro Romeo de Souza Poletto,COMPLETO,"Um Modelo para Projetar e Implementar Bancos de Dados Analítico-Temporais para Apoio à Tomada de Decisões, Auditorias e Recuperação de Dados",2010,Português,VI Escola Regional de Banco de Dados,Joinville,2010,"['POLETTO, A. S. R. S. and', 'ALMEIDA JUNIOR, J. R. and']"
LATTES,TRAB.EVENTO,6771642666904396,Alex Sandro Romeo de Souza Poletto,COMPLETO,Projeto e Implementação de um Repositório de Dados para Recuperação de Dados,2010,Português,CONGED - Congresso de Tecnologia para Gestão de Dados e Metadados da Cone Sul,Ponta Grossa,2010,"['POLETTO, A. S. R. S. and', 'MACHADO, O. A. and', 'ALMEIDA JUNIOR, J. R. and']"
LATTES,TRAB.EVENTO,6771642666904396,Alex Sandro Romeo de Souza Poletto,COMPLETO,Um Método para Elaborar Bancos de Dados Analítico-Temporais para o Armazenamento de Histórico de Dados,2010,Português,VI Simpósio Brasileiro de Sistemas de Informação,Marabá - PA,2010,"['POLETTO, A. S. R. S. and', 'ALMEIDA JUNIOR, J. R. and']"
LATTES,TRAB.EVENTO,6771642666904396,Alex Sandro Romeo de Souza Poletto,RESUMO,Programa de Residência em Software,2011,Português,XXX Congresso da Sociedade Brasileira de Computação,Natal - RN,2011,"['POLETTO, A. S. R. S. and', 'BEGOSSO, L. R. and', 'BEGOSSO, L. C. and', 'CUNHA, D. S. and', 'LIMA, Fernando Cesar de and']"
LATTES,TRAB.EVENTO,6771642666904396,Alex Sandro Romeo de Souza Poletto,RESUMO,Work in Progress - Software Residency: a Contribution for Professional Maturity,2011,Inglês,41th Annual Frontiers in Education,Rapid City,2011,"['POLETTO, A. S. R. S. and', 'BEGOSSO, L. R. and', 'BEGOSSO, L. C. and', 'LIMA, Fernando Cesar de and', 'CUNHA, D. S. and']"
LATTES,TRAB.EVENTO,6771642666904396,Alex Sandro Romeo de Souza Poletto,RESUMO_EXPANDIDO,Avaliação do Grau de Dificuldade do Aprendizado da Modelagem de Bancos de Dados,2013,Português,XLI Congresso Brasileiro de Educação em Engenharia,Gramado - RS,2013,"['POLETTO, A. S. R. S. and']"
LATTES,TRAB.EVENTO,6771642666904396,Alex Sandro Romeo de Souza Poletto,RESUMO,Desbravando o Novo Mundo de Big Data,2013,Português,ANAIS do VI Fórum Científico FEMA,Assis,2013,"['POLETTO, A. S. R. S. and']"
LATTES,TRAB.EVENTO,6771642666904396,Alex Sandro Romeo de Souza Poletto,RESUMO,Um Estudo Investigativo sobre Banco de Dados In-Memory,2013,Português,ANAIS do VI Fórum Científico FEMA,Assis,2013,"['POLETTO, A. S. R. S. and']"
LATTES,TRAB.EVENTO,6771642666904396,Alex Sandro Romeo de Souza Poletto,RESUMO,A Importância das Formas Normais para o Ensino de Modelagem de Dados em Cursos de Graduação,2012,Português,ANAIS do V Fórum Científico FEMA,Assis,2012,"['POLETTO, A. S. R. S. and']"
LATTES,TRAB.EVENTO,6771642666904396,Alex Sandro Romeo de Souza Poletto,RESUMO,Estudo da Metodologia de Tuning em Banco de Dados Oracle,2012,Bretão,ANAIS do V Fórum Científico FEMA,Assis,2012,"['POLETTO, A. S. R. S. and']"
LATTES,TRAB.EVENTO,6771642666904396,Alex Sandro Romeo de Souza Poletto,RESUMO,"Web Semântica, Ontologias e Linguagem OWL: Um Estudo de Caso sobre a Ferramenta Protégé",2012,Bretão,ANAIS do V Fórum Científico FEMA,Assis,2012,"['POLETTO, A. S. R. S. and']"
