FONTE,TIPO,ID_LATTES,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,Operações Primitivas e Complexas na Evolução de Esquemas em Bancos de Dados Orientados a Objetos,2000,Português,Jornadas Iberoamericanas de Ingenieria de Requisitos y Ambientes de Software: Memorias,Cancun,2000,"['ROMA, Adriana Bueno da Silva and', 'GALANTE, R.;Galante, Renata and', 'SANTOS, Clesio Saraiva dos and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,Evolução de Esquemas Utilizando Versões em Bancos de Dados Orientados a Objetos,1999,Português,Memorias XXV Conferencia Latinoamericana de Informatic,Assuncion,1999,"['GALANTE, R.;Galante, Renata and', 'SANTOS, Clesio Saraiva dos and', 'RUIZ, Duncan Dubugras Alcoba and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,Um Modelo de Evolução de Esquemas Conceituais para Bancos de Dados Orientados a Objetos com o Emprego de Versões,1998,Português,Simpósio Brasileiro de Banco de Dados,Maringá,1998,"['GALANTE, R.;Galante, Renata and', 'SANTOS, Clesio Saraiva dos and', 'RUIZ, Duncan Dubugras Alcoba and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,Operações Primitivas e Complexas para Evolução de Esquemas em BDOO com o emprego de versões,2001,Português,XXVII Conferencia Latinoamericana de Informática,Mérida,2001,"['ROMA, Adriana Bueno da Silva and', 'GALANTE, R.;Galante, Renata and', 'SANTOS, Clesio Saraiva dos and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,Gerenciamento Temporal de Versões para Evolução de Esquemas em BDOO.,2001,Português,XVI Simpósio Brasileiro de Banco de Dados,Rio de Janeiro,2001,"['ROMA, Adriana Bueno da Silva and', 'JANTSCH, Anelise and', 'GALANTE, R.;Galante, Renata and', 'EDELWEISS, Nina and', 'SANTOS, Clesio Saraiva dos and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,Evolução de Esquemas e Propagação de Mudanças usando o Modelo Temporal de Versões,2002,Português,XXVIII Latin-American Conference on Informatics,Montevideo,2002,"['GALANTE, R.;Galante, Renata and', 'EDELWEISS, Nina and', 'SANTOS, Clesio Saraiva dos and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,Gerenciamento Dinâmico de Evolução de Esquemas usando o Modelo Temporal de Versões,2002,Português,"I Workshop de teses e dissertações em banco de dados, I WTDBD 2002",Gramado,2002,"['GALANTE, R.;Galante, Renata and', 'EDELWEISS, Nina and', 'SANTOS, Clesio Saraiva dos and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,Change Management for a Temporal Versioned Object-Oriented Database,2002,Inglês,Proceedings of the Second International Workshop on Evolution and Change in Data Management,Tampere,2002,"['GALANTE, R.;Galante, Renata and', 'EDELWEISS, Nina and', 'SANTOS, Clesio Saraiva dos and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,Data Modification Language for Full Support of Temporal Schema Versioning,2003,Inglês,XVIII Simpósio Brasileiro de Banco de Dados,Manaus,2003,"['GALANTE, R.;Galante, Renata and', 'EDELWEISS, Nina and', 'SANTOS, Clesio Saraiva dos and', 'MOREIRA, Álvaro Freitas and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,RESUMO,Arquitetura para Biblioteca XML,2002,Português,X Encontro de Jovens Pesquisadores da UCS,Caxias do Sul,2002,"['MENIN, Diego and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,RESUMO,Visualização de Documentos XML,2002,Português,X Encontro de Jovens Pesquisadores da UCS,Caxias do Sul,2002,"['DELAGUSTINHI, Vinícius André and', 'GALANTE, R.;Galante, Renata and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,RESUMO,Implementação de Consultas SQL para Visualização de Dados e Desempenho,2001,Português,IX Encontro de Jovens Pesquisadores da UCS,Caxias do Sul,2001,"['SILVA, Glauber Rodriguês da and', 'GALANTE, R.;Galante, Renata and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,Change Management for a Temporal Versioned Object-Oriented Database,2003,Inglês,Lecture Notes in Computer Science,Tampere,2003,"['GALANTE, R.;Galante, Renata and', 'EDELWEISS, Nina and', 'SANTOS, Clesio Saraiva dos and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,TVL_SE - Temporal and Versioning Language for Schema Evolution in Object-Oriented Databases,2003,Inglês,Lecture Notes in Computer Science,Praga,2003,"['GALANTE, R.;Galante, Renata and', 'EDELWEISS, Nina and', 'SANTOS, Clesio Saraiva dos and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,Dynamic Schema Evolution Management using Version in Temporal Object-Oriented Databases,2002,Inglês,Lecture Notes in Computer Science,Aix en Provence,2002,"['GALANTE, R.;Galante, Renata and', 'ROMA, Adriana Bueno da Silva and', 'JANTSCH, Anelise and', 'EDELWEISS, Nina and', 'SANTOS, Clesio Saraiva dos and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,An Ontology-Based Approach for Visual Knowledge: Image Annotation and Interpretation,2004,Inglês,Workshop on Ontologies and their Applications,São Luis,2004,"['SILVA, Luís Álvaro Lima da and', 'MASTELLA, Laura Silveira and', 'ABEL, Mara and', 'GALANTE, R.;Galante, Renata and', 'ROS, Luís Fernando de and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,Classificação de Restrições de Integridade em Bancos de Dados Temporais de Versões,2004,Português,XIV Simpósio Brasileiro de Banco de Dados,Brasília,2004,"['CORDEIRO, Robson Leonardo Ferreira and', 'SANTOS, Clesio Saraiva dos and', 'EDELWEISS, Nina and', 'GALANTE, R.;Galante, Renata and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,Evolução de Documentos XML com tempo e versão,2004,Português,III Workshop de Teses e Dissertações em Banco de Dados,Brasília,2004,"['SANTOS, Rodrigo Gasparoni dos and', 'EDELWEISS, Nina and', 'GALANTE, R.;Galante, Renata and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,RESUMO,Extração de Esquemas de Dados de Documentos Semi-Estruturados,2002,Português,XIV Salão de IX Feira Iniciação Científica,Porto Alegre,2002,"['MENIN, Diego and', 'FRIGERI, Sandra Rovena and', 'GALANTE, R.;Galante, Renata and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,RESUMO,Visualização de Documentos XML,2002,Português,XIV Salão de IX Feira Iniciação Científica,Porto Alegre,2002,"['DELAGUSTNHI, Vinícius and', 'GALANTE, R.;Galante, Renata and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,TVM WeB - Uma Interface Visual para o Modelo Temporal de Versões,2004,Português,Sessão de Demos do SBBD 2004,Brasília,2004,"['SILVEIRA, Vincent Nelson Kellers da and', 'EDELWEISS, Nina and', 'GALANTE, R.;Galante, Renata and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,Classificação de Restrições de Integridade em Bancos de Dados Temporais de Versões,2004,Português,III Workshop de Teses e Dissertações em Banco de Dados,Brasília,2004,"['CORDEIRO, Robson Leonardo Ferreira and', 'SANTOS, Clesio Saraiva dos and', 'EDELWEISS, Nina and', 'GALANTE, R.;Galante, Renata and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,TVCL - Temporal Versioned Constraint Language,2005,Inglês,XX Simpósio Brasileiro de Banco de Dados,Uberlândia,2005,"['CORDEIRO, Robson Leonardo Ferreira and', 'EDELWEISS, Nina and', 'GALANTE, R.;Galante, Renata and', 'SANTOS, Clesio Saraiva dos and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,"Uma Proposta para Editoração, Indexação e Busca de Documentos Científicos em um Processo de Avaliação Aberta",2005,Português,I Workshop em Bibliotecas Digitais,Uberlândia,2005,"['OLIVEIRA, José Palazzo Moreira de and', 'GALANTE, R.;Galante, Renata and', 'MUSA, Daniela Leal and', 'EDELWEISS, Nina and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,A Query Language for a Versioned Object Oriented Database.,2006,Inglês,XXI Simpósio Brasileiro de Banco de Dados,Florianópolis,2006,"['MACHADO, Rodrigo and', 'MOREIRA, Álvaro Freitas and', 'GALANTE, R.;Galante, Renata and', 'MORO, Mirella Moura and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,Type-safe Versioned Object Query Language (uma versão estendida foi publicada no Journal of Universal Computer Science).,2006,Inglês,IX - Simpósio Brasileiro de Linguagens de Programação,Rio de Janeiro,2006,"['MACHADO, Rodrigo and', 'MOREIRA, Álvaro Freitas and', 'GALANTE, R.;Galante, Renata and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,X-Spread Um mecanismo para propagação da evolução de esquemas para documentos XML,2006,Português,V Workshop de Teses e Dissertações em Bancos de Dados,Florianópolis,2006,"['SILVEIRA, Vincent Nelson Kellers da and', 'GALANTE, R.;Galante, Renata and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,XSDelta: Uma Ferramenta Visual para Comparação de Esquemas XML,2006,Português,Anais da Sessão de Demos do Simpósio Brasileiro de Banco de Dados,Florianópolis,2006,"['PERINI, Augusto Belotto and', 'SILVEIRA, Vincent Nelson Kellers da and', 'GALANTE, R.;Galante, Renata and']"
LATTES,TRAB.EVENTO,3867942762661182,Renata Galante,COMPLETO,User Profile Interchange in a Service-oriented Architecture,2006,Inglês,Proceedings of International Workshop Data Integration and the Semantic Web,Luxemburgo,2006,"['MUSA, Daniela Leal and', 'GALANTE, R.;Galante, Renata and', 'Mariusa Warpechowski and', 'OLIVEIRA, José Palazzo Morira de and']"
