FONTE,TIPO,ID_LATTES,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL/LIVRO,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,0456516366590574,Rodrigo Machado,RESUMO,Projeto e Desenvolvimento de Agentes de Desempenho para Clusters,2002,Português,XIV Salão de Iniciação Científica - UFRGS,Porto Alegre,2002,"['MACHADO, R.;MACHADO, RODRIGO and', 'DREHMER, G. and', 'DIVERIO, T. A. and']"
LATTES,TRAB.EVENTO,0456516366590574,Rodrigo Machado,RESUMO,Utilização de Sistemas Multiagentes Cognitivos para Simulação Social,2002,Português,XIII Salão de Iniciação Científica - UFRGS,Porto Alegre - RS,2002,"['MACHADO, R.;MACHADO, RODRIGO and', 'BORDINI, Rafael Heitor and']"
LATTES,TRAB.EVENTO,0456516366590574,Rodrigo Machado,RESUMO,Protótipo de Interpretador para cTVQL,2006,Português,ERBD 2006 - II Escola Regional de Banco de Dados,Passo Fundo - RS,2006,"['MACHADO, R.;MACHADO, RODRIGO and', 'MOREIRA, Álvaro Freitas and']"
LATTES,TRAB.EVENTO,0456516366590574,Rodrigo Machado,COMPLETO,Type-safe Versioned Object Query Language,2006,Inglês,Proceedings of 10th Brazilian Symposium on Programming Languages,Itatiaia - RJ,2006,"['MACHADO, R.;MACHADO, RODRIGO and', 'MOREIRA, Álvaro Freitas and', 'GALANTE, Renata de Matos and']"
LATTES,TRAB.EVENTO,0456516366590574,Rodrigo Machado,COMPLETO,A Query Language for a Versioned Object Oriented Database,2006,Inglês,"XXI Simpósio Brasileiro de Banco de Dados, 16-20 de Outubro, Florianópolis, Santa Catarina, Brasil, Anais/Proceedings",Florianópolis,2006,"['MACHADO, R.;MACHADO, RODRIGO and', 'MOREIRA, Álvaro Freitas and', 'GALANTE, Renata de Matos and', 'MORO, M. M. and']"
LATTES,TRAB.EVENTO,0456516366590574,Rodrigo Machado,COMPLETO,Graph productions with dependencies,2007,Inglês,Proceedings of 10th Brazilian Symposium on Formal Methods,Ouro Preto,2007,"['Foss, L. and', 'MACHADO, R.;MACHADO, RODRIGO and', 'RIBEIRO, L. and']"
LATTES,TRAB.EVENTO,0456516366590574,Rodrigo Machado,COMPLETO,On the interaction of Advices and Raw Types in AspectJ,2008,Inglês,XII Simpósio Brasileiro de Linguagens de Programação -- Anais,Fortaleza,2008,"['RUBBO, F. B. and', 'MACHADO, R.;MACHADO, RODRIGO and', 'MOREIRA, Álvaro Freitas and', 'RIBEIRO, L. and', 'NUNES, D. J. and']"
LATTES,TRAB.EVENTO,0456516366590574,Rodrigo Machado,COMPLETO,An Introduction to Lambda Calculus and Functional Programming,2013,Inglês,2013 2nd Workshop-School on Theoretical Computer Science,Rio Grande,2013,"['MACHADO, RODRIGO and']"
LATTES,TRAB.EVENTO,0456516366590574,Rodrigo Machado,COMPLETO,Characterizing Conflicts Between Rule Application and Rule Evolution in Graph Transformation Systems,2015,Inglês,"Graph Transformation - 8th International Conference, ICGT 2015, Held as Part of STAF 2015, L'Aquila, Italy, July 21-23, 2015. Proceedings. LNCS 9151.",L'Aquila,2015,"['MACHADO, R. and', 'RIBEIRO, L. and', 'HECKEL, R. and']"
LATTES,TRAB.EVENTO,0456516366590574,Rodrigo Machado,COMPLETO,Evolving negative application conditions.,2016,Inglês,"Escola de Informática Teórica e Métodos Formais (2016 nov 22?23: Natal), Anais",Natal,2016,"['COSTA, A. and', 'MACHADO, R. and', 'RIBEIRO, L. and']"
LATTES,TRAB.EVENTO,0456516366590574,Rodrigo Machado,COMPLETO,Running AgentSpeak(L) Agents in SIM_AGENT,2001,Inglês,Lecture Notes in Artificial Intelligence,Seattle,2001,"['MACHADO, R.;MACHADO, RODRIGO and', 'BORDINI, Rafael Heitor and']"
