FONTE,TIPO,ID,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,0001394224092286,Alex Marino Gonçalves de Almeida,COMPLETO,Multi-class Emotions Classification by Sentic Levels as Features in Sentiment Analysis,2016,Português,2016 5th Brazilian Conference on Intelligent Systems (BRACIS),Recife,2016,"['ALMEIDA, ALEX MARINO GONCALVES DE and', 'BARBON, SYLVIO and', 'PARAISO, EMERSON CABRERA and']"
LATTES,TRAB.EVENTO,0001394224092286,Alex Marino Gonçalves de Almeida,COMPLETO,XI Simpósio Brasileiro de Sistemas de Informação,2015,Português,Anais do XI SIMPÓSIO BRASILEIRO DE SISTEMAS DE INFORMAÇÃO,Goiania,2017,"['IGAWA, R. A. and', 'ALMEIDA, A. M. G. and', 'ZARPELAO, B. B. and', 'BARBON JUNIOR, S. and']"
LATTES,TRAB.EVENTO,0001394224092286,Alex Marino Gonçalves de Almeida,COMPLETO,Opinion Mining: A Comparison of Hybrid Approaches,2016,Português,MMEDIA 2016 : The Eighth International Conferences on Advances in Multimedia,Lisboa,2016,"['ALMEIDA, A. M. G. and', 'IGAWA, R. A. and', 'SN Moriguchi and', 'EC Paraiso and', 'BARBON JUNIOR, S. and']"
LATTES,TRAB.EVENTO,0001394224092286,Alex Marino Gonçalves de Almeida,COMPLETO,Supervised	Approach	for	Indication	of	Contrast Enhancement	in	Application	of	Image Segmentation,2016,Inglês,MMEDIA 2016 : The Eighth International Conferences on Advances in Multimedia,Lisboa,2016,"['CAMPOS, G. F. C. and', 'IGAWA, R. A. and', 'SEIXAS, J. L. and', 'ALMEIDA, A. M. G. and', 'RC Guido and', 'BARBON JUNIOR, S. and']"
LATTES,TRAB.EVENTO,0001394224092286,Alex Marino Gonçalves de Almeida,COMPLETO,Minerac&amp;#807;a&amp;#771;o de opinio&amp;#771;es em microblogs com abordagem CESA,2016,Português,XII Escola Regional de Informa´tica de Banco de Dados,Londrina,2016,"['ALMEIDA, A. M. G. and', 'BARBON JUNIOR, S. and', 'SN Moriguchi and', 'IGAWA, R. A. and']"
