FONTE,TIPO,ID_LATTES,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL/LIVRO,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,7914190406004023,Luiz Gustavo Moro Senko,COMPLETO,Handling Inconsistent Symbolic Classifiers,2009,Inglês,XXXV Latin American Informatics Conference - CLEI,"Pelotas, RS. Brasil",2009,"['SENKO, L. G. M. and', 'ENEMBRECK, Fabricio and', 'FUCKNER, M. and']"
LATTES,TRAB.EVENTO,7914190406004023,Luiz Gustavo Moro Senko,COMPLETO,Analytic - Ferramenta Web para Análise do Perfil Acadêmico do Curso de Ciência da Computação - IFC - Videira,2015,Português,Analytic - Ferramenta Web para Análise do Perfil Acadêmico do Curso de Ciência da Computação - IFC - Videira,Santo Ângelo -RS,2015,"['ROSSI, L. L. and', 'HEINECK, T. and', 'ROSA, A. M. C. and', 'SENKO, L. G. M. and']"
LATTES,TRAB.EVENTO,7914190406004023,Luiz Gustavo Moro Senko,COMPLETO,Uma Revisão sobre a Construção de Indicadores de Sistemas Educacionais Nas Iniciativas de Smart Cities,2015,Português,Uma Revisão sobre a Construção de Indicadores de Sistemas Educacionais Nas Iniciativas de Smart Cities,Florianópolis,2015,"['SENKO, L. G. M. and', 'KLEIN, V. B. and', 'TODESCO, J. L. and']"
