FONTE,TIPO,ID_LATTES,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL/LIVRO,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,4309165322070547,Dinei André Rockenbach,RESUMO,Construção de Aplicativo Web Focado para a Área de Gestão de Pessoas,2015,Português,XIII Salão de Pesquisa SETREM - SAPS,"Três de Maio, RS",2015,"['ZVOBOTER, A. and', 'GENZ, M. J. and', 'HAMMES, M. F. and', 'NAEGELE, M. and', 'ANDERLE, N. and', 'BOTH, P. and', 'ELLWANGER, P. C. and', 'RADUNZ, R. and', 'RUBEL, R. R. and', 'DIESEL, D. and', 'ROCKENBACH, Dinei A. and', 'LUDVIG, E. R. and', 'KOHLS, F. R. and', 'PIRES, J. and', 'URNAU, K. E. H. and', 'CARDOSO, L. and', 'MELLER, L. and']"
LATTES,TRAB.EVENTO,4309165322070547,Dinei André Rockenbach,RESUMO,Análise Sociológica de Organização Atuante na Área de Tecnologia da Informação,2014,Português,XII Salão de Pesquisa SETREM - SAPS,"Três de Maio, RS",2014,"['ROCKENBACH, Dinei A. and', 'PIRES, J. and', 'ANDERLE, N. and']"
LATTES,TRAB.EVENTO,4309165322070547,Dinei André Rockenbach,RESUMO,A Tecnologia da Informação e a Economia Brasileira,2014,Português,XII Salão de Pesquisa SETREM - SAPS,"Três de Maio, RS",2014,"['ROCKENBACH, Dinei A. and']"
LATTES,TRAB.EVENTO,4309165322070547,Dinei André Rockenbach,RESUMO,Criptografia de Informações Através da Álgebra Linear,2014,Português,XII Salão de Pesquisa SETREM - SAPS,"Três de Maio, RS",2014,"['DIESEL, D. and', 'ROCKENBACH, Dinei A. and', 'ELLWANGER, P. C. and']"
LATTES,TRAB.EVENTO,4309165322070547,Dinei André Rockenbach,COMPLETO,Os Benefícios da Utilização do Pregão Eletrônico como Ferramenta de Auxílio nas Compras Públicas,2016,Português,5º Fórum Internacional Ecoinovar,"Santa Maria, RS",2016,"['MELCHIOR, C. and', 'GESSI, N. L. and', 'DALL AGO, D. R. and', 'LOPES, I. D. and', 'BAGGIO, D. K. and', 'ROCKENBACH, Dinei A. and']"
LATTES,TRAB.EVENTO,4309165322070547,Dinei André Rockenbach,COMPLETO,Estudo Comparativo de Banco de Dados Chave-Valor com Armazenamento em Memória,2017,Português,XIII Escola Regional de Banco de Dados,"Passo Fundo, RS",2017,"['ROCKENBACH, Dinei A. and', 'ANDERLE, N. and', 'GRIEBLER, D. and', 'SOUZA, S. and']"
LATTES,TRAB.EVENTO,4309165322070547,Dinei André Rockenbach,COMPLETO,Definição de um Modelo de Gerenciamento de Redes de Computadores para uma Instituição de Ensino,2016,Português,Anais do EATI - Encontro Anual de Tecnologia da Informação e Semana Acadêmica de Tecnologia da Informação,Frederico Westphalen,2016,"['ROCKENBACH, Dinei A. and', 'MELCHIOR, C. and', 'GESSI, N. L. and', 'BAGGIO, D. K. and']"
LATTES,TRAB.EVENTO,4309165322070547,Dinei André Rockenbach,COMPLETO,Proposta de Suporte ao Paralelismo de GPU na SPar,2019,Português,XIX Escola Regional de Alto Desempenho da Região Sul,"Três de Maio, RS",2019,"['ROCKENBACH, Dinei A. and', 'GRIEBLER, D. and', 'FERNANDES, L. G. and']"
LATTES,TRAB.EVENTO,4309165322070547,Dinei André Rockenbach,COMPLETO,Paralelização do Dedup para Sistemas Multi-core com GPUs,2019,Português,XIX Escola Regional de Alto Desempenho da Região Sul,"Três de Maio, RS",2019,"['STEIN, C. and', 'ROCKENBACH, Dinei A. and', 'GRIEBLER, D. and']"
LATTES,TRAB.EVENTO,4309165322070547,Dinei André Rockenbach,COMPLETO,Mandelbrot Streaming para Sistemas Multi-core com GPUs,2019,Português,XIX Escola Regional de Alto Desempenho da Região Sul,"Três de Maio, RS",2019,"['STEIN, C. and', 'STEIN, J. V. and', 'CAITANO, L. B. and', 'ROCKENBACH, Dinei A. and', 'GRIEBLER, D. and']"
LATTES,TRAB.EVENTO,4309165322070547,Dinei André Rockenbach,COMPLETO,Stream Processing on Multi-cores with GPUs: Parallel Programming Models' Challenges,2019,Português,2019 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW),Rio de Janeiro,2019,"['ROCKENBACH, Dinei A. and', 'STEIN, CHARLES M. and', 'GRIEBLER, DALVAN and', 'MENCAGLI, GABRIELE and', 'TORQUATI, MASSIMO and', 'DANELUTTO, MARCO and', 'FERNANDES, LUIZ G. and']"
LATTES,TRAB.EVENTO,4309165322070547,Dinei André Rockenbach,COMPLETO,High-Level Stream Parallelism Abstractions with SPar Targeting GPUs,2019,Inglês,Parallel Computing: Technology Trends,"Prague, Czech Republic",2019,"['ROCKENBACH, Dinei A. and', 'GRIEBLER, DALVAN and', 'DANELUTTO, MARCO and', 'FERNANDES, LUIZ G. and']"
LATTES,TRAB.EVENTO,4309165322070547,Dinei André Rockenbach,RESUMO,Análise de Sistema de Gestão Financeira Empresarial,2014,Português,XII Salão de Pesquisa SETREM - SAPS,"Três de Maio, RS",2014,"['ROCKENBACH, Dinei A. and']"
