FONTE,TIPO,ID,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,5385453596666328,Álvaro Osvaldo Teixeira Martinez,RESUMO,OMT-G Design: Ferramenta para modelagem de Bancos de Dados Geográficos usando OMT-G,2012,Português,Anais da V Mostra Nacional de Iniciação Científica e Tecnológica Interdisciplinar (V MICTI) e II Mostra de Pesquisa e Extensão do IF Catarinense,Rio do Sul,2012,"['MARTÍNEZ, Á. O. T. and', 'FROZZA, A. A. and']"
LATTES,TRAB.EVENTO,5385453596666328,Álvaro Osvaldo Teixeira Martinez,RESUMO_EXPANDIDO,WIKI NO AMBIENTE VIRTUAL DE APRENDIZAGEM COLABORATIVA: projeto para implantação de melhorias tecnológicas,2010,Português,"I Mostra de Pesquisa e Extensão do Instituto Federal de Educação, Ciência e Tecnologia Catarinense",Concórdia,2010,"['MARTÍNEZ, Á. O. T. and', 'ALBINO, S. F. and', 'ALMEIDA, S. M. and', 'FAQUETI, M. F. and']"
