FONTE,TIPO,ID,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,1883007948533852,José Guilherme Camargo de Souza,RESUMO,MonetML - MOlecular NETwork Markup Language,2004,Português,,São Leopoldo,2004,"['FERREIRA, Rejane Apolo and', 'SEM_DADOS and']"
LATTES,TRAB.EVENTO,1883007948533852,José Guilherme Camargo de Souza,COMPLETO,Bioinformatics: A Growing Field for Ontologies,2004,Inglês,Workshop on Ontologies and their Applications,São Luís,2004,"['BATTISTELLA, E. and', 'FERREIRA, R. A. and', 'VIEIRA, R. and', 'MOMBACH, J. C. M. and', 'LEMKE, N. and', 'SEM_DADOS and']"
LATTES,TRAB.EVENTO,1883007948533852,José Guilherme Camargo de Souza,COMPLETO,An Integrated Model for Cellular Analysis,2004,Inglês,Proceedings of III Brazilian Workshop on Bioinformatics,Brasília,,"['BATTISTELLA, E. and', 'BARCELLOS, C. K. and', 'LEMKE, N. and', 'MOMBACH, J. C. M. and', 'SEM_DADOS and']"
LATTES,TRAB.EVENTO,1883007948533852,José Guilherme Camargo de Souza,RESUMO,Monet Ontology as a tool to construct and explore integrated biological networks,2006,Inglês,Proceedings of the 14th Annual International Conference on Intelligent Systems for Molecular Biology,Fortaleza,,"['LEMKE, N. and', 'VIEIRA, R. and', 'SILVA, João Paulo Müller da and', 'SINIGAGLIA, Marialva and', 'MOMBACH, J. C. M. and', 'SEM_DADOS and']"
LATTES,TRAB.EVENTO,1883007948533852,José Guilherme Camargo de Souza,COMPLETO,Using Protégé to build a molecular network ontology,2005,Inglês,Proceedings of the 8th International Protégé Conference,Madri,,"['MOMBACH, J. C. M. and', 'BATTISTELLA, E. and', 'VIEIRA, R. and', 'SILVA, João Paulo Müller da and', 'BARCELLOS, C. K. and', 'SILVA, Norma Machado da and', 'LEMKE, N. and', 'REIS, Adriana Neves dos and', 'SEM_DADOS and']"
LATTES,TRAB.EVENTO,1883007948533852,José Guilherme Camargo de Souza,RESUMO,MONET - MOlecular NETwork Ontology,2004,Português,XVI Salão de Iniciação Científica,SEM_DADOS,,['SEM_DADOS and']
LATTES,TRAB.EVENTO,1883007948533852,José Guilherme Camargo de Souza,RESUMO,Uma Abordagem para Viabilizar o Processo de DataWarehouse de Dados Biológicos,2005,Português,ERBD 2005,Porto Alegre,,"['BATTISTELLA, E. and', 'LEMKE, N. and', 'MOMBACH, J. C. M. and', 'SEM_DADOS and']"
LATTES,TRAB.EVENTO,1883007948533852,José Guilherme Camargo de Souza,RESUMO_EXPANDIDO,Semantic tagging for resolution of indirect anaphora,2006,Inglês,Proceedings of the 7th SIGdial Workshop on Discourse and Dialogue,Sydney,2006,"['VIEIRA, R. and', 'Bick, Eckhard and', 'COELHO, J. C. B. and', 'MULLER, V. M. and', 'ABREU, Sandra Collovini and', 'RINO, L. H. M. and', 'SEM_DADOS and']"
LATTES,TRAB.EVENTO,1883007948533852,José Guilherme Camargo de Souza,RESUMO_EXPANDIDO,Proposta de um esquema de anotação de corpora extensível,2006,Português,Anais do TIL - Simpósio Brasileiro de Inteligência Artificial,Ribeirão Preto,2006,"['GONÇALVES, Patrícia Nunes and', 'VIEIRA, R. and', 'SEM_DADOS and']"
LATTES,TRAB.EVENTO,1883007948533852,José Guilherme Camargo de Souza,COMPLETO,Learning Coreference Resolution for Portuguese Texts,2008,Inglês,Proceedings of the International Conference on Computational Processing of Portuguese Language,Curia,2008,"['GONÇALVES, Patrícia Nunes and', 'VIEIRA, R. and', 'SEM_DADOS and']"
