FONTE,TIPO,ID,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,8420765645015906,Lucas Rodrigues de Farias,RESUMO,Rede de Pesquisa da FURG,2011,Português,Anais da X MPU,Rio Grande,2011,"['FARIAS, Lucas R.;FARIAS, L. R.;FARIAS, Lucas Rodrigues de and', 'VARGAS, André P. and', 'BORGES, Eduardo N. and']"
LATTES,TRAB.EVENTO,8420765645015906,Lucas Rodrigues de Farias,RESUMO,Uma ferramenta para coleta e análise de dados do segmento naval,2011,Português,Anais da X MPU,Rio Grande,2011,"['OTERO, Tiago F. and', 'FARIAS, Lucas R. and', 'SILVA, R. S. and', 'BORGES, Eduardo N. and', 'VARGAS, André P. and', 'ADAMATTI, Diana. F. and']"
LATTES,TRAB.EVENTO,8420765645015906,Lucas Rodrigues de Farias,RESUMO_EXPANDIDO,Uma Ferramenta para Coleta e Análise de Dados do Segmento Naval,2012,Português,Anais da VIII Escola Regional de Banco de Dados,Curitiba,2012,"['OTERO, Tiago F. and', 'FARIAS, Lucas R. and', 'VARGAS, André P. and', 'BORGES, Eduardo N. and']"
LATTES,TRAB.EVENTO,8420765645015906,Lucas Rodrigues de Farias,COMPLETO,Um sistema para análise de redes de pesquisa baseado na Plataforma Lattes,2012,Português,Anais da VIII Escola Regional de Banco de Dados,Curitiba,2012,"['FARIAS, Lucas R. and', 'VARGAS, André P. and', 'BORGES, Eduardo N. and']"
