FONTE,TIPO,ID_LATTES,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL/LIVRO,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,4515546957805206,Larissa Rodrigues Lautert,RESUMO,Atividade de  Desenvolvimento Web com a Ferramenta Google Sites para Crianças Caracterizadas com  Altas Habilidades,2009,Português,2º Fórum Extensão Conta,Santa Maria,2009,"['ATHAYDE, F. L. and', 'APEL, B. G. and', 'LIBRELOTTO, G. R. and', 'SEM_DADOS and']"
LATTES,TRAB.EVENTO,4515546957805206,Larissa Rodrigues Lautert,RESUMO,Atividades com Software e Lógica de Programação para Crianças Caracterizadas com Altas  Habilidades,2008,Português,23ª Jornada Acadêmica Integrada,Santa Maria,2008,"['GOTTIN, V. M. and', 'RIVAS, F. L. and', 'PEREIRA, A. and', 'SANTOS, A. K. and', 'CHARAO, A. S. and', 'SEM_DADOS and']"
LATTES,TRAB.EVENTO,4515546957805206,Larissa Rodrigues Lautert,RESUMO,"Adequação de Sistema Informatizado de Análise, Controle e Previsão de Ocorrência da Fenologia de Plantas Cultivadas",2010,Português,25ª Jornada Acadêmica Integrada,Santa Maria,2010,"['AVELAR, F. T. and', 'TROIS, C. and', 'CARLESSO, R. and', 'SEM_DADOS and']"
LATTES,TRAB.EVENTO,4515546957805206,Larissa Rodrigues Lautert,RESUMO_EXPANDIDO,Inclusão Digital e Educação Tutorial: Unindo Esforços no Combate à Exclusão Social,2008,Português,XI SulPET - Encontro dos Grupos PET da Região Sul,Blumenau,2008,"['FOGLIATTO, J. A. and', 'SANTOS, A. K. and', 'COGO, V. V. and', 'GOTTIN, V. M. and', 'CHARAO, A. S. and', 'SEM_DADOS and']"
LATTES,TRAB.EVENTO,4515546957805206,Larissa Rodrigues Lautert,COMPLETO,Implementação de um Simulador de Consultas em Álgebra Relacional,2011,Português,Anais da Escola Regional de Banco de Dados,Novo Hamburgo,2011,"['SACCOL, D. B. and', 'SEM_DADOS and']"
LATTES,TRAB.EVENTO,4515546957805206,Larissa Rodrigues Lautert,COMPLETO,Pré-processamento de tabelas Web heterogêneas para execução do algoritmo de junção merge,2012,Português,Anais da VII Escola Regional de Banco de Dados,Curitiba,2012,"['Dorneles, Carina F and', 'SEM_DADOS and']"
