FONTE,TIPO,ID_LATTES,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL/LIVRO,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,8317821729275486,André Dias Bastos,RESUMO,Uma ferramenta para elaboração de exercícios integrados ao TelEduc.,2002,Português,,Porto Alegre,2002,"['SILVEIRA, Ricardo A. and', 'SEM_DADOS and']"
LATTES,TRAB.EVENTO,8317821729275486,André Dias Bastos,RESUMO,Uma ferramenta para elaboração de exercícios integrados ao TelEduc utilizando PHP e MySQL,2002,Português,,Pelotas,2002,"['SILVEIRA, Ricardo A. and', 'SEM_DADOS and']"
LATTES,TRAB.EVENTO,8317821729275486,André Dias Bastos,COMPLETO,Transformação de GML para SVG em uma Clearinghouse para disponibilização de dados geográficos na Internet,2004,Português,,Itajaí,2004,"['IOCHPE, Cirano and', 'LIMA, José Valdeni de and', 'SEM_DADOS and']"
LATTES,TRAB.EVENTO,8317821729275486,André Dias Bastos,COMPLETO,Transformação de GML para SVG no contexto de uma Clearinghouse. ,2004,Português,,São Paulo,2004,"['MARTINS, T. F. and', 'IOCHPE, Cirano and', 'SEM_DADOS and']"
LATTES,TRAB.EVENTO,8317821729275486,André Dias Bastos,COMPLETO,Urban Planning by Simulation of Population Growth,2004,Inglês,,Campos do Jordão,2004,"['IOCHPE, Cirano and', 'WAGNER, Flávio Rech and', 'HESS, G. N. and', 'ALMEIDA, M. A. and', 'SEM_DADOS and']"
