FONTE,TIPO,ID_LATTES,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,2770999583622791,Ronaldo Canofre Mariano dos Santos,COMPLETO,Desenvolvimento de um Sistema de apoio à gestão de evento do Programa de Ensino Tutorial,2007,Português,Anais da XXII CRICTE. Passo Fundo: UPF,Passo Fundo,2007,"['SANTOS, Ronaldo C. M. dos and', 'VICENTINI, Caroline F. and', 'SCHMIDT, Adler H. and', 'VIEIRA, Patrick P. and', 'CHARAO, Andrea S. and']"
LATTES,TRAB.EVENTO,2770999583622791,Ronaldo Canofre Mariano dos Santos,COMPLETO,Análise Comparativa de Desenpenho do Hipervisor Xen: Paravirtualização versus Virtualização Total,2008,Português,Anais Simpósio de Sistemas Computacionais,Campo Grande,2008,"['SANTOS, Ronaldo C. M. dos and', 'CHARAO, Andrea S. and']"
LATTES,TRAB.EVENTO,2770999583622791,Ronaldo Canofre Mariano dos Santos,COMPLETO,Uma Avaliação de Algoritmos para Mineração de Dados Disponíveis na Web,2016,Português,Anais da XII ESCOLA REGIONAL DE BANCO DE DADOS,Londrina,2016,"['SANTOS, Ronaldo C. M. dos and', 'BORGES, E. N. and', 'MACHADO, K. S. and']"
LATTES,TRAB.EVENTO,2770999583622791,Ronaldo Canofre Mariano dos Santos,COMPLETO,Desenvolvimento de uma biblioteca Digital de Trabalhos de Graduação,2007,Português,Anais da XXI CRICTE,Passo Fundo,2007,"['SANTOS, Ronaldo C. M. dos and', 'VICENTINI, Caroline F. and', 'Bevilacqua, Fernando and', 'SCHMIDT, Adler H. and', 'CHARAO, Andrea S. and']"
LATTES,TRAB.EVENTO,2770999583622791,Ronaldo Canofre Mariano dos Santos,COMPLETO,Gerenciador de Certificados Automatizado usando PHP 5 e MySQL,2006,Português,Anais da XXI CRICTE. Passo Fundo: UPF,Passo Fundo,2006,"['SCHMIDT, Adler H. and', 'VICENTINI, Caroline F. and', 'Bevilacqua, Fernando and', 'Sichonany, Oni R. de A. and', 'SANTOS, Ronaldo C. M. dos and']"
LATTES,TRAB.EVENTO,2770999583622791,Ronaldo Canofre Mariano dos Santos,COMPLETO,Case de definição e implantação de solução MPLS na UNIPAMPA,2018,Português,Workshop de Tecnologia de Informação e Comunicação das Instituições Federais de Ensino Superior,Foz do Iguaçu,2018,"['FIORENZA, M. M. and', 'SANTOS, Ronaldo C. M. dos and', 'FLORA, F. D. and']"
LATTES,TRAB.EVENTO,2770999583622791,Ronaldo Canofre Mariano dos Santos,COMPLETO,Redes WiFi na UNIPAMPA: Uma adequação as novas necessidades,2018,Português,"Anais do 10º Salão Internacioanl de Ensino, Pesquisa e Extensão - SIEPE",Santana do Livramento,2018,"['SANTOS, Ronaldo C. M. dos and', 'FIORENZA, M. M. and']"
