ID,NOME COMPLETO,INSTITUIÇÃO
4784229564517752,Cláudio de Lima,Universidade Federal de Santa Catarina
513694670507977,Elisa Mannes,
5360960592754214,César Feijó Nadvorny,Universidade Federal do Rio Grande do Sul
8287139445606249,João Victor Guinelli da Silva,Petróleo Brasileiro - Rio de Janeiro - Matriz
7445302660507386,Rudimar Imhof,
4441280690459628,Roberto Walter,
4309165322070547,Dinei André Rockenbach,Tribunal Regional do Trabalho da 4ª Região (RS)
6439298093380707,Cleto May,
2747683951158303,Rafael Luís Vasel,Universidade Federal de Santa Catarina
743793296062293,Daniel Cardoso Moraes de Oliveira,Universidade Federal Fluminense
2339717419262914,Leandro Castoldi López,
6130162565784855,Renan Bet Rodrigues,Maxximo Fidelidade
5726259776195113,Wdnei Ribeiro da Paixao,
8974041265721813,Taisa Carla Novello,Pontifícia Universidade Católica do Rio Grande do Sul
6055243052118565,Cristina Paludo Santos,Fundação Regional Integrada
7497320738069454,Edimar Manica,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul"
6154063301402982,Alexander Richard Vinson,Banco da Amazônia - Belém
6691159669413992,Elielson Barbosa de Souza,
9661132812612213,Euler Taveira de Oliveira,Universidade Federal do Rio Grande do Sul
5460029533893944,Maria Estela Vieira da Silva,Universidade Federal do Rio Grande do Sul
6296010765327790,Edson Murakami,Instituto Federal de São Paulo
593153801544855,Rodrigo Luis Suder,Universidade do Vale do Itajaí
2601009409434833,Manuele dos Reis Ferreira,
2770999583622791,Ronaldo Canofre Mariano dos Santos,Universidade Federal do Pampa
867460619908697,Rodrigo Gonçalves,Universidade Federal de Santa Catarina
6771642666904396,Alex Sandro Romeo de Souza Poletto,Fundação Educacional do Município de Assis
8488632251760640,Marcos Vinicius de Moura Lima,
4840194867713376,Eduardo Studzinski Estima de Castro,
4838297393852726,Cleusa Maria Andrade Scroferneker,Pontifícia Universidade Católica do Rio Grande do Sul
9799220042481067,Pedro Henrique Stolarski Auceli,
9486400043926456,Robinson Figueiredo de Camargo,Universidade Federal de Santa Maria
943321240537948,Kaio Alexandre da Silva,Instituto Federal de Educação Ciência e Tecnologia de Rondônia
7243777210978499,Darlan Florêncio de Arruda,The University of Western Ontario
3914159735707328,Sandro José Rigo,Universidade do Vale do Rio dos Sinos
456516366590574,Rodrigo Machado,Universidade Federal do Rio Grande do Sul
6882914796754390,Jonathan Vinícius Suter,
7914190406004023,Luiz Gustavo Moro Senko,Instituto Federal Catarinense
2319733789095224,Henrico Bertini Brum,SiDi
436674201471603,Gustavo Rossarolla Forgiarini,Pontifícia Universidade Católica do Rio Grande do Sul
1560771253913044,Tiago Fossati Otero,
9113125773849536,Juliana Bonato dos Santos,Tribunal Regional Federal da 4ª Região
6854430172424635,Yuri Socher Bichibichi,
4559510462924787,Joedeson Fontana Junior,
9408286832772730,Anselmo Maciel Nunes,Tribunal de Justica do Estado de Santa Catarina
2383727409843499,Gustavo Costa Meireles,Instituto Federal Catarinense
8420765645015906,Lucas Rodrigues de Farias,
5240758839011827,Willian Ventura Koerich,
5020653372999435,Ricardo Wilmar Gross,
5046557311321623,Marcelo Zambiasi,Tribunal Regional do Trabalho da 4ª Região (RS)
6968807521387651,Danilo Souza da Cunha,Universidade Presbiteriana Mackenzie
9856398577674606,Saimor Raduan Araújo Souza,
8419929244627524,Cleiton Fernando Lima Sena,
838935770686961,Émerson Pinto Homrich,
9735097775351422,Danilo Sambugaro de Carlo,
9961895409746094,Filipe Roberto Silva,
1394224092286,Alex Marino Gonçalves de Almeida,Centro Estadual de Educação Tecnológica Paula Souza
721839644753258,Gustavo Zanini Kantorski,Universidade Federal de Santa Maria
5847865533404279,Rodrigo Moreira,
