FONTE,TIPO,ID,NOME,TITULO,ANO,LANG,EDITORA,AUTORES
LATTES,CAP.LIVRO,9564405566367158,Vinícius Fülber Garcia,Compression of Very Sparse Column Oriented Data (Extended Version).,2017,Inglês,CreateSpace Independent Publishing Platform,"['FULBER GARCIA, VINICIUS;GARCIA, VINICIUS FULBER;GARCIA, VINICIUS F.;GARCIA, V. F.;Garcia, Vinícius F.;Fulber-Garcia, Vinicius', 'MERGEN, S. L. S.']"
LATTES,CAP.LIVRO,9564405566367158,Vinícius Fülber Garcia,CUSCO: A Customizable Solution for NFV Composition,2020,Português,Springer International Publishing,"['Fulber-Garcia, Vinicius', 'Luizelli, Marcelo Caggiani', 'dos Santos, Carlos R. Paula', 'DUARTE, ELIAS P.']"
LATTES,CAP.LIVRO,9564405566367158,Vinícius Fülber Garcia,An NSH-Enabled Architecture for Virtualized Network Function Platforms,2020,Português,Springer International Publishing,"['Garcia, Vinícius F.', 'Marcuzzo, Leonardo C.', 'Souza, Giovanni V.', 'BONDAN, LUCAS', 'Nobre, Jéferson C.', 'SCHAEFFER-FILHO, ALBERTO E.', 'DOS SANTOS, CARLOS R. P.', 'GRANVILLE, LISANDRO Z.', 'DUARTE, ELIAS P.']"
LATTES,CAP.LIVRO,9564405566367158,Vinícius Fülber Garcia,Perfil dos Egressos do Curso de Ciência da Computação da Universidade Federal de Santa Maria (Extendido),2018,Português,CreateSpace Independent Publishing Platform,"['GARCIA, V. F.', 'SANTANA, B. S.', 'GAIARDO, G. F.', 'LUCCA, L. P.', 'CARDOSO, P. V. M.', 'LIBRELOTTO, G. R.']"
