FONTE,TIPO,ID,NOME,TITULO,ANO,LANG,EDITORA,AUTORES
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,Relações Públicas x função política e a administração de conflitos/controvérsias,1999,Português,ECA/USP:CLC,"['SCROFERNEKER, Cleusa Maria Andrade', 'MOURA, C. P.']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,Comunicando Juntos.,2004,Português,MAUAD,"['SCROFERNEKER, Cleusa Maria Andrade']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,O que é afinal Comunicação Interna?,2007,Português,EDIPUCRS,"['MOURA, C. P.', 'SCROFERNEKER, Cleusa Maria Andrade', 'SIMÕES, R. P.', 'DORNELLES, Souvenir', 'JACOBUS, Léa Denise Senger', 'MACHADO, Elaine', 'STEFFEN, Ana Roig']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,(Re)Visitando a História das Relações Públicas,2008,Português,EDIPUCRS,"['SCROFERNEKER, Cleusa Maria Andrade']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,Novas perspectivas para as relações públicas no espaço virtual.,2008,Português,Editora EDUNISC,"['SCROFERNEKER, Cleusa Maria Andrade', 'MOURA, Claudia Peixoto de']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,Comunicação Organizacional: certezas e incertezas,2008,Português,EDIPUCRS,"['SCROFERNEKER, Cleusa Maria Andrade', 'BALDISSERA, R.', 'SOSTER, Ana Regina de Moraes', 'WELS, A.', 'RECH, J.']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,Comunicação das organizações nos estudos do programa de Pós-Graduação em Comunicação,2009,Português,Difusão Editora,"['MOURA, Claudia Peixoto de', 'SCROFERNEKER, Cleusa Maria Andrade', 'SIMÕES, R. P.']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,Processos comunicacionais na implantação dos programas de qualidade e de certificações,2009,Português,Saraiva,"['SCROFERNEKER, Cleusa Maria Andrade']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,Comunicação e cultura organizacional: a complexidade dos diálogos (in)visíveis,2010,Português,Difusão Editora,"['Alexandre de Pádua Carrieri', 'Maria Virginia Borges Amaral', 'Marialva Carlos Barbosa', 'Marlene Marchiori', 'Massimo Di Felice', 'Miguel Contani', 'Paulo Nassar', 'Regiane Regina Ribeiro', 'Roseli Fígaro', 'BALDISSERA, R.', 'Sergio Alves', 'Alfredo Rodrigues Leite da Silva', 'Sergio Bulgacov', 'Suzana Braga Rodrigues', 'Vera França', 'Valério Cruz Brittos', 'SCROFERNEKER, Cleusa Maria Andrade', 'Fábia Pereira Lima', 'Helenice Carvalho', 'Ivone de Lourdes Oliveira', 'Jean-Charles Jacques Zozzoli', 'IASBECK, Luis Carlos Assis', 'Lúcia Santaella']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,Perspectivas Contemporâneas da Comunicação Organizacional,2011,Português,Sulina,"['SCROFERNEKER, Cleusa Maria Andrade']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,COMUNICACIÓN Y CULTURA ORGANIZACIONAL: RECORRIDOS RECURSIVOS,2013,Espanhol,Biblioteca Nueva,"['SCROFERNEKER, Cleusa Maria Andrade', 'BALDISSERA, R.']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,A produção intelectual em Comunicação Organizacional,2013,Português,Intercom,"['SCROFERNEKER, Cleusa Maria Andrade']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,SEM_DADOS,2014,Português,Difusão Editora/SENAC,"['Alexandre de Pádua Carrieri', 'Alfredo Rodrigues Leite da Silva', 'FIDALGO, A.', 'SCROFERNEKER, Cleusa Maria Andrade', 'GONCALVES, G.', 'ROSSETTI, G. R.', 'Roseli Fígaro', 'BALDISSERA, R.', 'EMEDIATO, W.']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,Planejamento de relações públicas na comunicação integrada,2014,Português,Intercom,"['SCROFERNEKER, Cleusa Maria Andrade']"
