FONTE,TIPO,ID_LATTES,NOME,TITULO,EVENTO/JOURNAL/LIVRO,ANO,LANG,EDITORA,AUTORES
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Resíduos da atividade moveleira: resíduos de processos de pintura,Pólo Moveleiro da Serra Gaúcha - Sistemas de Gerenciamento Ambiental na Indústria Moveleira,2006,Português,Editora da Universidade de Caxias do Sul - EDUCS,"['SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider', 'MUNIZ, Ana Rosa Costa', 'MUNIZ, L. A. R.']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Uso energético de resíduos de madeira na cadeia produtiva de madeira móveis e possibilidades de geração de créditos de carbono,Pólo Moveleiro da Serra Gaúcha - Sistemas de Gerenciamento Ambiental na Indústria Moveleira,2006,Português,Editora da Universidade de Caxias do Sul - EDUCS,"['FINOTTI, Alexandra Rodrigues', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider', 'WANDER, Paulo Roberto', 'HILLIG, Éverton', ""SILVA, Mauricio D'agostini""]"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Custos ambientais no contexto das indústrias moveleiras,Pólo Moveleiro da Serra Gaúcha - Sistemas de Gerenciamento Ambiental na Indústria Moveleira,2006,Português,Editora da Universidade de Caxias do Sul - EDUCS,"['BEN, Fernando', 'NEHME, Marcelo Carlotto', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Fundamentos legais e o licenciamento ambiental,Pólo Moveleiro da Serra Gaúcha - Sistemas de Gerenciamento Ambiental na Indústria Moveleira,2006,Português,Editora da Universidade de Caxias do Sul - EDUCS,"['SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider', 'NEHME, Marcelo Carlotto']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Tratamento e reúso de efluentes gerados na indústria moveleira,Pólo Moveleiro da Serra Gaúcha - Sistemas de Gerenciamento Ambiental na Indústria Moveleira,2006,Português,Editora da Universidade de Caxias do Sul - EDUCS,"['BEAL, Lademir Luiz', 'QUISSINI, Carina Soldera', 'GOMES, Fábio Mateus', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Métodos de transformação e aproveitamento da fração orgânica: Minimização da quantidade de resíduos dispostos em aterro,"Gerenciamento de resíduos sólidos urbanos com ênfase na proteção de corpos d'água: Prevenção, geração e tratamento de lixiviados de aterro sanitário",2006,Português,ABES,"['PESSIN, Neide', 'FERNANDES, Fernando', 'PANAROTTO, Cláudia Teixeira', 'FINOTTI, Alexandra Rodrigues', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider', 'SILVA, Sandra Márcia Cesário Pereira da', 'HOSSAKA, André Luiz', 'TELH, Marcia']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Ecoeficiência em pesquisas em pequenas e médias empresas - desafios à implementação.,Programa Alfa II - Rede Jean Mermoz - Projeto de formação de investigadores.,2006,Português,Programa Alfa II - Rede Jean M,"['PENTTINEN, Ilpo', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Looking for new way to improve waste management,Programa Alfa II,2006,Inglês,Rede Jean Mermoz - Programa Alfa II,"['Koivisto, Jenni', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Análisis de metodologías para diagnóstico caracterización y reaprovechamiento de resíduos de la construcción civil aplicables al municpio de Caxias do Sul.,Programa Alfa II - Rede Jean Mermoz - Projeto de Formação de Investigadores,2006,Espanhol,Programa Alfa II - Rede Jean Mermoz,"['Rojas, Ricardo X. de La Torre', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Planos Ambientais,Capacitação de Gestores em Saneamento Ambiental - Nível 2,2009,Português,RECESA - Universidade de Caxias do Sul,"['SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider', 'CEMIN, Gisele', 'SCHMITZ, Daniel', 'FINOTTI, Alexandra Rodrigues']"
