FONTE,TIPO,ID,NOME,TITULO,ANO,LANG,EDITORA,AUTORES
LATTES,CAP.LIVRO,6055243052118565,Cristina Paludo Santos,"Estudo da linguagem de programação O++, utilizada para definição, pesquisa e manipulação do SGBD ODE",1997,Português,EDITORA PAULO AZEREDO,"['SANTOS, C. P.;P., CRISTINA;SANTOS, CRISTINA PALUDO;PALUDO SANTOS, CRISTINA']"
LATTES,CAP.LIVRO,6055243052118565,Cristina Paludo Santos,Desenvolvimento de Soluções Educacionais através da Metareciclagem de Máquinas Caça-Níqueis,2014,Português,FURI,"['SANTOS, C. P.;P., CRISTINA;SANTOS, CRISTINA PALUDO;PALUDO SANTOS, CRISTINA', 'SCHIEVELBEIN, G.', 'BRUM, T.', 'ZUSE, V. I.']"
