FONTE,TIPO,ID,NOME,TITULO,ANO,LANG,EDITORA,AUTORES
LATTES,CAP.LIVRO,9727123750824948,Nádia Puchalski Kozievitch,Content-Based Image Retrieval.,2014,Inglês,Morgan &amp; Claypool Publishers,"['Torres, R. da S.', 'Kozievitch, N. P.', 'MURTHY, U.', 'FALCAO, A. X.']"
LATTES,CAP.LIVRO,9727123750824948,Nádia Puchalski Kozievitch,Subdocuments,2014,Inglês,Morgan &amp; Claypool Publishers,"['MURTHY, U.', 'Delcambre, L.', 'Torres, R. da S.', 'Kozievitch, N. P.']"
LATTES,CAP.LIVRO,9727123750824948,Nádia Puchalski Kozievitch,Complex Objects,2014,Inglês,Morgan &amp; Claypool Publishers,"['Kozievitch, N. P.', 'Torres, R. da S.']"
LATTES,CAP.LIVRO,9727123750824948,Nádia Puchalski Kozievitch,A Smarter Sidewalk-Based Route Planner for Wheelchair Users: An Approach with Open Data,2017,Português,Springer International Publishing,"['KOZIEVITCH, NÁDIA P.', 'ALMEIDA, LEONELO D. A.', 'da Silva, Ricardo Dutra', 'MINETTO, RODRIGO']"
LATTES,CAP.LIVRO,9727123750824948,Nádia Puchalski Kozievitch,A Survey on Agile Practices and Challenges of a Global Software Development Team,2019,Português,Springer International Publishing,"['Lautert, Tatiane', 'Neto, Adolfo Gustavo Serra Seca', 'KOZIEVITCH, NÁDIA P.']"
