287	Rafael F. Machado	m	0	\N	\N	\N
288	Rafael F. Pinheiro	m	0	\N	\N	\N
293	Sylvio Barbon Jr.	m	0	\N	\N	\N
294	Rodrigo A. Igawa	m	0	\N	\N	\N
299	Carlos H. Arima	m	0	\N	\N	\N
302	Matheus Peviani Vellone	m	0	\N	\N	\N
308	Rodrigo Luiz Antoniazzi	m	0	\N	\N	\N
310	Igor Lemos Vicente	m	0	\N	\N	\N
311	Guilherme Dal Bianco	m	0	\N	\N	\N
313	Carlos Vinicius F. Gracioli	m	0	\N	\N	\N
317	Dalvan Griebler	m	0	\N	\N	\N
318	Samuel Souza	m	0	\N	\N	\N
322	Odacir Deonisio Graciolli	m	0	\N	\N	\N
323	Roberto Canuto Spiandorello	m	0	\N	\N	\N
324	Guilherme Vanzin Hoffmann	m	0	\N	\N	\N
325	Miguel Ângelo Pontalti Giordani	m	0	\N	\N	\N
327	Leonardo C. Steffenello	m	0	\N	\N	\N
330	Jader Osvino Fiegenbaum	m	0	\N	\N	\N
331	Evandro Franzen	m	0	\N	\N	\N
332	Elvis Kesley de Assis	m	0	\N	\N	\N
334	Demóstenes Z. Rodríguez	m	0	\N	\N	\N
339	Luis Filipe de Castro Sampaio	m	0	\N	\N	\N
340	Lucas Felipe Alves de Aráujo	m	0	\N	\N	\N
346	Eder Pazinatto	m	0	\N	\N	\N
347	José Maurício Carré Maciel	m	0	\N	\N	\N
349	Gian L. M. Flores	m	0	\N	\N	\N
350	Mateus H. Dal Forno	m	0	\N	\N	\N
351	Giovane N. M. Costa	m	0	\N	\N	\N
356	Paulo R. Rodegheri	m	0	\N	\N	\N
357	Jean Luca Bez	m	0	\N	\N	\N
358	Neilor A. Tonin	m	0	\N	\N	\N
359	Matheus Oliveira	m	0	\N	\N	\N
361	Horacio Legal-Ayala	m	0	\N	\N	\N
366	Natan Luiz Paetzhold Berwaldt	m	0	\N	\N	\N
368	Cristiano da Cunha Ribas	m	0	\N	\N	\N
370	Vinícius Lampert	m	0	\N	\N	\N
371	Denizar Souza	m	0	\N	\N	\N
372	Rodrigo Silva	m	0	\N	\N	\N
383	Rian Brüggemann	m	0	\N	\N	\N
385	Carlos Andrew Bezerra	m	0	\N	\N	\N
1	César Feijó Nadvorny	Male	\N	5360960592754214	SEM_DADOS	2002-10-25
387	Darlan Andrade	m	0	\N	\N	\N
388	Rafael Liberato	m	0	\N	\N	\N
389	André Schwerz	m	0	\N	\N	\N
390	Ronan Knob	m	0	\N	\N	\N
115	Cláudio de Lima	Male	\N	4784229564517752	LIMA, C.;DE LIMA, CLAUDIO	2020-04-02
393	Alex Sandro Roschildt Pinto	m	0	\N	\N	\N
400	Cleiton Fernando Lima Sena	Male	\N	8419929244627524	SENA, C. F. L.;LIMA SENA, CLEITON FERNANDO	2018-08-25
395	Rodrigo Nogueira	m	0	\N	\N	\N
397	Daniel Anderle	m	0	\N	\N	\N
398	Rafael Speroni	m	0	\N	\N	\N
399	Michel Costa	m	0	\N	\N	\N
237	Cleto May	Male	\N	6439298093380707	MAY, C.;MAY, CLETO	2014-11-07
401	Bruni R. L. Machado	m	0	\N	\N	\N
402	João Fernandes	m	0	\N	\N	\N
403	Aurélio Hoppe	m	0	\N	\N	\N
404	Christian Krambeck	m	0	\N	\N	\N
406	Julio Cesar Refosco	m	0	\N	\N	\N
407	Ralf Marcos Ehmke	m	0	\N	\N	\N
139	Cleusa Maria Andrade Scroferneker	Female	\N	4838297393852726	SCROFERNEKER, Cleusa Maria Andrade	2020-07-05
409	Alexandre Amaral	m	0	\N	\N	\N
411	Roger Monteiro	m	0	\N	\N	\N
53	Cristian Tristão	Male	\N	3061704612929866	SEM_DADOS	2012-09-28
415	Adriano Silva	m	0	\N	\N	\N
240	Cristiano Politowski	Male	\N	8794788615369610	POLITOWSKI, C.	2016-04-27
419	Cristina Paludo Santos	Female	\N	6055243052118565	SANTOS, C. P.;P., CRISTINA;SANTOS, CRISTINA PALUDO;PALUDO SANTOS, CRISTINA	2019-11-18
376	Daniel Cardoso Moraes de Oliveira	Male	\N	743793296062293	OLIVEIRA, D. C. M.;OLIVEIRA, D.;DE OLIVEIRA, D.;DE OLIVEIRA, DANIEL;OLIVEIRA, DANIEL DE;OLIVEIRA, DANIEL MORAES DE;MORAES DE OLIVEIRA, DANIEL;OLIVEIRA, DANIEL	2020-07-20
10	Duncan Ruiz	m	0	\N	\N	\N
188	Daniel Matheus Kuhn	Male	\N	4679763284278931	KUHN, D. M.	2019-10-15
14	Deivith Maia Soares	m	0	\N	\N	\N
15	Giuliano Alves Massaro	m	0	\N	\N	\N
16	Miguel Rodrigues Fornari	m	0	\N	\N	\N
17	Eduardo Johann	m	0	\N	\N	\N
18	Eduardo Kroth	m	0	\N	\N	\N
386	Danilo Sambugaro de Carlo	Male	\N	9735097775351420	CARLO, D. S.	2017-08-13
417	Danilo Souza da Cunha	Male	\N	6968807521387651	CUNHA, D. S.;da Cunha, Danilo Souza;CUNHA, DANILO SOUZA DA;DA CUNHA, DANILO S.;CUNHA, DANILO;CUNHA, DANILO S. DA	2020-02-03
22	Thyago Borges	m	0	\N	\N	\N
23	Daniel Lichtnow	m	0	\N	\N	\N
24	Stanley Loh	m	0	\N	\N	\N
25	Ramiro Saldaña	m	0	\N	\N	\N
26	Everton Sparenberger Dias	m	0	\N	\N	\N
169	Darlan Florêncio de Arruda	Male	\N	7243777210978499	ARRUDA, DARLAN;ARRUDA, D	2019-08-15
422	Débora Cabral Nazário	Female	\N	6905169880963398	NAZÁRIO, DÉBORA CABRAL;NAZARIO, DEBORA CABRAL	2019-12-04
123	Deise de Brum Saccol	Female	\N	7758924784164781	SACCOL, D. B.;SACCOL, DEISE DE BRUM	2020-06-08
32	Luiz Fernando De Ros	m	0	\N	\N	\N
206	Diego Magno Tavares da Silva	Male	\N	8382486031831849	SILVA, D. M. T.	2020-02-17
34	Guillermo Hess	m	0	\N	\N	\N
35	Cirano Iochpe	m	0	\N	\N	\N
315	Dinei André Rockenbach	NA	\N	4309165322070547	ROCKENBACH, D. A.;ROCKENBACH, Dinei A.	2020-05-09
37	Eduardo Battistella	m	0	\N	\N	\N
39	José Carlos M. Mombach	m	0	\N	\N	\N
307	Diogo Luis Von Grafen Rubert	Male	\N	9751072612298490	RUBERT, Diogo L. V. G.	2015-10-29
42	Rodrigo Giacomini Moro	m	0	\N	\N	\N
44	Rilson Nascimento	m	0	\N	\N	\N
46	Mauro Leal	m	0	\N	\N	\N
107	Douglas Dyllon Jeronimo de Macedo	Male	\N	149028226656519	MACEDO, D. D. J.;Douglas D. J. de Macedo;de Macedo, D. D. J.;de Macedo, Douglas D. J.;Douglas Dyllon Jeronimo de Macedo;MACEDO, DOUGLAS D.J. DE;DE MACEDO, DOUGLAS D.J.;MACEDO, DOUGLAS DYLLON JERONIMO DE;MACEDO, DOUGLAS;MACEDO, DOUGLAS D. J. DE;DE MACEDO, DOUGLAS DYLLON JERONIMO;DOUGLAS DE MACEDO, D. J.;DE MACEDO, D.	2020-07-31
187	Douglas Negrini	Male	\N	4949286508602153	SEM_DADOS	2011-10-28
76	Edécio Fernando Iepsen	Male	\N	2878943895928097	IEPSEN, Edécio F.	2019-07-26
118	Edimar Manica	Male	\N	7497320738069454	MANICA, Edimar;Manica, E.	2020-07-30
428	Edson Murakami	Male	\N	6296010765327790	MURAKAMI, E.	2020-07-06
29	Eduardo Studzinski Estima de Castro	Male	\N	4840194867713376	CASTRO, E.S.E.	2018-01-18
57	Edson Padoin	m	0	\N	\N	\N
253	Elielson Barbosa de Souza	Male	\N	6691159669413992	SOUZA, E. B.	2019-02-23
290	Roberto Walter	Male	\N	4441280690459628	WALTER, R.	2016-01-29
62	Fabrício Santos da Silva	m	0	\N	\N	\N
67	Marcos Nunes	m	0	\N	\N	\N
69	Diego Kreutz	m	0	\N	\N	\N
70	Daniel Rosa Soares	m	0	\N	\N	\N
71	Cezar Molinar	m	0	\N	\N	\N
73	Thiago A. Presa	m	0	\N	\N	\N
77	Paulo Luzzardi	m	0	\N	\N	\N
79	Juliano Carvalho	m	0	\N	\N	\N
86	Jacques Schreiber	m	0	\N	\N	\N
87	Sílvio Cazella	m	0	\N	\N	\N
88	Paulo Gillmeister	m	0	\N	\N	\N
90	Marco Schwertner	m	0	\N	\N	\N
94	Carlos Souza Junior	m	0	\N	\N	\N
95	Leonardo da Rosa	m	0	\N	\N	\N
96	Ricardo Fagundes	m	0	\N	\N	\N
97	Marcelo Sardagna	m	0	\N	\N	\N
98	Adilson Valhdick	m	0	\N	\N	\N
99	Marcelo Moraes	m	0	\N	\N	\N
100	Carlos A. S. Rocha	m	0	\N	\N	\N
101	Helton Alixandre Raiciki	m	0	\N	\N	\N
102	Muriel F. Bernhardt Rocha	m	0	\N	\N	\N
103	Rafael Boaventura Luiz	m	0	\N	\N	\N
105	André Oliveira	m	0	\N	\N	\N
106	Cristiano Cervi	m	0	\N	\N	\N
108	Hilton Parantunes	m	0	\N	\N	\N
109	Luiz Maia	m	0	\N	\N	\N
111	Mário Dantas	m	0	\N	\N	\N
12	Daniela Leal Musa	f	0	\N	\N	\N
30	Laura Silvera Mastella	f	0	\N	\N	\N
31	Mara Abel	f	0	\N	\N	\N
51	Lisiane M. Pedroni	f	0	\N	\N	\N
52	Helena Ribeiro	f	0	\N	\N	\N
74	Luciana Salete Buriol	f	0	\N	\N	\N
131	Tânia Maria Sausen	f	0	\N	\N	\N
149	Raquel Cruz	f	0	\N	\N	\N
157	Carina Guimarãoes	f	0	\N	\N	\N
167	Marta Bez	f	0	\N	\N	\N
174	Fabiola Jaeger	f	0	\N	\N	\N
177	Carla Berkenbrock	f	0	\N	\N	\N
201	Karine B. de Oliveira	f	0	\N	\N	\N
208	Karina S. Machado	f	0	\N	\N	\N
221	Karin S. Komati	f	0	\N	\N	\N
226	Maria Pivel	f	0	\N	\N	\N
341	Elis Cassiana Nakonetchnei dos Santos	NA	\N	1825726627470153	NAKONETCHNEI, E. C.;NAKONETCHNEI DOS SANTOS, ELIS CASSIANA;NAKONETCHNEI, ELIS CASSIANA	2019-11-22
234	Daiane Hemerich	f	0	\N	\N	\N
246	Jaqueline Nande	f	0	\N	\N	\N
249	Maria Luiza G. Silva	f	0	\N	\N	\N
260	Adriana Zanella Martinhago	f	0	\N	\N	\N
263	Jeane Paz	f	0	\N	\N	\N
264	Viviani Lopes Bastos	f	0	\N	\N	\N
265	Scheila de Avila e Silva	f	0	\N	\N	\N
267	Juçara Salete Gubiani	f	0	\N	\N	\N
190	Elisa Mannes	Female	\N	513694670507977	MANNES, Elisa.;MANNES, ELISA	2020-02-14
363	Émerson Pinto Homrich	Male	\N	838935770686961	HOMRICH, É. P.	2014-11-06
283	Marilia Ribeiro da Silva	f	0	\N	\N	\N
28	Eugênio de Oliveira Simonetto	Male	\N	1853313255345200	SIMONETTO, E. O.;SIMONETTO, EUGÊNIO DE OLIVEIRA;SIMONETTO, EUG&amp;ECIRC;NIO DE OLIVEIRA	2020-07-24
166	Suian Menegas	m	0	\N	\N	\N
152	Bruno Visioli	m	0	\N	\N	\N
153	Leandro Pompermaier	m	0	\N	\N	\N
154	Rubens Guimarães	m	0	\N	\N	\N
156	Robson Silva	m	0	\N	\N	\N
165	Euler Taveira de Oliveira	Male	\N	9661132812612210	SEM_DADOS	2012-05-24
159	Jorge Rady de Almeida Júnior	m	0	\N	\N	\N
160	Jardel Gugel	m	0	\N	\N	\N
161	Eduardo Vaz Bozzi	m	0	\N	\N	\N
162	Henrique Santos	m	0	\N	\N	\N
164	Luiz Carlos Albini	m	0	\N	\N	\N
93	Fabio André Garaluz dos Santos	Male	\N	2747626874611692	SANTOS, F. A. G.;SANTOS, FABIO ANDRE GARALUZ DOS	2018-10-31
140	Fábio Cesar Pasquali	Male	\N	4027952448873096	SEM_DADOS	2010-06-22
170	José Júnior	m	0	\N	\N	\N
172	Marcelo Telles	m	0	\N	\N	\N
173	Douglas Machado	m	0	\N	\N	\N
176	Marcelo Ferreira	m	0	\N	\N	\N
178	Jansser Costa	m	0	\N	\N	\N
179	Renato Novais	m	0	\N	\N	\N
180	Fabio Lopes	m	0	\N	\N	\N
182	Adriano Petry	m	0	\N	\N	\N
183	Fabrício Viero de Araújo	m	0	\N	\N	\N
184	Márcio Ceconi	m	0	\N	\N	\N
185	Bruno S. Velasco	m	0	\N	\N	\N
345	Felipe Lanzarin	Male	\N	3761931042835068	SEM_DADOS	2013-07-10
27	Felipe Victolla Silveira	Male	\N	4518559094103750	SEM_DADOS	2006-11-21
91	Fernanda Vieira Figueira	Female	\N	966387234393823	FIGUEIRA, F. V.	2019-07-24
191	Fernando Gielow	m	0	\N	\N	\N
192	Paulo Ferreira	m	0	\N	\N	\N
193	Vinicius P. Lima	m	0	\N	\N	\N
194	José Mauricio Fernandes	m	0	\N	\N	\N
195	Willington Pavan	m	0	\N	\N	\N
196	Josué Toebe	m	0	\N	\N	\N
408	Fernando Gomes Moro	Male	\N	734189352918833	MORO, F. G.	2020-07-14
126	Fernando Simon	Male	\N	1800535181331562	SIMON, Fernando	2008-03-05
199	André Prisco	m	0	\N	\N	\N
291	Fhabiana Thieli dos Santos Machado	NA	\N	1789870053639215	MACHADO, Fhabiana Thieli S.	2020-01-04
189	Filipe Roberto Silva	Male	\N	9961895409746090	SILVA, F. R.	2019-10-23
204	Luis Otávio Alvares	m	0	\N	\N	\N
269	Flavio Roberto Bayer	Male	\N	9603191382860030	BAYER, F. R.	2019-02-20
145	Frantchesco Cecchin	Male	\N	1523626234873574	CECCHIN, Frantchesco	2019-01-30
377	Gabriely Simette	Female	\N	283151657931047	SIMETTE, G.	2015-05-21
244	Geomar André Schreiner	NA	\N	776438722468291	SCHREINER, G. A.;SCHREINER, GEOMAR A.;SCHREINER, GEOMAR ANDRE	2020-02-17
210	Lucas J. K. Alves	m	0	\N	\N	\N
229	Giancarlo Lucca	Male	\N	8796491947184490	LUCCA, Giancarlo.;LUCCA, G.;LUCCA, GIANCARLO	2020-01-26
300	Gláucio Ricardo Vivian	Male	\N	9967502924584070	VIVIAN, Gláucio. R.;VIVIAN, Gláucio Ricardo;VIVIAN, G. R.	2019-11-18
239	Gustavo Costa Meireles	Male	\N	2383727409843499	MEIRELES, G. C.	2019-10-16
214	Clodis Boscarioli	m	0	\N	\N	\N
68	Gustavo Rossarolla Forgiarini	Male	\N	436674201471603	FORGIARINI, Gustavo Rossarolla	2005-08-23
61	Gustavo Zanini Kantorski	Male	\N	721839644753258	KANTORSKI, G. Z.;KANTORSKI, GUSTAVO ZANINI	2017-07-03
217	William Komura	m	0	\N	\N	\N
218	Hugo Bulegon	m	0	\N	\N	\N
209	Henrico Bertini Brum	Male	\N	2319733789095224	BRUM, H. B.	2020-06-03
420	Henrique Saab Cunha Rocha	Male	\N	2679046162732159	SEM_DADOS	2010-05-25
222	Holisson Soares da Cunha	NA	\N	5628596240762051	CUNHA, H. S.;SOARES, H.	2015-11-17
223	André S. Rosa	m	0	\N	\N	\N
224	Carlos Eduardo Pantoja	m	0	\N	\N	\N
266	Igor Eduardo Viana Rudel	Male	\N	4134668596803043	RUDEL, I. E. V.	2016-10-29
38	Ney Lemke	m	0	\N	\N	\N
151	Luzia A. Mendes	f	0	\N	\N	\N
233	Tobias Stifft	m	0	\N	\N	\N
235	Felipe Pinto da Silva	m	0	\N	\N	\N
268	Jacson Luiz Matte	Male	\N	4371561887763653	MATTE, J. L.	2019-07-29
48	Jeferson Kasper	Male	\N	8444590180210291	SEM_DADOS	2012-09-14
