115	Faculdade de Tecnologia SENAC Pelotas	\N	\N
116	Faculdade de Tecnologia Senac-RS	\N	\N
117	Faculdade de Tecnologia SENAI	\N	\N
118	Faculdade Estácio de Sá de Santa Catarina	\N	\N
119	Faculdade Expoente	\N	\N
120	Faculdade Integrada da Bahia	\N	\N
121	Faculdade Ipiranga	\N	\N
122	Faculdade Maurício de Nassau de Maceió	\N	\N
123	Faculdade Meridional - IMED	\N	\N
124	Faculdade Salesiana do Nordeste	\N	\N
125	Faculdades Integradas do Brasil	\N	\N
126	Faculdades Network	\N	\N
127	Instituto Evandro Chagas	\N	\N
128	Instituto de Pesquisa Econômica Aplicada - DF	\N	\N
129	Instituto de Pesquisas Eldorado - Brasília	\N	\N
130	Instituto de Previdência do Estado do Rio Grande do Sul	\N	\N
131	Instituto do Recôncavo de Tecnologia	\N	\N
132	Instituto Estadual de Educação Nossa Senhora Imaculada	\N	\N
133	Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul	\N	\N
134	Instituto Federal de Educação Ciência e Tecnologia de Rondônia	\N	\N
135	Instituto Federal de São Paulo	\N	\N
136	Instituto Federal de Pernambuco	\N	\N
137	Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira	\N	\N
138	Pontifícia Universidade Católica de Campinas	\N	\N
139	Pontifícia Universidade Católica de Minas Gerais	\N	\N
140	Universidad de Zaragoza	\N	\N
141	Universidad Nacional de Misiones	\N	\N
142	Universidade Católica de Angola	\N	\N
143	Universidade Comunitária da Região de Chapecó	\N	\N
144	UNIVERSIDADE DE VASSOURAS	\N	\N
145	Universidade do Contestado Campus Canoinhas	\N	\N
146	Universidade do Minho	\N	\N
147	Universidade do Oeste de Santa Catarina	\N	\N
148	Universidade Estadual do Norte do Paraná - Campus Luiz Meneghel	\N	\N
149	Universidade Federal de Alagoas	\N	\N
150	Universidade Federal de Goiás	\N	\N
151	Universidade Federal de Minas Gerais	\N	\N
152	Universidade Federal de Sergipe	\N	\N
154	Universidade Federal do Acre	\N	\N
155	Universidade Federal Fluminense	\N	\N
156	Universidade Franciscana	\N	\N
157	Universidade Luterana do Brasil	\N	\N
158	Universidade Metodista de Piracicaba	\N	\N
160	Universität Leipzig	\N	\N
161	UNIVERSITÀ TELEMATICA GUGLIELMO MARCONI	\N	\N
162	Universitat Politècnica de Catalunya	\N	\N
163	University of California, Los Angeles	\N	\N
164	University of Limerick	\N	\N
165	University of Pireaus Research Center	\N	\N
166	University of Utah	\N	\N
167	University of Waterloo	\N	\N
\.


