55	\N	\N	\N	\N	\N	\N	1st International Syposium on Residue Management in Universities	2	2002
56	\N	\N	\N	\N	\N	\N	2009 Congress on Services - I	2	2009
57	\N	\N	\N	\N	\N	\N	2011 12th International Conference on Parallel and Distributed Computing, Applications and Technologies	2	2011
58	\N	\N	\N	\N	\N	\N	2011 12th International Conference on Parallel and Distributed Computing, Applications and Technologies	2	2011
59	\N	\N	\N	\N	\N	\N	2011 IEEE 4th International Conference on Cloud Computing	2	2011
60	\N	\N	\N	\N	\N	\N	2011 IEEE International Conference on Information Reuse &amp;amp; Integration	2	2011
61	\N	\N	\N	\N	\N	\N	2012 IEEE 8th International Conference on E-Science	2	2012
62	\N	\N	\N	\N	\N	\N	2012 IEEE Seventh International Conference on Global Software Engineering Workshops	2	2012
63	\N	\N	\N	\N	\N	\N	2012 SC Companion: High Performance Computing, Networking Storage and Analysis	2	2012
64	\N	\N	\N	\N	\N	\N	2013 2nd Workshop-School on Theoretical Computer Science	2	2013
65	\N	\N	\N	\N	\N	\N	2013 BRICS Congress on Computational Intelligence and 11th Brazilian Congress on Computational Intelligence	2	2013
66	\N	\N	\N	\N	\N	\N	2013 Fourth International Conference on Emerging Intelligent Data and Web Technologies	2	2013
67	\N	\N	\N	\N	\N	\N	2013 IEEE Frontiers in Education Conference	2	2013
68	\N	\N	\N	\N	\N	\N	2013 IEEE International Conference on Big Data	2	2013
69	\N	\N	\N	\N	\N	\N	2013 IEEE International Symposium on Multimedia	2	2013
70	\N	\N	\N	\N	\N	\N	2013 IEEE Symposium on Computers and Communications (ISCC)	2	2013
71	\N	\N	\N	\N	\N	\N	2013 IEEE Symposium on Computers and Communications (ISCC)	2	2013
72	\N	\N	\N	\N	\N	\N	2013 IEEE/ACM 6th International Conference on Utility and Cloud Computing	2	2013
287	\N	\N	\N	\N	\N	\N	4th IFAC Symposium on Telematics Applications	2	2016
73	\N	\N	\N	\N	\N	\N	2013 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT)	2	2013
74	\N	\N	\N	\N	\N	\N	2013 Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises	2	2013
75	\N	\N	\N	\N	\N	\N	2014 Brazilian Symposium on Computer Games and Digital Entertainment	2	2014
76	\N	\N	\N	\N	\N	\N	2014 IEEE 10th International Conference on e-Science	2	2014
77	\N	\N	\N	\N	\N	\N	2014 IEEE 16th International Conference on e-Health Networking, Applications and Services (Healthcom)	2	2014
78	\N	\N	\N	\N	\N	\N	2014 IEEE 3nd International Conference on Serious Games and Applications for Health (SeGAH)	2	2014
79	\N	\N	\N	\N	\N	\N	2014 IEEE International Conference on Cluster Computing (CLUSTER)	2	2014
80	\N	\N	\N	\N	\N	\N	2014 IEEE International Parallel &amp;amp; Distributed Processing Symposium Workshops	2	2014
81	\N	\N	\N	\N	\N	\N	2014 International Conference on Advances in Databases, Knowledge, and Data Applications	2	2014
82	\N	\N	\N	\N	\N	\N	2014 International Symposium on Computer Architecture and High Performance Computing Workshop	2	2014
83	\N	\N	\N	\N	\N	\N	2015 29th Brazilian Symposium on Software Engineering	2	2015
84	\N	\N	\N	\N	\N	\N	2015 IEEE 11th International Conference on e-Science	2	2015
85	\N	\N	\N	\N	\N	\N	2015 IEEE 24th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises	2	2015
86	\N	\N	\N	\N	\N	\N	2015 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE)	2	2015
87	\N	\N	\N	\N	\N	\N	2015 IEEE Symposium on Computers and Communication (ISCC)	2	2015
88	\N	\N	\N	\N	\N	\N	2015 Latin America Congress on Computational Intelligence (LA-CCI)	2	2015
89	\N	\N	\N	\N	\N	\N	2015 Ninth International Conference on Complex, Intelligent, and Software Intensive Systems	2	2015
90	\N	\N	\N	\N	\N	\N	2016 30th International Conference on Advanced Information Networking and Applications Workshops (WAINA)	2	2016
91	\N	\N	\N	\N	\N	\N	2016 5th Brazilian Conference on Intelligent Systems (BRACIS)	2	2016
92	\N	\N	\N	\N	\N	\N	2016 5th Brazilian Conference on Intelligent Systems (BRACIS)	2	2016
93	\N	\N	\N	\N	\N	\N	2016 5th Brazilian Conference on Intelligent Systems (BRACIS)	2	2016
94	\N	\N	\N	\N	\N	\N	2016 IEEE 19th International Conference on Intelligent Transportation Systems (ITSC)	2	2016
95	\N	\N	\N	\N	\N	\N	2016 IEEE 19th International Conference on Intelligent Transportation Systems (ITSC)	2	2016
96	\N	\N	\N	\N	\N	\N	2016 IEEE 19th International Conference on Intelligent Transportation Systems (ITSC)	2	2016
97	\N	\N	\N	\N	\N	\N	2016 IEEE 25th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE)	2	2016
98	\N	\N	\N	\N	\N	\N	2016 IEEE 25th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE)	2	2016
99	\N	\N	\N	\N	\N	\N	2016 IEEE 25th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE)	2	2016
100	\N	\N	\N	\N	\N	\N	2016 IEEE International Conference on Automatica (ICA-ACCA)	2	2016
101	\N	\N	\N	\N	\N	\N	2016 IEEE International Conference on Cloud Computing Technology and Science (CloudCom)	2	2016
102	\N	\N	\N	\N	\N	\N	2016 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE)	2	2016
103	\N	\N	\N	\N	\N	\N	2017 IEEE 14th International Conference on Networking, Sensing and Control (ICNSC)	2	2017
104	\N	\N	\N	\N	\N	\N	2017 IEEE 26th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE)	2	2017
105	\N	\N	\N	\N	\N	\N	2017 IEEE 26th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE)	2	2017
106	\N	\N	\N	\N	\N	\N	2017 IEEE International Conference on Big Data (Big Data)	2	2017
107	\N	\N	\N	\N	\N	\N	2017 IEEE International Conference on Big Data (Big Data)	2	2017
108	\N	\N	\N	\N	\N	\N	2017 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE)	2	2017
109	\N	\N	\N	\N	\N	\N	2017 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE)	2	2017
110	\N	\N	\N	\N	\N	\N	2017 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)	2	2017
111	\N	\N	\N	\N	\N	\N	2017 IEEE Symposium on Computers and Communications (ISCC)	2	2017
112	\N	\N	\N	\N	\N	\N	2017 IFIP/IEEE Symposium on Integrated Network and Service Management (IM)	2	2017
113	\N	\N	\N	\N	\N	\N	2017 Joint 17th World Congress of International Fuzzy Systems Association and 9th International Conference on Soft Computing and Intelligent Systems (IFSA-SCIS)	2	2017
114	\N	\N	\N	\N	\N	\N	2018 44th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)	2	2018
115	\N	\N	\N	\N	\N	\N	2018 IEEE 17th International Symposium on Network Computing and Applications (NCA)	2	2018
