1	Árvore TM: Melhorando Árvores Métricas Agrupando Melhor os Objetos	\N	1	manual	\N
2	Ferramenta para estimativa de Recall/Precision usando amostras do Banco de Dados	\N	1	manual	\N
3	Suporte a argumentos de consulta vagos através da XPath	\N	1	manual	\N
4	Data Warehouse voltado ao Monitoramento de Processos de Desenvolvimento de Software através de Métricas	\N	1	manual	\N
5	Pré-Processamento de Dados para Descoberta de Conhecimento em Processos de Workflow Modelados sobre Plataforma Oracle	\N	1	manual	\N
6	Comportamento Ativo em Web services	\N	1	manual	\N
7	Arquiteturas para Coordenação de Banco de Dados num Ambiente de Rede Peer-to-Peer (P2P)	\N	1	manual	\N
8	Evolução de Esquemas e Documentos XML no Oracle XML DB	\N	1	manual	\N
9	Um middleware para replicação entre bancos de dados usando sistemas de comunicação de grupo	\N	1	manual	\N
10	Carla: uma técnica para comparação de cadeias de caracteres	\N	1	manual	\N
11	Obtenção de Metadados de Objetos de Aprendizagem no AdaptWeb(r)	\N	1	manual	\N
12	Identificação de Áreas de Interesse a partir da Extração de Informações de Currículos Lattes/XML	\N	1	manual	\N
13	DB Guardian - Sistema para Diagnóstico de Desempenho em Banco de Dados	\N	1	manual	\N
14	Decomposição de Consultas sobre Múltiplas Fontes XML	\N	1	manual	\N
15	Estudo Sobre a Viabilidade de Implementação de Aspectos Temporais em SGBDs Livres (open-source)	\N	1	manual	\N
16	PetroQuery: Uma ferramenta para consulta e navegação sobre ontologias	\N	1	manual	\N
17	RSRural/Web: Uma interface Web para consultas e execução de processos geográficos	\N	1	manual	\N
18	Uma Abordagem para Viabilizar o Processo de Data Warehouse de Dados Biológicos	\N	1	manual	\N
19	Uma Proposta de Navegação na Web Utilizando Facetas	\N	2	manual	\N
20	Implementação de uma infra-estrutura para controle de versões e adaptação de páginas Web	\N	2	manual	\N
21	Comparativo de Desempenho entre Bancos de Dados de Código Aberto	\N	2	manual	\N
22	Implementação de um Mecanismo para Gerência de Evolução de Esquemas de DW	\N	2	manual	\N
23	Extensão para a Execução de Regras Através da Detecção de Eventos Temporais	\N	2	manual	\N
24	Similaridade entre documentos semi-estruturados	\N	2	manual	\N
25	Replicação em Banco de Dados PostgreSQL	\N	2	manual	\N
26	Ferb: um framework para casamento de esquemas	\N	2	manual	\N
27	Aplicação de Técnicas de Mineração do Uso da Web para Análise de Processos de Negócio: um Estudo de Caso	\N	2	manual	\N
28	Determinando Equivalências Semânticas entre Componentes de Esquemas GML	\N	2	manual	\N
29	Método TPC-H para sintonia em SGBDs livres	\N	2	manual	\N
30	Definição e Implementação de Regras de Conversão de um Esquema XML Schema para um Esquema Conceitual	\N	2	manual	\N
31	Protótipo de Interpretador para cTVQL	\N	2	manual	\N
32	Requisitos para modelos analíticos de armazém de dados, voltados ao acompanhamento de processos de negócio	\N	2	manual	\N
33	BDTerm: um Sistema de Gerenciamento de Bases de Dados Terminológicas	\N	2	manual	\N
34	Integração de dados em múltiplos níveis	\N	2	manual	\N
35	Análise de Abordagens para Modelagem Conceitual e Lógica de Bancos de Dados XML	2	3	manual	\N
36	Geração automática de esquemas relacionais a partir de esquemas XML	1	3	manual	\N
37	Melhorando comparações XML com funções de pré-processamento	2	3	manual	\N
38	Acesso a Banco de Dados através de Celulares	1	3	manual	\N
39	Um ambiente de armazenamento e consulta de documentos baseado em GED e tesauros	1	3	manual	\N
40	Análise quantitativa e temporal do Wikigrafo-PT	1	3	manual	\N
41	Ferramenta para Visualização de Informações Temporais para Bancos de Dados Mestre/Detalhe	1	3	manual	\N
42	Athena Model Beta: Um Modelo Analítico Para Descoberta de Conhecimento em Processos de Negócio	2	3	manual	\N
43	Analysis: uma proposta de ferramenta OLAP-Web para a análise de informações ambientais do Vale do Rio do Sinos	1	3	manual	\N
44	Automação do Processo de ETC de Métricas para um Ambiente de Desenvolvimento de Software	2	3	manual	\N
45	Uma Arquitetura para Recuperação de Informação Baseada em Semântica e sua Aplicação no Apoio a Jurisprudência	2	3	manual	\N
46	Um Sistema de Extração e Publicação de Informações Georreferenciadas em um Domínio Turístico	1	3	manual	\N
47	INTRABUSCA - Um Mecanismo de Recuperação de Informações Corporativo	1	3	manual	\N
48	Técnica para Analisar a Evolução do Perfil do Usuário com Base nas Suas Publicações	1	3	manual	\N
49	Uma análise comparativa de algoritmos de regras de associação: minerando dados da indústria automotiva	1	3	manual	\N
50	Mineração de uso em sistema de informação	1	3	manual	\N
51	Mineração em Métricas de Software	2	3	manual	\N
52	Um Estudo e Proposta de Abordagem a respeito de Extração Semi-Automática de Restrições de Integridade Semântica de Dados XML	2	3	manual	\N
53	Utilizando o modelo de atração para representar casadores de esquema	2	3	manual	\N
54	Um Framework para Suporte à Preparação e Comparação de Similaridade de Documentos XML	1	3	manual	\N
55	Uma Ferramenta de Apoio à Determinação de Equivalências Semânticas entre Esquemas GML	1	3	manual	\N
56	Aplicação de consultas baseadas em ambientes de conhecimentos definidos por tesauros	1	4	manual	\N
57	Aplicação de padrão Data Access Object (DAO) em projetos desenvolvidos com Delphi	1	4	manual	\N
58	Atualização do Ontocover: Uma biblioteca Java para manipular ontologias em aplicações Web semântica	1	4	manual	\N
59	Desenvolvimento de ferramenta de apoio à atualização de sistemas de informação baseado no Banco de Dados Pós-Relacional Cachê	1	4	manual	\N
2918	Construyendo superpíxeles	\N	395	LATTES	\N
60	Estudo de ferramentas de visualização cartográfica para acoplamento com OLAP sobre a Web	1	4	manual	\N
61	Implementação da BDMODONTO: Biblioteca Digital Multimídia Odontológica	1	4	manual	\N
62	Replicação Assíncrona entre banco de dados médicos distribuídos	1	4	manual	\N
63	Sistema BlnXS: Gerador de esquema conceitual global	1	4	manual	\N
64	Uma aplicação OLAP com visualização cartográfica via Web	1	4	manual	\N
65	Uma ferramenta de apoio à normalização de tabelas relacionais baseadas na análise de dados	1	4	manual	\N
66	Uma ferramenta de conversão de esquemas conceituais EER para esquemas lógicos XML	1	4	manual	\N
67	Uma interface Web para identificação de equivalências em bancos de dados heterogêneos	1	4	manual	\N
68	Um processo automático para extração de metadados de documentos PDF usando um template XML	1	4	manual	\N
69	Um tradutor de esquemas relacionais em XML para esquemas SQL	1	4	manual	\N
70	XSimilarity: Uma ferramenta para consultas por similaridade embutidas na linguagem XQuery	1	4	manual	\N
71	Gerenciamento de Domínios de Aplicação através do uso de ontologias	2	4	manual	\N
72	Uma proposta para o uso de detecção de versões de páginas Web para melhoria do desempenho do algoritmo de PageRank	2	4	manual	\N
73	Um sistema de auditoria baseado na análise de registros de log	2	4	manual	\N
74	XDCL 1.1 Uma proposta de linguagem de definição de restrições de integridade de domínio em documentos XML	2	4	manual	\N
75	Banco de Dados para o Núcleo de Pesquisa e Aplicação de Geotecnologias em Desastres Naturais e Eventos Extremos do Centro Regional Sul de Pesquisas Espaciais do INPE	\N	5	manual	\N
76	TUNING - Técnicas de Otimização de Banco de Dados - Um estudo Comparativo: Mysql e Postgresql	\N	5	manual	\N
77	Avaliando o Desempenho do SGBD PostgreSQL Considerando os Diferentes Sistemas de Arquivos	\N	5	manual	\N
78	Desenvolvimento de uma Aplicação Utilizando SOA: Um Estudo de Caso	\N	5	manual	\N
79	As Ouvidorias Virtuais em Instituições de Ensino Superior	\N	5	manual	\N
80	Estudo Comparativo dos BDXML eXist e Xindice	\N	5	manual	\N
81	Avaliação de Desempenho no Acesso a Dados Utilizando Índices Multidimensionais	\N	5	manual	\N
82	Uma Integração Gráfica para Algoritmos de Detecção de Diferenças entre Documentos XML	\N	5	manual	\N
83	Ferramentas para Suporte a Consultas Temporais em SGBDs convencionais	\N	5	manual	\N
