1	3	292	2010	2012	Professor Assistente
2	3	292	2013	\N	Professor Associado
3	3	292	2018	\N	Coordenador de curso
4	4	376	2011	2013	Professor Temporário
5	4	252	2014	2018	Técnico de Tecnologia da Informação
6	5	206	2012	2012	Monitoria em Redes de Computadores I e II
7	5	206	2012	2012	Monitoria em Banco de Dados I e II
8	6	66	2011	\N	Professor Horista
9	8	28	2003	2006	Professor
10	8	28	2010	2011	Professor Adjunto
11	8	48	2003	2005	Monitoria e Tutoria
12	9	274	2012	2015	Presidente do C.A. de Sstemas de Informação
13	10	107	1999	1999	Administrador de Redes Junior
14	14	428	1991	2001	Professor
15	15	306	2006	2011	Auxiliar em assuntos de informatica
16	18	220	2016	\N	Pesquisador
17	19	239	2010	2011	Desenvolvedor
18	19	239	2014	2017	BOLSISTA DE PESQUISA
19	19	239	2017	\N	Professor de Ensino Básico
20	19	243	2011	2012	\N
21	19	211	2012	2014	Professor do Ensino Básico, Téc. e Tecnológic
22	19	211	2014	\N	Professor de Ensino Básico Téc. e Tecnológico
23	19	211	2016	2017	Coordenador de Curso Técnico
24	19	54	2010	\N	Professor EBTT
25	19	239	2013	\N	Técnico em Tecnologia da Informação
26	19	107	2015	2015	Professor
27	19	190	2015	2015	Professor substituto
28	19	243	2013	2014	Técnico em análise de T.I
29	20	181	2014	\N	ANALISTA DE TECNOLOGIA DA INFORMAÇÃO
30	20	181	2016	2016	PROFESSOR DE CURSO TÉCNICO - PRONATEC
31	20	291	2016	2017	Docente Substituto
32	20	225	2017	2017	Professor substituto
33	20	231	2015	\N	Professor Ens. Básico, Técnico e Tecnológico
34	20	266	2010	2010	Aluno
35	20	300	2015	\N	Técnico Adminstrativo em Edutação
36	20	319	2015	2016	Estágiario
37	20	319	2016	\N	Estágiario
38	22	158	2010	2018	Coordenador de Curso
39	22	158	1996	\N	Professor de Ensino Superior
40	22	158	2004	2009	Coordenador Centro Pesquisas em Informática
41	22	158	2018	\N	Vice-Diretor Acadêmico
42	24	211	2000	2001	\N
43	24	211	2004	2006	Bolsista
44	26	91	2006	2008	Bolsista
45	26	28	1999	2001	Professor Auxiliar
46	26	53	2001	2004	Estágio
47	26	53	2005	2006	Pesquisa e Desenvolvimento
48	26	225	2010	2012	Pesquisador
49	26	225	2012	2014	Desenvolvedor de Sistemas
50	26	139	1974	\N	\N
51	26	139	2000	\N	\N
52	26	232	2019	\N	Professor
53	26	81	2006	\N	Bolsista
54	26	123	2008	2008	Professor horista
55	26	225	2006	2007	Estagiário
56	28	190	2008	2008	Temporário
57	29	28	2004	2004	\N
58	29	315	2014	2015	Professor de PHP
59	29	315	2017	\N	Estudante/Pesquisador
60	30	107	2010	2011	Part-time Visiting Graduate Student
61	30	169	2016	2016	Teaching Assistant
62	31	229	2015	2018	Bolsista de doutorado - CNPq
63	32	28	1993	1995	Monitor
64	32	28	1995	1995	Bolsista de Iniciação Científica
65	32	76	1998	2004	Auxiliar de Ensino
66	32	76	2006	2007	Bolsista CNPq
67	32	21	2000	2002	Estagiário
68	32	21	2002	2003	Voluntário
69	32	21	2004	2005	Iniciação Científica
70	33	28	1997	1999	Professor Horista
71	33	28	2001	2006	Assistente
72	33	369	2010	2011	Desenvolvedor de Software
73	33	369	2016	2017	Desenvolvedor de Software Sênior
74	33	369	2016	2017	Professor do Ensino Superior
75	34	91	2019	\N	Analista de TI
76	35	119	2001	2004	\N
77	35	119	1997	2001	Professor horista
78	35	419	2000	2001	PROFESSORA CONVIDADA
79	35	123	2005	2005	Professor horista
80	35	321	1990	2013	Professor Adjunto
81	35	321	1977	1978	Auxiliar de Escritório II- Padrão 4
82	35	321	1991	1992	Técnico de Laboratório
83	35	321	2010	\N	Diretora do Instituto de Saneamento Ambiental
84	35	321	2013	2016	Doutor Titular I
85	35	321	1986	1986	Membro do Conselho Universitário
86	35	321	2010	2018	RT Programa de gerenciamento Ambiental UCS
87	35	321	2010	2018	RT Gerenciamento de Resíduos Sólidos UCS
88	35	321	1998	2018	RT Gerenciamento de Resíduos Sólidos HG
