evento journal
(Des) Caminhos na Comunicação Organizacional: ensaios e pesquisas do Grupo de Estudo em Comunicação Organizacional
(RE) LEITURAS CONTEMPORÂNEAS SOBRE COMUNICAÇÃO ORGANIZACIONAL E RELAÇÕES PÚBLICAS
10 th Brazilian Power Electronics Conference
10 th INDUSCON 2012
10 th INDUSCON 2012
10ª ERBD - Escola Regional de Banco de Dados
10a Reunião da Comissão de Trigo e Triticale
10º Congresso Brasileiro de Engenharia de Fabricação
10º Simpósio Internacional de Qualidade Ambiental
10º Simpósio Internacional de Qualidade Ambiental
10th Brazilian Power Electronics Conference
10th CONTECSI
10th European Conference on Games Based Learning - ECGBL
10th International Conference on Enterprise Information Systems (ICEIS)
10th International Workshop on Web Semantics (WebS'11)
11º Simpósio de Hidráulica e Recursos Hídricos dos Países de Língua Portuguesa VII Congresso sobre Planeamento e Gestão das Zonas Costeiras dos Países de Expressão Portuguesa
11º SIMPOSIO DE HIDRAULICA E RECURSOS HÍDRICOS DOS PAÍSES DE LINGUA PORTUGUESA/ VII CONGRESSO SOBRE PLANEAMENTO E GESTÃO DAS ZONAS COSTEIRAS DOS PAÍSES DE EXPRESSÃO PORTUGUESA
11th CONTECSI
11th International Conference on Internet and Web Applications and Services
12th CONTECSI
"12th International Congress of the Brazilian Geophysical Society &amp;amp; EXPOGEF, Rio de Janeiro, Brazil, 15&amp;#45;18 August 2011"
"13º Mostra de Pesquisa, Ensino e Extensão do IFRS Campus Porto Alegre"
13th Active Learning in Engineering Education Workshop
13th Active Learning in Engineering Education Workshop
13th Active Learning in Engineering Education Workshop
13th Active Learning in Engineering Education Workshop
13th Active Learning in Engineering Education Workshop
13th Brazilian Power Electronics Conference and 1º SPEC
13th edition of the International Conference on the Computational Processing of Portuguese (PROPOR 2018)
14th CONTECSI
14th CONTECSI
14th International Conference on WWW/Internet (ICWI 2015)
15 ENFSUL - Encontro de Enfermagem da Região Sul
15ª Escola Regional de Redes de Computadores
15ª Escola Regional de Redes de Computadores
15th CONTECSI
15th International Conference on Information Integration and Web-based Applications &amp; Services (iiWAS2013)
16th East-European Conference on Advances in Databases and Information Systems (ADBIS 2012)
19º Evento de Iniciação Científica - EVINCI
1st International Syposium on Residue Management in Universities
2009 Congress on Services - I
"2011 12th International Conference on Parallel and Distributed Computing, Applications and Technologies"
"2011 12th International Conference on Parallel and Distributed Computing, Applications and Technologies"
2011 IEEE 4th International Conference on Cloud Computing
2011 IEEE International Conference on Information Reuse &amp;amp; Integration
2012 IEEE 8th International Conference on E-Science
2012 IEEE Seventh International Conference on Global Software Engineering Workshops
"2012 SC Companion: High Performance Computing, Networking Storage and Analysis"
2013 2nd Workshop-School on Theoretical Computer Science
2013 BRICS Congress on Computational Intelligence and 11th Brazilian Congress on Computational Intelligence
2013 Fourth International Conference on Emerging Intelligent Data and Web Technologies
2013 IEEE Frontiers in Education Conference
2013 IEEE International Conference on Big Data
2013 IEEE International Symposium on Multimedia
2013 IEEE Symposium on Computers and Communications (ISCC)
2013 IEEE Symposium on Computers and Communications (ISCC)
2013 IEEE/ACM 6th International Conference on Utility and Cloud Computing
2013 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT)
2013 Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises
2014 Brazilian Symposium on Computer Games and Digital Entertainment
2014 IEEE 10th International Conference on e-Science
"2014 IEEE 16th International Conference on e-Health Networking, Applications and Services (Healthcom)"
2014 IEEE 3nd International Conference on Serious Games and Applications for Health (SeGAH)
2014 IEEE International Conference on Cluster Computing (CLUSTER)
2014 IEEE International Parallel &amp;amp; Distributed Processing Symposium Workshops
