id,nome,uf,cidade
148,Universidade Estadual do Norte do Paraná - Campus Luiz Meneghel,NULL,NULL
49,Universidade Estadual do Oeste do Paraná,NULL,NULL
50,Universidade Estadual Paulista Júlio de Mesquita Filho,NULL,NULL
51,Universidade Federal da Bahia,NULL,NULL
52,Universidade Federal da Fronteira Sul,NULL,NULL
149,Universidade Federal de Alagoas,NULL,NULL
53,Universidade Federal de Campina Grande,NULL,NULL
150,Universidade Federal de Goiás,NULL,NULL
54,Universidade Federal de Mato Grosso,NULL,NULL
151,Universidade Federal de Minas Gerais,NULL,NULL
55,Universidade Federal de Pelotas,NULL,NULL
56,Universidade Federal de Pernambuco,NULL,NULL
57,Universidade Federal de Rondônia,NULL,NULL
58,Universidade Federal de Santa Catarina,NULL,NULL
59,Universidade Federal de Santa Maria,NULL,NULL
60,Universidade Federal de São Carlos,NULL,NULL
152,Universidade Federal de Sergipe,NULL,NULL
61,Universidade Federal de Uberlândia,NULL,NULL
62,Universidade Federal de Viçosa,NULL,NULL
154,Universidade Federal do Acre,NULL,NULL
63,Universidade Federal do Espírito Santo,NULL,NULL
64,Universidade Federal do Pampa,NULL,NULL
65,Universidade Federal do Pará,NULL,NULL
66,Universidade Federal do Paraná,NULL,NULL
67,Universidade Federal do Rio de Janeiro,NULL,NULL
68,Universidade Federal do Rio Grande do Sul,NULL,NULL
155,Universidade Federal Fluminense,NULL,NULL
156,Universidade Franciscana,NULL,NULL
157,Universidade Luterana do Brasil,NULL,NULL
158,Universidade Metodista de Piracicaba,NULL,NULL
69,Universidade Paranaense,NULL,NULL
70,Universidade Presbiteriana Mackenzie,NULL,NULL
71,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,NULL,NULL
72,Universidade Regional Integrada do Alto Uruguai e das Missões,NULL,NULL
73,Universidade Salgado de Oliveira,NULL,NULL
74,Universidade Salvador,NULL,NULL
75,Universidade Tecnológica Federal do Paraná,NULL,NULL
76,Università degli Studi di Milano/Universidade Federal do Rio Grande do Sul,NULL,NULL
161,UNIVERSITÀ TELEMATICA GUGLIELMO MARCONI,NULL,NULL
77,Universität Basel,NULL,NULL
160,Universität Leipzig,NULL,NULL
162,Universitat Politècnica de Catalunya,NULL,NULL
163,"University of California, Los Angeles",NULL,NULL
164,University of Limerick,NULL,NULL
165,University of Pireaus Research Center,NULL,NULL
166,University of Utah,NULL,NULL
167,University of Waterloo,NULL,NULL
