ID,,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO
139,,Conselho Nacional de Desenvolvimento Científico e Tecnológico,2008,,
419,,Conselho Nacional de Desenvolvimento Científico e Tecnológico,2011,2011,Extensão no Pais - EXP - Nível: C
369,,Conselho Nacional de Desenvolvimento Científico e Tecnológico,2014,2014,Bolsista
369,,Conselho Nacional de Desenvolvimento Científico e Tecnológico,2015,2016,Bolsista
198,,Conselho Nacional de Desenvolvimento Científico e Tecnológico,2011,2012,Bolsista de Iniciação Tecnológica
83,,Consiglio Nazionale delle Ricerche,2012,2012,"ISTI/CNR, Pisa, Italy"
163,,Consiglio Nazionale delle Ricerche,2014,,Colaborador
89,,Consórcio de Universidades Comunitárias Gaúchas,2013,,
56,,Cooperativa Regional Triticola Serrana Ltda,1986,1990,Tecnico Medio
326,,Creche Moinhos de Vento,2011,2011,Professor de Informática
326,,CS computadores,2009,2010,Estagiário
7,,Cumerlato  Schuster,2003,2004,Funcionario
321,,Cursão Unificado,1990,1991,
188,,Cyber Cidades Tecnologias de internet,2016,2018,Desenvolvedor de Software
376,,Data ,2013,2013,
373,,DataCloud Brasil,2019,,Pesquisador
135,,Datacoper Software,2011,2012,Pesquisador
207,,Datamex Tecnologia da Informação LTDA,2008,2010,Programador de computador
213,,Dataminer DBM,2013,2016,Analista de Banco de Dados
84,,Datasul,2000,2002,Programador
1,,Datum T I,2001,2001,Programador
1,,Datum T I,2002,2002,Projetista
326,,Delivery Much - Pameira das Missões,2018,2019,Gerencia
82,,Dells Informática,1998,1999,
140,,Desbravador Automação Hoteleira,2007,2007,Estagiario
58,,Dextra Soluções em Informática S/C Ltda.,2003,2003,Desenvolvedor
259,,Diretoria de Ensino - Universidade Federal de Viçosa campus Rio Paranaíba,2013,2014,Estágio Profissional
231,,Diretório Acadêmico de Engenharia de Software,2010,2012,Vice-Presidente
89,,Dream Trip Serviços Inovativos de Informação,2014,2016,Consultor de Inovação
231,,drSistemas,2008,2010,Técnico em Informática
369,,e-Core Desenvolvimento de Software,2012,2014,Desenvolvedor de Software Sênior
135,,Ecocentauro Sistemas Inteligentes,2013,2015,Programador
139,,Ecos Revista,2005,2018,
292,,Editora Abril,2000,2001,Analista Sistemas
82,,Eeb Walter Holthausen,1996,1997,
377,,Elabora Consultoria e Participações,2011,2012,Pesquisador
85,,Eletromaq Engenharia Ltda,1986,1988,
91,,Eletromeces Equipamentos Telefônicos Ltda,2000,2000,Estagiário
135,,Eletrônica de Potência (Impresso),2012,,
107,,EM QUESTÃO,2017,,
107,,Em Questão (UFRGS. Impresso),2016,,
309,,Emergent Research,2017,,Lead Growth Engineer
107,,Empresa Brasileira de Correios e Telégrafos - Porto Velho,2001,2002,Analista de Redes
83,,Empresa Brasileira de Pesquisa Agropecuária,1994,2006,Pesquisador
150,,Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina,1986,,Nivel Superior
83,,Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina,2007,2008,consultor
155,,Empresa Júnior de Informática da UFBA,2005,2008,Desenvolvedora/Diretora/Líder de Projeto
259,,Empresa Junior do Curso de Sistema de Informação,2013,2013,Assessor de Qualidade
107,,Encontros Bibli,2018,,
83,,Encontros Bibli,2007,2012,
83,,Encontros Bibli (UFSC),2006,,
29,,Endeeper Soluções em Informações e Métodos,2011,,Desenvolvedor de Negócios
29,,Endeeper Soluções em Informações e Métodos,2008,2010,Gerente de Projeto de Software
29,,Endeeper Soluções em Informações e Métodos,2007,2008,Gerente de Desenvolvimento de Software
202,,Engecorps Engenharia S/A,2011,2011,Programador JAVA
321,,Engenharia Sanitária e Ambiental,2005,,
89,,Ensaios e Ciência (Campo Grande),1999,2000,
43,,Ensino Superior de Olinda,2003,2008,Professor de Pós-Graduação
190,,Escola de Educação Básica Prof. Rudolfo Meyer,2002,2002,Laboratorista
181,,Escola Fórmula - IAPC,2013,2013,Estagiária
59,,Escola Monteiro Lobato,2005,2006,Professor
274,,Escola SENAI Ji-Paraná,2012,2015,Instrutor
66,,Escola Superior da Amazônia,2008,2009,Professor
365,,Escola Técnica Estadual 25 de Julho,2014,2016,Aluno
68,,Escritório Forgiarini,1998,2000,
258,,Esso Brasileira de Petróleo,2004,2006,Analista de Sistemas
123,,Eurociber Portugal Tecnologias de Informação Sa,1999,2000,Estagiário
28,,Exacta (São Paulo. Impresso),2016,,
292,,Exanthus Consultoria,2004,2013,Sócio
68,,Expresso Medianeira Ltda,2003,2003,
211,107,Faculdade Anchieta de Ensino Superior do Paraná,2008,2008,Professor Assistente I
428,108,"Faculdade Auxillium de Filosofia, Ciências e Letras",1994,1995,Professor
321,109,Faculdade Cenecista de Bento Gonçalves,2003,2005,
20,110,Faculdade Cenecista de Osório,2007,2016,Professor de Ensino Superior
20,110,Faculdade Cenecista de Osório,2015,2016,Coordenadora de Curso de Graduação
107,10,Faculdade de Ciencias Administrativas e Tecnologicas - FATec,1999,1999,Administrador de Redes Junior
211,112,Faculdade de Tecnologia de Curitiba,2008,2008,Bolsista
211,113,Faculdade de Tecnologia Expert,2009,2009,Professor Assistente
59,114,Faculdade de Tecnologia Pastor Dohms,2011,2012,Professor Adjunto
76,115,Faculdade de Tecnologia SENAC Pelotas,2005,,Professor Adjunto
5,116,Faculdade de Tecnologia Senac-RS,2007,2009,Professor Adjunto
107,117,Faculdade de Tecnologia SENAI,2006,2014,Professor
92,118,Faculdade Estácio de Sá de Santa Catarina,2006,,Professor
145,119,Faculdade Expoente,2011,2015,Professor
40,120,Faculdade Integrada da Bahia,2004,2004,Professor Assistente
66,121,Faculdade Ipiranga,2011,2013,Professor Horista
384,122,Faculdade Maurício de Nassau de Maceió,2015,2018,Professor
130,123,Faculdade Meridional - IMED,2011,2011,Docencia Ensino Superior
43,124,Faculdade Salesiana do Nordeste,2001,2004,Professor Horista
435,125,Faculdades Integradas do Brasil,2008,2010,Colaborador
83,126,Faculdades Network,2004,2005,Horista
43,,FADE,2004,2007,Engenheiro de Desempenho
321,,Fiema Brasil - Feira Internacional de Tecnologia para o Meio Ambiente,2004,2017,Diretora
321,,Fiema Brasil - Feira Internacional de Tecnologia para o Meio Ambiente,2008,2016,Avaliador Prêmio Fiema
321,,Fiema Brasil - Feira Internacional de Tecnologia para o Meio Ambiente,2008,2017,Coordenadora do Congresso Internacional
321,,Fiema Brasil - Feira Internacional de Tecnologia para o Meio Ambiente,2015,,Membro da Comissão Científica do FiemaCon
107,,Financiadora de Estudos e Projetos,2020,,
54,,Florinfo Comércio e Serviços Ltda,1999,1999,Gerente
198,,Freedom Veiculos Eletricos,2012,2012,Estágiario
428,,Frigorífico Gejota Ltda,1994,1995,Analista de Sistemas
89,,Frontiers in Artificial Intelligence,2018,,
89,,Frontiers in Artificial Intelligence - AI for Human Learning and Behavior C,2018,,
376,,Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do RJ,2014,2014,
376,,Fundação Centro de Ciências e Educação Superior à Distância do Estado do RJ,2011,2014,Tutor de Banco de Dados
376,,Fundação Centro de Ciências e Educação Superior à Distância do Estado do RJ,2014,2016,Coordenador de Tutoria
376,,Fundação Centro de Ciências e Educação Superior à Distância do Estado do RJ,2016,,Conteudista
83,,Fundação Centro Tecnológico para Informática,1994,1994,
83,,Fundação de Amparo à Ciência e Tecnologia do Estado de Pernambuco,2012,2012,
123,,Fundação de Amparo à Ciência e Tecnologia do Estado de Pernambuco,2018,2018,
123,,Fundação de Amparo à Ciência e Tecnologia do Estado de Pernambuco,2019,,
139,,Fundação de Amparo à Pesquisa do Estado de São Paulo,2016,2018,
83,,Fundação de Amparo à Pesquisa do Estado de São Paulo,2008,,
89,,Fundação de Amparo à Pesquisa do Estado do Rio Grande do Sul,2015,,
89,,Fundação de Amparo à Pesquisa do Estado do Rio Grande do Sul,2015,2017,
107,,Fundação de Amparo à Pesquisa e Inovação do Estado de Santa Catarina,2017,,
83,,Fundação de Amparo à Pesquisa e Inovação do Estado de Santa Catarina,2006,,
66,,Fundação de Amparo e Desenvolvimento da Pesquisa do Pará,2003,2005,Programador
66,,Fundação de Amparo e Desenvolvimento da Pesquisa do Pará,2007,2008,Analista de Sistemas
66,,Fundação de Amparo e Desenvolvimento da Pesquisa do Pará,2008,2009,Administrador de Dados
107,,Fundação de Apoio à Pesquisa e à Inovação Tecnológica do Estado de Sergipe,2014,,Membro de Comitê Assessor
107,,Fundação de Apoio à Pesquisa e à Inovação Tecnológica do Estado de Sergipe,2014,,
321,,"Fundação de Apoio ao Desenvolvimento do Ensino, Ciência e Tecnologia do MS",2006,2007,Consultor ad hoc
92,,Fundação de Ciência e Tecnologia do Estado de Santa Catarina,1999,1999,Administrador da Rede
28,,Fundação de Ensino Superior da Região Centro-Sul,2001,2002,Professor Horista
145,,Fundação de Estudos Sociais do Paraná,2015,,Professor
104,,Fundação do Ensino da Engenharia em Santa Catarina,2008,2008,Analista de Sitemas
186,,Fundação do Ensino da Engenharia em Santa Catarina,2008,2014,Analista de Sistemas
321,,Fundação Educacional da Região dos Vinhedos,1990,1995,Professor Horista
158,,Fundação Educacional do Município de Assis,1994,,Analista de Sistema
54,,Fundação Educacional Hansa Hamonia,2000,2000,Professor substituto
321,,Fundação Estadual de Proteção Ambiental Henrique Luís Roessler,2003,2003,sem enquadramento
321,,Fundação Estadual de Proteção Ambiental Henrique Luís Roessler,1999,1999,Membro da Câmara Técnica Provisória
355,,Fundação Hospitalar Santa Terezinha,2013,2015,Estagiário
29,,Fundação Instituto Brasileiro de Geografia e Estatística,2011,,Analista de Planejamento
212,,Fundação para o Desenvolvimento de Recursos Humanos,2011,2012,Estagiário no Banco Banrisul
321,,Fundação Parque Tecnológico Itaipu Brasil,2014,2015,Conteudista
428,14,Fundação Paulista de Tecnologia e Educação,1991,2001,Professor
107,,Fundação Rio Madeira,2003,2004,Pesquisador
81,,Fundação Universidade Federal do Rio Grande,2000,2004,estagiário
306,15,Fundação Universidade Regional de Blumenau,2006,2011,Auxiliar em assuntos de informatica
376,,Future Generation Computer Systems-The International Journal of eScience,2016,,
377,,Gaia Informática,1999,2000,Desenvolvedor Lotus Notes
207,,Garcia Informática,2002,2004,Técnico em informática
83,,Georgia Institute of Technology,2002,2002,"College of Computing, Atlanta, USA"
232,,GETNET Tecnologia,2010,2018,Coordenador de TI
83,,GIScience and Remote Sensing,2004,,
321,,Global Engenharia,2001,2002,Apoio Técnico
321,,Global Engenharia,2002,2002,Apoio Técnico
321,,Global Engenharia,2016,2018,Assessoria Técnica - Elaboração PGIRS/CISGA
211,,Global Village Telecom,2001,2002,Estagiário Suporte Técnico
36,,Godigital Tecnologia e Participações,2008,2009,Pesquisador e Desenvolvedor de Software
21,,Godigital Tecnologia e Participações,2008,2011,Pesquisador e Desenvolvedor
118,,Godigital Tecnologia e Participações,2010,2010,Consultor
291,,Governo do Estado do Rio Grande do Sul,2013,2015,Assistente Administrativo
130,,Governo do Estado do Rio Grande do Sul,2011,,Professor
290,,GRUPO DASS,2011,,Programador de Software
82,,Gsti Tecnologia da Informação,2000,2000,Pessoa Jurídica
89,,GVDasa Informática,2011,2014,Consultor de Inovação
369,,HealthPlan Services,2012,2014,Desenvolvedor de Software Sênior
376,,HELIYON,2019,2019,
225,,Hewlett Packard,2010,2010,Pesquisador
81,,Hewlett Packard Brasil Ltda (RS),2006,,Bolsista
91,,Hewlett-Packard,2006,2007,Bolsista
373,,Hoplon Infotainment,2005,2006,Administrador de Bancos de DAdos
384,,Hospital e Maternidade Dom Orione,2003,2014,Coordenador de Tecnologia da Informação
145,,HSBC Bank Brasil S.A.,2006,2010,Analista de Sistemas
424,,IBM Brasil,2008,,Analista de Suporte
58,,IBM do Brasil Indústria Máquinas e Serviços Ltda,2006,,Engenheiro de Software Staff
240,,IC1 Soluções Computacionais,2011,2013,Desenvolvedor Web
78,,Idea Tecnologia da Informação Ltda.,2004,2006,Desenvolvedor JAVA
231,,Ideiah Soluções em Software Júnior,2012,2013,Diretor Administrativo
107,,IEEE Access,2017,,
376,,IEEE Access,2020,,
169,,IEEE Access,2018,2018,
107,,IEEE IT Professional,2017,,
83,,IEEE Multimedia,2015,,
376,,IEEE T SERV COMPUT,2014,,
225,,IEEE Transactions on Knowledge and Data Engineering (Print),2016,,
376,,IEEE Transactions on Parallel and Distributed Systems (Print),2014,,
135,,IET Power Electronics,2009,,
258,,"IMB BRASIL-INDUSTRIA, MAQUINAS E SERVIÇOS LTDA",2006,2012,Funcionário
135,,Incubadora Tecnólogica de Santa Maria,2002,2003,Sócio-Empreendedor
107,,INFORMAÇÃO &amp,2018,2018,
119,,Information Systems,2008,2008,
43,,INFORMATION SYSTEMS,2019,,
107,,Information Systems (Elsevier),2020,,
83,,Information Systems Journal,2015,,
213,,Inhonex LLA,2011,2013,Administrador de Banco de Dados
64,,INNOVARE INFORMÁTICA,2005,2006,Programador Pleno
376,,Institut National de Recherche en Informatique et en Automatique - Siège,2017,,
83,,Instituto Brasileiro de Tecnologia Avançada,2004,2006,
373,,Instituto de Ensino Superior da Grande Florianópolis,2018,,Professor
321,,Instituto de Estudos e Pesquisas Ambientais Sociais Econômicas e Em Direito,2002,2004,Consultoria
21,,Instituto de Informática,2006,2007,Professor horista
321,128,Instituto de Pesquisa Econômica Aplicada - DF,2011,2011,Bolsista
41,129,Instituto de Pesquisas Eldorado - Brasília,2010,,Analista de Software Pleno
181,130,Instituto de Previdência do Estado do Rio Grande do Sul,2014,2014,Analista de Sistemas
155,131,Instituto do Recôncavo de Tecnologia,2008,2008,Estagiária
118,132,Instituto Estadual de Educação Nossa Senhora Imaculada,2018,,
66,127,Instituto Evandro Chagas,2013,,Analista de Gestão - Banco de Dados
239,19,Instituto Federal Catarinense,2010,2011,Desenvolvedor
239,19,INSTITUTO FEDERAL CATARINENSE,2014,2017,BOLSISTA DE PESQUISA
239,19,INSTITUTO FEDERAL CATARINENSE,2017,,Professor de Ensino Básico
243,19,Instituto Federal Catarinense,2011,2012,
211,19,Instituto Federal Catarinense,2012,2014,"Professor do Ensino Básico, Téc. e Tecnológic"
211,19,Instituto Federal Catarinense,2014,,Professor de Ensino Básico Téc. e Tecnológico
211,19,Instituto Federal Catarinense,2016,2017,Coordenador de Curso Técnico
54,19,Instituto Federal Catarinense - Campus Camboriú,2010,,Professor EBTT
239,19,Instituto Federal Catarinense Campus Camboriú,2013,,Técnico em Tecnologia da Informação
274,134,Instituto Federal de Educação Ciência e Tecnologia de Rondônia,2016,,Professor de Informática
274,134,Instituto Federal de Educação Ciência e Tecnologia de Rondônia,2019,,Coordenador de Pesquisa e Inovação
274,134,Instituto Federal de Educação Ciência e Tecnologia de Rondônia,2017,2019,Coordenador de Formação Inicial e Continuada
274,134,Instituto Federal de Educação Ciência e Tecnologia de Rondônia,2018,2019,Coordenador da Rede de Incubadoras - Calama
220,18,"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo",2016,,Pesquisador
228,133,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",2017,,Analista de TI
200,133,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",2020,,Professor de informática
188,133,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",2011,2012,Estagiário no Suporte (TI)
118,133,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",2010,,Professor
369,133,"Instituto Federal de Educação, Ciência e Tecnologia Sul-rio-grandense",2017,,Docente
129,133,"Instituto Federal de Educação, Ciência e Tecnologia Sul-Riograndense",2008,,"Prof. Ensino Básico, Técnico e Tecnológico"
