id_instituicao,id_autor,INÍCIO,FIM,FUNCAO
110,20,2015,2016,Coordenadora de Curso de Graduação
112,211,2008,2008,Bolsista
113,211,2009,2009,Professor Assistente
114,59,2011,2012,Professor Adjunto
115,76,2005,,Professor Adjunto
116,5,2007,2009,Professor Adjunto
117,107,2006,2014,Professor
118,92,2006,,Professor
119,145,2011,2015,Professor
120,40,2004,2004,Professor Assistente
121,66,2011,2013,Professor Horista
122,384,2015,2018,Professor
123,130,2011,2011,Docencia Ensino Superior
124,43,2001,2004,Professor Horista
125,435,2008,2010,Colaborador
126,83,2004,2005,Horista
127,66,2013,,Analista de Gestão - Banco de Dados
128,321,2011,2011,Bolsista
129,41,2010,,Analista de Software Pleno
130,181,2014,2014,Analista de Sistemas
131,155,2008,2008,Estagiária
132,118,2018,,
133,228,2017,,Analista de TI
133,200,2020,,Professor de informática
133,188,2011,2012,Estagiário no Suporte (TI)
133,118,2010,,Professor
133,369,2017,,Docente
133,129,2008,,"Prof. Ensino Básico, Técnico e Tecnológico"
133,129,2009,2010,Coordenador Curso Superior de Tecnologia
133,129,2013,2015,Coordenador do Curso TSPI
133,369,2015,2015,Professor Substituto
134,274,2016,,Professor de Informática
134,274,2019,,Coordenador de Pesquisa e Inovação
134,274,2017,2019,Coordenador de Formação Inicial e Continuada
134,274,2018,2019,Coordenador da Rede de Incubadoras - Calama
135,428,2010,,"Professor Ensino Básico, Tec e Tecnológico"
136,43,2004,2006,Professor Substituto
137,107,2011,2011,Membro de Comissão
137,89,2014,2016,
137,89,2016,2018,
138,83,1997,1999,Professor convidado
139,428,2000,2001,Professor Assistente III
140,89,2014,2014,Pesquisador Visitante
141,135,2014,2017,Professor
142,292,2003,2003,Professor
143,140,2008,2009,estagiário
143,140,2010,2010,Programador de Sistemas II
143,268,2019,2019,Tutoria de Cursos EAD
144,321,2006,,Parecerista Ad hoc
145,28,2008,2008,Professor de Pós-Graduação
146,28,2016,,Pesquisador no Lab of Virtual Enterprises
147,244,2019,2020,Professor
147,244,2020,,Professor
147,268,2017,,Professor Parcial
147,373,2018,,Professor
148,253,2011,2011,Projeto Inclusão Digital no Norte do Paraná
148,253,2012,2013,Projeto Robótica Educacional
148,253,2013,2014,Projeto AGILE ROLAP
149,384,2018,,Professor Adjunto A
150,165,2001,2004,Consultor
151,119,2009,2011,Pesquisador
152,107,2014,2015,Professor Adjunto-A
152,107,2015,2018,Professor Visitante
154,91,2016,2019,Analista de TI
155,376,2013,2015,Professor Adjunto I
155,376,2015,2017,Professor Adjunto II
155,376,2017,2019,Professor Adjunto III
155,376,2019,,Professor Adjunto IV
156,212,2011,2011,Estagiário na área de Sistemas de Informação
157,61,2005,,Professor Assistente
157,50,1993,1995,Professor adjunto
157,419,1999,2000,PROFESSORA HORISTA
157,123,2004,2006,Professor Horista
158,83,1999,1999,Professor convidado
160,83,2017,2017,Estágio sênior financiado pela CAPES
162,19,2000,2000,Desenvolvedor
163,123,2006,2007,Bolsista de doutorado - estágio sanduíche
164,309,2014,2014,Assistente de Pesquisa
165,83,2013,2013,"Information Management Lab, Piraeus, Greece"
166,19,2008,2008,Pesquisador
167,377,2007,2010,Teaching Assistant
