id,autor_id,artigo_id,ordem
919,384,3922,
920,376,3728,
921,89,1976,
922,139,519,
923,139,702,
924,28,767,
925,28,2744,
926,28,3645,
927,422,1984,
928,274,3080,
929,321,3136,
930,169,3873,
931,384,3924,
932,129,3068,
933,129,3150,
934,129,3069,
935,50,2950,
936,68,742,
937,64,1680,
938,50,1750,
939,115,2650,
940,50,2757,
941,135,3195,
942,89,2473,
943,232,2508,
944,321,669,
945,321,681,
946,89,2195,
947,107,3542,
948,376,1871,
949,61,998,
950,258,3883,
951,48,1251,
952,28,1124,
953,48,1303,
954,28,1245,
955,428,1464,
956,419,2329,
957,376,1873,
958,376,3731,
959,376,1867,
960,20,704,
961,376,1469,
962,43,2656,
963,20,705,
964,20,703,
965,123,1641,
966,376,3908,
967,376,1661,
968,321,2988,
969,321,2719,
970,321,2973,
971,321,2718,
972,171,1587,
973,321,1192,
974,321,654,
975,321,658,
976,428,1320,
977,321,3516,
978,29,1081,
979,135,1672,
980,135,2271,
981,64,1904,
982,50,1970,
983,321,3222,
984,129,3066,
985,83,285,
986,123,979,
987,119,1096,
988,321,2818,
989,419,2051,
990,376,2076,
991,19,2795,
992,19,2796,
993,83,283,
994,61,556,
995,28,594,
996,54,2314,
997,268,3414,
998,28,682,
999,40,2231,
1000,119,2004,
1001,376,1481,
1002,43,2113,
1003,376,1807,
1004,376,1614,
1005,119,2786,
1006,258,3084,
1007,50,3948,
1008,107,2185,
1009,119,3332,
1010,89,3010,
1011,89,3102,
1012,212,3637,
1013,50,1906,
1014,54,3422,
1015,50,3464,
1016,422,2484,
1017,66,985,
1018,107,1833,
1019,376,2078,
1020,107,1310,
1021,40,3319,
1022,107,2465,
1023,107,2991,
1024,50,2948,
1025,376,2073,
1026,119,1796,
1027,50,3465,
1028,422,3532,
1029,107,3563,
1030,43,3130,
1031,422,3035,
1032,422,2759,
1033,422,3285,
1034,376,2079,
1035,40,2563,
1036,384,3960,
1037,384,3963,
1038,107,1748,
1039,428,462,
1040,258,1628,
1041,428,970,
1042,107,3408,
1043,19,1304,
1044,43,3674,
1045,258,3678,
1046,36,699,
1047,36,735,
1048,129,2514,
1049,59,2088,
1050,281,3981,
1051,20,1085,
1052,123,1135,
1053,119,1290,
1054,123,1839,
1055,119,710,
1056,50,1171,
1057,107,1746,
1058,119,1632,
1059,83,523,
1060,19,2259,
1061,19,2260,
1062,190,1353,
1063,19,2536,
1064,321,2679,
1065,28,3281,
1066,278,1148,
1067,28,2287,
1068,321,1127,
1069,321,1038,
1070,135,1675,
1071,107,1747,
1072,321,1504,
1073,321,1713,
1074,384,1993,
1075,321,3523,
1076,419,2904,
1077,321,877,
1078,321,2678,
1079,321,2410,
1080,321,400,
1081,321,1063,
1082,321,1068,
1083,321,3831,
1084,321,497,
1085,321,3517,
1086,376,3443,
1087,321,3227,
1088,321,859,
1089,321,1182,
1090,321,874,
1091,321,490,
1092,321,500,
1093,321,412,
1094,28,694,
1095,135,840,
1096,321,3503,
1097,321,3977,
1098,321,3795,
1099,321,2866,
1100,321,3134,
1101,321,3254,
1102,19,3628,
1103,321,3798,
1104,258,2249,
1105,321,3514,
1106,56,1421,
1107,321,2873,
1108,321,1734,
1109,258,3607,
1110,321,3821,
1111,321,3498,
1112,321,2398,
1113,321,1505,
1114,321,3803,
1115,28,2482,
1116,244,2646,
1117,50,2769,
1118,50,1902,
1119,64,1017,
1120,50,1073,
1121,50,2377,
1122,321,1199,
1123,28,3667,
1124,28,3119,
1125,321,2148,
1126,376,3187,
1127,321,3240,
1128,321,2400,
1129,321,2149,
1130,258,3477,
1131,446,3606,
1132,19,3354,
1133,376,3739,
1134,83,2520,
1135,321,2680,
1136,321,2981,
1137,83,3072,
1138,321,1365,
1139,61,999,
1140,321,1941,
1141,76,305,
1142,420,2781,
1143,315,2470,
1144,54,2890,
1145,54,2895,
1146,321,2396,
1147,321,890,
1148,321,896,
1149,56,939,
1150,321,655,
1151,321,3225,
1152,321,2703,
1153,321,576,
1154,321,3243,
1155,135,1015,
1156,28,3661,
1157,321,2704,
1158,321,3829,
1159,321,3817,
1160,28,2845,
1161,321,758,
1162,321,765,
1163,321,3266,
1164,321,2446,
1165,28,1444,
1166,321,2150,
1167,321,3228,
1168,281,3374,
1169,135,1892,
1170,135,729,
1171,135,648,
1172,341,3335,
1173,258,3345,
1174,321,2151,
1175,203,2251,
1176,321,2681,
1177,321,671,
1178,376,3735,
1179,376,3439,
1180,321,418,
1181,321,477,
1182,321,478,
1183,321,370,
1184,321,3231,
1185,72,993,
1186,315,2467,
1187,321,3501,
1188,376,2081,
1189,321,962,
1190,321,2682,
1191,229,2334,
1192,376,1860,
1193,321,2434,
1194,321,2435,
1195,83,2521,
1196,211,2767,
1197,211,2857,
1198,376,2924,
1199,376,2832,
1200,21,2953,
1201,258,3083,
1202,229,3175,
1203,229,3177,
1204,229,3632,
1205,229,3722,
1206,256,3494,
1207,236,2355,
1208,83,2522,
1209,213,3623,
1210,83,1782,
1211,83,2354,
1212,236,2518,
1213,83,1269,
1214,253,2236,
1215,28,2562,
1216,376,2627,
1217,56,965,
1218,56,1092,
1219,56,1425,
1220,50,359,
1221,89,1243,
1222,376,3730,
1223,28,591,
1224,56,1422,
1225,181,1568,
1226,321,1369,
1227,53,909,
1228,28,589,
1229,321,1041,
1230,321,1058,
1231,321,878,
1232,321,1044,
1233,321,1057,
1234,419,2024,
1235,321,3256,
1236,373,3327,
1237,419,3715,
1238,54,2322,
1239,54,2319,
1240,107,3937,
1241,89,2275,
1242,20,2506,
1243,83,608,
1244,119,1798,
1245,341,3600,
1246,54,2596,
1247,54,2597,
1248,89,2187,
1249,139,3040,
1250,135,3461,
1251,89,2265,
1252,229,3429,
1253,40,3320,
1254,376,2633,
1255,376,2936,
1256,43,2858,
1257,292,3398,
1258,321,2294,
1259,89,3383,
1260,49,1625,
1261,50,1634,
1262,83,2564,
1263,321,2967,
1264,321,1210,
1265,321,2827,
1266,321,1190,
1267,89,903,
1268,89,902,
1269,321,263,
1270,135,3452,
1271,240,3064,
1272,228,1965,
1273,89,2733,
1274,107,1230,
1275,54,2307,
1276,107,1229,
1277,64,3546,
1278,89,1238,
1279,19,3101,
1280,68,646,
1281,54,2886,
1282,321,1711,
1283,321,1536,
1284,119,527,
1285,376,3725,
1286,139,2210,
1287,139,2045,
1288,139,2214,
1289,28,3856,
1290,321,1193,
1291,135,1342,
1292,139,2766,
1293,139,3047,
1294,139,3299,
1295,139,3041,
1296,139,733,
1297,139,784,
1298,139,785,
1299,139,1991,
1300,139,2211,
1301,139,2212,
1302,139,1255,
1303,139,1396,
1304,139,1452,
1305,139,600,
1306,419,2327,
1307,139,393,
1308,321,2819,
1309,59,1306,
1310,83,2031,
1311,112,2576,
1312,190,2963,
1313,321,3142,
1314,28,2028,
1315,321,2442,
1316,321,2134,
1317,139,701,
1318,89,3014,
1319,417,2741,
1320,54,2316,
1321,54,2310,
1322,258,2528,
1323,107,1226,
1324,376,1479,
1325,376,1480,
1326,89,3550,
1327,281,3570,
1328,171,1416,
1329,171,1270,
1330,321,863,
1331,321,867,
1332,21,2043,
1333,139,826,
1334,139,917,
1335,40,2230,
1336,321,430,
1337,56,1420,
1338,118,1498,
1339,61,2574,
1340,61,1875,
1341,89,2188,
1342,3,1138,
1343,242,2661,
1344,242,2782,
1345,83,2828,
1346,135,1890,
1347,118,3486,
1348,118,3485,
1349,428,1463,
1350,419,2325,
1351,107,1968,
1352,321,764,
1353,321,1948,
1354,321,3239,
1355,321,1367,
1356,321,2411,
1357,321,3518,
1358,321,2142,
1359,321,873,
1360,321,2405,
1361,321,2176,
1362,321,1949,
1363,321,3820,
1364,188,3189,
1365,118,3217,
1366,118,3787,
1367,321,3234,
1368,321,2975,
1369,321,2127,
1370,321,3815,
1371,321,2406,
1372,321,881,
1373,321,1371,
1374,321,3133,
1375,321,1720,
1376,321,1736,
1377,118,3491,
1378,321,1730,
1379,321,3823,
1380,321,2683,
1381,321,2699,
1382,321,1528,
1383,321,3504,
1384,321,3252,
1385,321,1526,
1386,321,3505,
1387,321,1729,
1388,321,1925,
1389,321,2705,
1390,321,2706,
1391,321,1926,
1392,321,2707,
1393,422,1829,
1394,321,2125,
1395,321,1187,
1396,321,1062,
1397,321,2174,
1398,321,2976,
1399,28,593,
1400,21,3764,
1401,321,2412,
1402,89,2280,
1403,321,3978,
1404,321,3261,
1405,321,1933,
1406,321,2407,
1407,28,3280,
1408,321,1945,
1409,321,1950,
1410,321,1503,
1411,321,2413,
1412,321,1740,
1413,321,314,
1414,321,307,
1415,321,313,
1416,321,1208,
1417,321,1224,
1418,321,3241,
1419,321,2987,
1420,419,2328,
1421,28,2476,
1422,321,3832,
1423,321,577,
1424,321,578,
1425,321,660,
1426,321,2462,
1427,321,2120,
1428,43,3776,
1429,321,2448,
1430,107,3272,
1431,64,3003,
1432,56,1283,
1433,56,1419,
1434,118,3789,
1435,321,1951,
1436,321,2985,
1437,56,1301,
1438,422,3561,
1439,28,595,
1440,28,615,
1441,150,1574,
1442,83,1583,
1443,419,2057,
1444,321,3805,
1445,321,3836,
1446,321,2684,
1447,321,1942,
1448,321,1537,
1449,321,1184,
1450,158,2217,
1451,321,2414,
1452,321,2685,
1453,321,2141,
1454,321,2123,
1455,321,3810,
1456,321,3242,
1457,321,2395,
1458,321,2443,
1459,321,2686,
1460,321,1206,
1461,321,1045,
1462,321,3974,
1463,321,2666,
1464,321,1527,
1465,321,876,
1466,321,1061,
1467,321,372,
1468,321,2119,
1469,28,3026,
1470,321,2708,
1471,321,2709,
1472,321,2687,
1473,28,1616,
1474,321,2415,
1475,321,3262,
1476,321,1508,
1477,321,1204,
1478,321,2173,
1479,321,821,
1480,321,1542,
1481,89,1436,
1482,321,3226,
1483,321,1938,
1484,321,1507,
1485,321,2175,
1486,321,1040,
1487,43,2960,
1488,321,3506,
1489,321,3257,
1490,321,1541,
1491,321,433,
1492,321,2454,
1493,321,1733,
1494,321,1035,
1495,321,1066,
1496,321,1511,
1497,321,1513,
1498,321,1708,
1499,321,1805,
1500,321,1042,
1501,321,1051,
1502,321,1936,
1503,291,1651,
1504,321,1946,
1505,321,3260,
1506,321,1712,
1507,321,2399,
1508,321,2688,
1509,419,2323,
1510,76,2037,
1511,89,3275,
1512,419,1458,
1513,56,1274,
1514,135,1345,
1515,56,1418,
1516,321,1357,
1517,119,1285,
1518,19,535,
1519,19,534,
1520,417,3396,
1521,417,3647,
1522,417,3395,
1523,119,3688,
1524,139,300,
1525,56,931,
1526,321,2455,
1527,169,1775,
1528,169,1774,
1529,321,1194,
1530,321,1059,
1531,28,1561,
1532,130,1317,
1533,419,636,
1534,54,630,
1535,54,634,
1536,83,2241,
1537,40,2227,
1538,417,1552,
1539,118,1029,
1540,50,850,
1541,21,2653,
1542,376,3369,
1543,281,3651,
1544,274,3934,
1545,118,1033,
1546,107,3413,
1547,43,3673,
1548,258,3677,
1549,50,748,
1550,417,3131,
1551,321,2432,
1552,376,3905,
1553,36,698,
1554,36,736,
1555,417,2197,
1556,321,247,
1557,321,248,
1558,321,3406,
1559,321,3500,
1560,53,1082,
1561,376,3183,
1562,321,2810,
1563,43,3474,
1564,321,3138,
1565,422,1562,
1566,135,1895,
1567,301,3162,
1568,20,2224,
1569,321,2585,
1570,244,3940,
1571,50,3943,
1572,50,1681,
1573,119,3880,
1574,107,2464,
1575,107,1128,
1576,83,798,
1577,420,3592,
1578,89,2731,
1579,428,355,
1580,384,3304,
1581,83,812,
1582,89,510,
1583,19,3353,
1584,19,3100,
1585,258,3478,
1586,446,3609,
1587,56,801,
1588,107,3692,
1589,376,3947,
1590,419,2902,
1591,419,2053,
1592,129,2591,
1593,139,403,
1594,321,3818,
1595,321,3794,
1596,321,3363,
1597,321,3364,
1598,321,3362,
1599,135,2356,
1600,321,2144,
1601,321,2402,
1602,321,1377,
1603,321,1931,
1604,321,2416,
1605,20,3311,
1606,419,1849,
1607,321,2152,
1608,321,2869,
1609,376,1478,
1610,376,1331,
1611,376,2343,
1612,83,3671,
1613,376,3909,
1614,83,1268,
1615,376,2086,
1616,376,1612,
1617,376,3437,
1618,83,1406,
1619,321,1379,
1620,321,2178,
1621,321,333,
1622,321,2710,
1623,321,473,
1624,321,474,
1625,321,1050,
1626,321,1056,
1627,321,882,
1628,321,1924,
1629,321,2689,
1630,321,371,
1631,321,2807,
1632,321,1961,
1633,321,507,
1634,321,2665,
1635,321,2971,
1636,321,2409,
1637,321,486,
1638,321,499,
1639,258,3605,
1640,321,2690,
1641,321,506,
1642,321,417,
1643,321,429,
1644,321,431,
1645,321,278,
1646,321,419,
1647,321,3238,
1648,321,1726,
1649,321,416,
1650,321,434,
1651,321,423,
1652,321,2039,
1653,321,2390,
1654,321,3529,
1655,19,809,
1656,321,2417,
1657,169,3579,
1658,278,3447,
1659,225,3863,
1660,229,3111,
1661,321,566,
1662,321,579,
1663,321,1201,
1664,321,1372,
1665,419,1459,
1666,89,2559,
1667,229,3373,
1668,400,3588,
1669,119,526,
1670,119,611,
1671,40,3586,
1672,321,273,
1673,321,2436,
1674,321,2437,
1675,321,2433,
1676,107,3950,
1677,59,2637,
1678,83,3326,
1679,107,2995,
1680,376,2021,
1681,61,1876,
1682,61,2266,
1683,118,1500,
1684,119,1594,
1685,20,2505,
1686,107,2992,
