FONTE,TIPO,ID_LATTES,NOME,DOI,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,PERIODICO,9727123750824948,Nádia Puchalski Kozievitch,,Towards a Formal Theory for Complex Objects and Content-Based Image Retrieval,2011,Inglês,Journal of Information and Data Management - JIDM,SEM_DADOS,SEM_DADOS,"['Kozievitch, N. P. and', 'Almeida, J. G. A. and', 'Leite, N. J. and', 'Gonçalves, M. A. and', 'Fox E. A. and', 'MURTHY, U. and']"
LATTES,PERIODICO,9727123750824948,Nádia Puchalski Kozievitch,,An Infrastructure for Searching and Harvesting Complex Image Objects,2011,Inglês,Information Interaction Intelligence Journal,SEM_DADOS,SEM_DADOS,"['Kozievitch, N. P. and', 'TORRES, R. da S. . and', 'Santanchè, A. and', 'PEDRONETTE, D. C. and', 'CALUMBY, R. T. and', 'Fox E. A. and']"
LATTES,PERIODICO,9727123750824948,Nádia Puchalski Kozievitch,10.1080/03632415.2013.757982,SuperIDR: A Tool for Fish Identification and Information Retrieval.,2013,Inglês,"Fisheries (Bethesda, Md.)",SEM_DADOS,SEM_DADOS,"['MURTHY, U. and', 'Falcão, T. R. C. and', 'RAMOS, E. and', 'FOX, E. A. and', 'CHEN, Y. and', 'HALLERMAN, E. and', 'Orth, D.J. and', 'TORRES, R. da S. . and', 'Li, L. T. and', 'Kozievitch, N. P. and', 'ANDRADE, F. S. P. and']"
LATTES,PERIODICO,9727123750824948,Nádia Puchalski Kozievitch,,Reusing a Compound-Based Infrastructure for Searching and Annotating Video Stories,2012,Inglês,International Journal of Multimedia Technology,SEM_DADOS,SEM_DADOS,"['Kozievitch, N. P. and', 'Almeida, J. G. A. and', 'Torres, R. da S. and', 'Santanchè, A. and', 'Leite, N. J. and', 'MURTHY, U. and', 'Fox, E. A. and']"
LATTES,PERIODICO,9727123750824948,Nádia Puchalski Kozievitch,,Urban Mobility Challenges ? An Exploratory Analysis of Public Transportation Data in Curitiba,2016,Português,Revista de Informática Aplicada,SEM_DADOS,SEM_DADOS,"['VILA, J. J. R. and', 'Kozievitch, N. P. and', 'GADDA, T. M. C. and', 'FONSECA, K. V. O. and', 'ROSA, M. O. and', 'GOMES-JR, L. C. and', 'AKBAR, M. and']"
LATTES,PERIODICO,9727123750824948,Nádia Puchalski Kozievitch,10.1007/s40745-017-0104-5,Three Decades of Business Activity Evolution in Curitiba: A Case Study,2017,Inglês,ANNALS OF DATA SCIENCE,SEM_DADOS,SEM_DADOS,"['KOZIEVITCH, NÁDIA P. and', 'SILVA, THIAGO H. and', 'ZIVIANI, ARTUR and', 'COSTA, GIOVANI and', 'LUGO, GUSTAVO and']"
LATTES,PERIODICO,9727123750824948,Nádia Puchalski Kozievitch,10.1016/j.future.2019.02.011,BIGSEA: A Big Data analytics platform for public transportation information,2019,Inglês,Future Generation Computer Systems,SEM_DADOS,SEM_DADOS,"['ALIC, ANDY S. and', 'BRAZ, TARCISO and', 'BRITO, ANDREY and', 'ELIA, DONATELLO and', 'FIORE, SANDRO and', 'GUEDES, DORGIVAL and', 'LATTUADA, MARCO and', 'LEZZI, DANIELE and', 'MACIEL, MATHEUS and', 'MEIRA, WAGNER and', 'MESTRE, DEMETRIO and', 'ALMEIDA, JUSSARA and', 'MORAES, REGINA and', 'MORAIS, FABIO and', 'PIRES, CARLOS EDUARDO and', 'KOZIEVITCH, NÁDIA P. and', 'SANTOS, WALTER DOS and', 'SILVA, PAULO and', 'VIEIRA, MARCO and', 'ALOISIO, GIOVANNI and', 'ANDRADE, NAZARENO and', 'ANTUNES, NUNO and', 'ARDAGNA, DANILO and', 'BADIA, ROSA M. and', 'BASSO, TANIA and', 'BLANQUER, IGNACIO and']"
LATTES,PERIODICO,9727123750824948,Nádia Puchalski Kozievitch,10.1145/3237186,A Collaborative System for Suitable Wheelchair Route Planning,2018,Inglês,ACM TRANSACTIONS ON ACCESSIBLE COMPUTING (TACCESS),SEM_DADOS,SEM_DADOS,"['BARCZYSZYN, GUILHERME L. and', 'CAMENAR, LETÍCIA M. DE O. and', 'NASCIMENTO, DIEGO DE F. DO and', 'Kozievitch, N. P.;KOZIEVITCH, NÁDIA P.;KOZIEVITCH, NÁDIA PUCHALSKI;KOZIEVITCH, NADIA P.;KOZIEVITCH, NADIA;KOZIEVITCH, NADIA PUCHALSKI;KOZIEVITCH, NADIA PUCHASLKI and', 'SILVA, RICARDO D. DA and', 'ALMEIDA, L. D. A. and', 'SANTI, JULIANA DE and', 'MINETTO, RODRIGO and']"
LATTES,PERIODICO,9727123750824948,Nádia Puchalski Kozievitch,,Girl?s perception about Computer Science Courses and their career intention - Study with High School Students,2018,Inglês,REVISTA DE INFORMÁTICA APLICADA,SEM_DADOS,SEM_DADOS,"['GRANATTO, C. F. and', 'CAMENAR, L. M. O. and', 'Kozievitch, N. P. and', 'BERARDI, R. C. G. and', 'BIM, S. A. and', 'EMER, M. C. F. P. and', 'SETTI, M. G. and']"
LATTES,PERIODICO,9727123750824948,Nádia Puchalski Kozievitch,10.1109/access.2019.2936941,An Integrated Big and Fast Data Analytics Platform for Smart Urban Transportation Management,2019,Português,IEEE Access,SEM_DADOS,SEM_DADOS,"['FIORE, SANDRO and', 'MORAES, REGINA and', 'BASSO, TANIA and', 'KOZIEVITCH, NADIA P. and', 'FONSECA, KEIKO VERONICA ONO and', 'ANTUNES, NUNO and', 'VIEIRA, MARCO and', 'PALAZZO, COSIMO and', 'BLANQUER, IGNACIO and', 'MEIRA, WAGNER and', 'ALOISIO, GIOVANNI and', 'ELIA, DONATELLO and', 'PIRES, CARLOS EDUARDO and', 'MESTRE, DEMETRIO GOMES and', 'CAPPIELLO, CINZIA and', 'VITALI, MONICA and', 'ANDRADE, NAZARENO and', 'BRAZ, TARCISO and', 'LEZZI, DANIELE and']"
