FONTE,TIPO,ID_LATTES,NOME,DOI,TITULO,ANO,LANG,EVENTO/JOURNAL/LIVRO,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,PERIODICO,0149028226656519,Douglas Dyllon Jeronimo de Macedo,10.1109/MITP.2008.23,Building a National Telemedicine Network,2008,Inglês,IT Professional,SEM_DADOS,SEM_DADOS,"['WALLAUER, J. and', 'MACEDO, D. D. J.;Douglas D. J. de Macedo;de Macedo, D. D. J.;de Macedo, Douglas D. J.;Douglas Dyllon Jeronimo de Macedo;MACEDO, DOUGLAS D.J. DE;DE MACEDO, DOUGLAS D.J.;MACEDO, DOUGLAS DYLLON JERONIMO DE;MACEDO, DOUGLAS;MACEDO, DOUGLAS D. J. DE;DE MACEDO, DOUGLAS DYLLON JERONIMO;DOUGLAS DE MACEDO, D. J.;DE MACEDO, D. and', 'ANDRADE, R. and', 'WANGENHEIM, A. V. and']"
LATTES,PERIODICO,0149028226656519,Douglas Dyllon Jeronimo de Macedo,,Dinâmica da Digitação Aplicada a Ambientes Web,2008,Português,REIC. Revista Eletrônica de Iniciação Científica,SEM_DADOS,SEM_DADOS,"['PAVEZI, R. and', 'MACEDO, D. D. J.;Douglas D. J. de Macedo;de Macedo, D. D. J.;de Macedo, Douglas D. J.;Douglas Dyllon Jeronimo de Macedo;MACEDO, DOUGLAS D.J. DE;DE MACEDO, DOUGLAS D.J.;MACEDO, DOUGLAS DYLLON JERONIMO DE;MACEDO, DOUGLAS;MACEDO, DOUGLAS D. J. DE;DE MACEDO, DOUGLAS DYLLON JERONIMO;DOUGLAS DE MACEDO, D. J.;DE MACEDO, D. and', 'ANDRADE, R. and', 'WANGENHEIM, A. V. and']"
LATTES,PERIODICO,0149028226656519,Douglas Dyllon Jeronimo de Macedo,10.1504/IJHPSA.2009.032027,An architecture for DICOM medical images storage and retrieval adopting distributed file systems,2009,Inglês,International Journal of High Performance Systems Architecture (Print),SEM_DADOS,SEM_DADOS,"['MACEDO, D. D. J.;Douglas D. J. de Macedo;de Macedo, D. D. J.;de Macedo, Douglas D. J.;Douglas Dyllon Jeronimo de Macedo;MACEDO, DOUGLAS D.J. DE;DE MACEDO, DOUGLAS D.J.;MACEDO, DOUGLAS DYLLON JERONIMO DE;MACEDO, DOUGLAS;MACEDO, DOUGLAS D. J. DE;DE MACEDO, DOUGLAS DYLLON JERONIMO;DOUGLAS DE MACEDO, D. J.;DE MACEDO, D. and', 'PERANTUNES, H. W. G. and', 'WANGENHEIM, A. V. and', 'DANTAS, M.A.R. and']"
LATTES,PERIODICO,0149028226656519,Douglas Dyllon Jeronimo de Macedo,,Multitasking: a estimulação múltipla e seus efeitos na memória de trabalho,2008,Português,Revista de Biologia e Ciências da Terra,SEM_DADOS,SEM_DADOS,"['COSER, A. and', 'MACEDO, D. D. J.;Douglas D. J. de Macedo;de Macedo, D. D. J.;de Macedo, Douglas D. J.;Douglas Dyllon Jeronimo de Macedo;MACEDO, DOUGLAS D.J. DE;DE MACEDO, DOUGLAS D.J.;MACEDO, DOUGLAS DYLLON JERONIMO DE;MACEDO, DOUGLAS;MACEDO, DOUGLAS D. J. DE;DE MACEDO, DOUGLAS DYLLON JERONIMO;DOUGLAS DE MACEDO, D. J.;DE MACEDO, D. and', 'PAULISTA, C. and', 'FIALHO, F. A. P. and', 'MALDONADO, M. U. and']"
LATTES,PERIODICO,0149028226656519,Douglas Dyllon Jeronimo de Macedo,10.1088/1742-6596/341/1/012021,An Approach Using Parallel Architecture to Storage DICOM Images in Distributed File System,2012,Inglês,Journal of Physics. Conference Series (Online),SEM_DADOS,SEM_DADOS,"['SOARES, T. S. and', 'PRADO, T. C. and', 'DANTAS, M.A.R. and', 'MACEDO, D. D. J.;Douglas D. J. de Macedo;de Macedo, D. D. J.;de Macedo, Douglas D. J.;Douglas Dyllon Jeronimo de Macedo;MACEDO, DOUGLAS D.J. DE;DE MACEDO, DOUGLAS D.J.;MACEDO, DOUGLAS DYLLON JERONIMO DE;MACEDO, DOUGLAS;MACEDO, DOUGLAS D. J. DE;DE MACEDO, DOUGLAS DYLLON JERONIMO;DOUGLAS DE MACEDO, D. J.;DE MACEDO, D. and', 'BAUER, M. and']"
LATTES,PERIODICO,0149028226656519,Douglas Dyllon Jeronimo de Macedo,,Utilizando uma Rede de Referência Virtual para Definição de Parâmetros que Garantam o Desempenho de Serviços e Aplicações,2013,Português,E-tech: Tecnologias para Competitividade Industrial,SEM_DADOS,SEM_DADOS,"['FERNANDES, D. L. and', 'DUARTE, E. J. and', 'MACEDO, D. D. J. and']"
LATTES,PERIODICO,0149028226656519,Douglas Dyllon Jeronimo de Macedo,10.1007/s10278-013-9665-9,Optimization of PACS Data Persistency Using Indexed Hierarchical Data,2014,Português,Journal of Digital Imaging,SEM_DADOS,SEM_DADOS,"['PRADO, T. C. and', 'MACEDO, D. D. J. and', 'WANGENHEIM, A. V. and', 'DANTAS, M.A.R. and']"
LATTES,PERIODICO,0149028226656519,Douglas Dyllon Jeronimo de Macedo,,Plataforma Colaborativa Multimi&amp;#769;dia para Apoio ao Diagno&amp;#769;stico de Lesões Bucais em Ambientes de Teleodontologia,2014,Português,Revista da ABENO,SEM_DADOS,SEM_DADOS,"['MEURER, M. I. and', 'WANGENHEIM, A. V. and', 'ZIMMERMANN, C. and', 'MACEDO, D. D. J. and', 'PUEL, A. and', 'PRUSSE, M. and', 'NOBREGA, T. H. C. and']"
LATTES,PERIODICO,0149028226656519,Douglas Dyllon Jeronimo de Macedo,10.1016/j.jnca.2015.09.014,A cyber-resilient architecture for critical security services,2016,Inglês,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,SEM_DADOS,SEM_DADOS,"['KREUTZ, D. L. and', 'MALICHEVSKYY, O. and', 'FEITOSA, E. and', 'CUNHA, H. and', 'RIGHI, R. R. and', 'MACEDO, D. D. J. and']"
LATTES,PERIODICO,0149028226656519,Douglas Dyllon Jeronimo de Macedo,10.1504/IJGUC.2017.10006831,MAROQ: a resource allocation model driven through quality of experience,2017,Inglês,International Journal of Grid and Utility Computing,SEM_DADOS,SEM_DADOS,"['DAMATO, A. and', 'DANTAS, M.A.R. and', 'MACEDO, D. D. J. and']"
