FONTE,TIPO,ID_LATTES,NOME,DOI,TITULO,ANO,LANG,EVENTO/JOURNAL/LIVRO,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,10.1504/IJBPIM.2010.033176,Towards supporting the life cycle of large scale scientific experiments,2010,Inglês,International Journal of Business Process Integration and Management (Print),SEM_DADOS,SEM_DADOS,"['MATTOSO, M. and', 'WERNER, C. and', 'TRAVASSOS, G.H. and', 'BRAGANHOLO, V. and', 'OGASAWARA, E. and', 'OLIVEIRA, D. and', 'CRUZ, S. M. S. and', 'MARTINHO, W. and', 'MURTA, L. and']"
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,10.5120/1096-1432,Is Cloud Computing the Solution for Brazilian Researchers?,2010,Inglês,International Journal of Computer Applications,SEM_DADOS,SEM_DADOS,"['OLIVEIRA, D. and', 'OGASAWARA, E. and']"
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,10.6062/jcis.2011.02.01.0029,Similarity-based Workflow Clustering,2011,Inglês,Journal of Computational Interdisciplinary Sciences,SEM_DADOS,SEM_DADOS,"['SILVA, V. and', 'CHIRIGATI, F. and', 'MAIA, K. and', 'OGASAWARA, E. and', 'OLIVEIRA, D. and', 'BRAGANHOLO, V. and', 'MURTA, L. and', 'MATTOSO, M. and']"
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,,Capturing Distributed Provenance Metadata from Cloud-Based Scientific Workflows,2011,Inglês,Journal of Information and Data Management - JIDM,SEM_DADOS,SEM_DADOS,"['PAULINO, C. and', 'OLIVEIRA, D. and', 'CRUZ, S. M. S. and', 'CAMPOS, M. L. M. and', 'MATTOSO, M. and']"
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,10.1002/cpe.1786,Many Task Computing for Orthologous Genes Identification in Protozoan Genomes Using Hydra,2011,Inglês,Concurrency and Computation,SEM_DADOS,SEM_DADOS,"['COUTINHO, F. and', 'OGASAWARA, E. and', 'OLIVEIRA, D. and', 'BRAGANHOLO, V. and', 'LIMA, A. A. B. and', 'DAVILA, A. M. R. and', 'MATTOSO, M. and']"
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,10.1002/cpe.1880,An Adaptive Parallel Execution Strategy for Cloud-based Scientific Workflows,2012,Inglês,Concurrency and Computation,SEM_DADOS,SEM_DADOS,"['OLIVEIRA, D. and', 'OGASAWARA, E. and', 'OCAÑA, K. and', 'BAIAO, F. and', 'MATTOSO, M. and']"
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,10.1615/Int.J.UncertaintyQuantification.v2.i1.50,Uncertainty Quantification in Computational Predictive Models for Fluid Dynamics Using Workflow Management Engine,2012,Inglês,International Journal for Uncertainty Quantification,SEM_DADOS,SEM_DADOS,"['GUERRA, G. and', 'ROCHINHA, F. and', 'ELIAS, R. and', 'OLIVEIRA, D. and', 'OGASAWARA, E. and', 'DIAS, J. and', 'MATTOSO, M. and', 'COUTINHO, A. and']"
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,,An Algebraic Approach for Data-Centric Scientific Workflows,2011,Inglês,Proceedings of the VLDB Endowment,SEM_DADOS,SEM_DADOS,"['OGASAWARA, E. and', 'DIAS, J. and', 'OLIVEIRA, D. and', 'PORTO, F. and', 'VALDURIEZ, P. and', 'MATTOSO, M. and']"
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,,Ontology-based Semi-automatic Workflow Composition,2012,Inglês,Journal of Information and Data Management - JIDM,SEM_DADOS,SEM_DADOS,"['OLIVEIRA, D. and', 'OGASAWARA, E. and', 'DIAS, J. and', 'BAIAO, F. and', 'MATTOSO, M. and']"
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,10.1007/s10723-012-9227-2,A Provenance-based Adaptive Scheduling Heuristic for Parallel Scientific Workflows in Clouds,2012,Inglês,Journal of Grid Computing,SEM_DADOS,SEM_DADOS,"['OLIVEIRA, D. and', 'OCAÑA, K. and', 'BAIAO, F. and', 'MATTOSO, M. and']"
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,10.1016/j.future.2012.12.019,Performance evaluation of parallel strategies in public clouds: A study with phylogenomic workflows,2013,Inglês,Future Generation Computer Systems,SEM_DADOS,SEM_DADOS,"['OLIVEIRA, D. and', 'OCAÑA, K. and', 'OGASAWARA, E. and', 'DIAS, J. and', 'GONCALVES, J. and', 'BAIAO, F. and', 'MATTOSO, M. and']"
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,10.1016/j.future.2013.04.005,Designing a parallel cloud based comparative genomics workflow to improve phylogenetic analyses,2013,Inglês,Future Generation Computer Systems,SEM_DADOS,SEM_DADOS,"['OCAÑA, K. and', 'OLIVEIRA, D. and', 'DIAS, J. and', 'OGASAWARA, E. and', 'MATTOSO, M. and']"
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,,Performance Analysis of Data Filtering in Scientific Workflows,2013,Inglês,Journal of Information and Data Management - JIDM,SEM_DADOS,SEM_DADOS,"['GONCALVES, J. and', 'OLIVEIRA, D. and', 'OCAÑA, K. and', 'OGASAWARA, E. and', 'DIAS, J. and', 'MATTOSO, M. and']"
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,10.5335/rbca.2013.3270,Construção de ambiente para desenvolvimento de jogos educacionais baseados em interface de gestos,2013,Português,Revista Brasileira de Computação Aplicada,SEM_DADOS,SEM_DADOS,"['QUADROS, J. and', 'CASTANEDA, R. and', 'AMORIM, M. and', 'HERZOG, G. and', 'CARNEIRO, L. and', 'MENEZES, K. and', 'PINHEIRO, M. and', 'OLIVEIRA, D. and', 'OGASAWARA, E. and']"
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,,Experiencing Affective Agents in Simulation Games,2013,Português,Revista de Informática Aplicada,SEM_DADOS,SEM_DADOS,"['SALES, R. and', 'CLUA, E. and', 'PAES, A. and', 'OLIVEIRA, D. and']"
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,10.3991/ijes.v2i3.3818,Towards a UML-based Reference Model for Blended Learning,2014,Inglês,"International Journal of Recent Contributions from Engineering, Science &amp;amp; IT (iJES)",SEM_DADOS,SEM_DADOS,"['QUADROS, J. and', 'OLIVEIRA, D. and', 'QUEIROZ, A. and', 'OGASAWARA, E. and', 'SCHOCAIR, C. and']"
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,10.1002/cpe.3032,Chiron: a parallel engine for algebraic scientific workflows,2013,Inglês,Concurrency and Computation,SEM_DADOS,SEM_DADOS,"['OGASAWARA, E. and', 'DIAS, J. and', 'SILVA, V. and', 'CHIRIGATI, F. and', 'DE OLIVEIRA, DANIEL and', 'PORTO, F. and', 'VALDURIEZ, P. and', 'MATTOSO, M. and']"
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,10.1016/j.future.2014.10.009,Optimizing virtual machine allocation for parallel scientific workflows in federated clouds,2015,Inglês,Future Generation Computer Systems,SEM_DADOS,SEM_DADOS,"['COUTINHO, R. and', 'DRUMMOND, L. M. A. and', 'FROTA, Y. and', 'OLIVEIRA, D. and']"
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,10.1016/j.future.2014.11.017,Dynamic steering of HPC scientific workflows: A survey,2015,Inglês,Future Generation Computer Systems,SEM_DADOS,SEM_DADOS,"['MATTOSO, M. and', 'DIAS, J. and', 'OCAÑA, K. and', 'OGASAWARA, E. and', 'COSTA, F. and', 'HORTA, F. and', 'SILVA, V. and', 'DE OLIVEIRA, DANIEL and']"
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,10.2147/aabc.s64482,Parallel computing in genomic research: advances and applications,2015,Inglês,Advances and Applications in Bioinformatics and Chemistry,SEM_DADOS,SEM_DADOS,"['OCAÑA, K. and', 'OLIVEIRA, D. and']"
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,,Running Multi-relational Data Mining Processes in the Cloud: a Practical Approach for Social Networks,2015,Inglês,Communications in Computer and Information Science (Print),SEM_DADOS,SEM_DADOS,"['PAES, A. and', 'OLIVEIRA, D. and']"
LATTES,PERIODICO,0743793296062293,Daniel Cardoso Moraes de Oliveira,10.1016/j.future.2016.04.014,Multi-objective scheduling of Scientific Workflows in multisite clouds,2016,Inglês,Future Generation Computer Systems,SEM_DADOS,SEM_DADOS,"['LIU, J. and', 'PACITTI, E. and', 'VALDURIEZ, P. and', 'MATTOSO, M. and', 'OLIVEIRA, D. and']"
