FONTE,TIPO,ID_LATTES,NOME,DOI,TITULO,ANO,LANG,EVENTO/JOURNAL/LIVRO,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,Proposta metodológica para a elaboração de um Zoneamento Ambiental,2012,Português,RBC. Revista Brasileira de Cartografia (Online),SEM_DADOS,SEM_DADOS,"['CEMIN, Gisele and', 'SCHNEIDER, V. E. and', 'PERICO, E. and', 'FINOTTI, A. R. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,"Determinação da perda de solos por erosão laminar na bacia hidrográfica do arroio Marrecas, RS, Brasil",2013,Português,Scientia Plena,SEM_DADOS,SEM_DADOS,"['CEMIN, Gisele and', 'SCHNEIDER, V. E. and', 'PERICO, E. and', 'FINOTTI, A. R. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.14295/ras.v27i1.27061,CARACTERIZAÇÃO HIDROQUÍMICA DO SISTEMA AQUÍFERO SERRA GERAL NA REGIÃO NORDESTE DO RIO GRANDE DO SUL,2013,Português,Águas Subterrâneas,SEM_DADOS,SEM_DADOS,"['REGINATTO, Pedro Antônio Roehe and', 'AHLERT, S. and', 'SCHNEIDER, V. E. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,Sistema de Informações Gerenciais (SIG): Ferramenta de Monitoramento do Gerenciamento de Resíduos de Serviços de Saúde (RSS) e dos Custos de Tratamento,2013,Português,Revista de Gestao Ambiental e Sustentabilidade,SEM_DADOS,SEM_DADOS,"['SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and', 'STEDILE, N. L. R. and', 'BIGOLIN, M and', 'PAIZ, J. C. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.18226/23185279.v1iss1p19,Gestão ambiental de resíduos em um Hospital Escola e em um Laboratório de Anatomia Humana de uma Universidade,2013,Português,Scientia cum Industria,SEM_DADOS,SEM_DADOS,"['Schneider, Vania Elisabete and', 'MANFREDINI, K. L. and', 'Nascimento, I. F. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.4136/ambi-agua.1270,Hidrogeologia e hidroquímica dos aquíferos fraturados associados às rochas vulcânicas ácidas no Município de Carlos Barbosa (RS),2014,Português,Revista Ambiente &amp; Água,SEM_DADOS,SEM_DADOS,"['Bortolin, T. A. and', 'REGINATTO, Pedro Antônio Roehe and', 'Leão, M. I. and', 'SCHNEIDER, V. E. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.1590/0104-1169.3309.2499,Applying Nightingale charts to evaluate the heterogeneity of biomedical waste in a Hospital,2014,Inglês,Revista Latino-Americana de Enfermagem,SEM_DADOS,SEM_DADOS,"['PAIZ, J. C. and', 'STEDILE, N. L. R. and', 'SCHNEIDER, V. E. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.5380/dma.v33i0.36413,Cobrança pelo uso da água no Brasil: uma revisão metodológica,2015,Português,Desenvolvimento e Meio Ambiente (UFPR),SEM_DADOS,SEM_DADOS,"['FINKLER, N. R. and', 'MENDES, L. A. and', 'Bortolin, T. A. and', 'SCHNEIDER, V. E. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.5007/2175-7941.2014v31n3p677,Levando água à ebulição à temperatura ambiente?,2014,Português,Caderno Brasileiro de Ensino de Física (Online),SEM_DADOS,SEM_DADOS,"['CATELLI, F. and', 'BARBIERI, R. and', 'SCHNEIDER, V. E. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,Development of a monitoring network of water resources in urban areas as a support for municipal environmental management,2014,Português,WIT Transactions on Ecology and the Environment (Online),SEM_DADOS,SEM_DADOS,"['FINOTTI, A. R. and', 'FINKLER, Raquel and', 'SUSIN, N. and', 'Schneider, Vania Elisabete and', ""SILVA, Mauricio D'agostini and""]"
