FONTE,TIPO,ID,NOME,DOI,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,PERIODICO,4011022927056926,Rebeca Schroeder Freitas,10.1007/s11042-009-0272-1,Designing XML documents from conceptual schemas and workload information,2009,Inglês,Multimedia Tools and Applications,SEM_DADOS,SEM_DADOS,"['Schroeder, Rebeca and', 'Mello, Ronaldo dos Santos and']"
LATTES,PERIODICO,4011022927056926,Rebeca Schroeder Freitas,10.1108/17440081211282874,On evaluating an approach for balancing the trade-off on XML schema design,2012,Inglês,International Journal of Web Information Systems (Print),SEM_DADOS,SEM_DADOS,"['Schroeder, Rebeca and', 'Duarte, D and', 'MELLO, R. S. and']"
LATTES,PERIODICO,4011022927056926,Rebeca Schroeder Freitas,,Mineração em Grandes Massas de Dados Utilizando Hadoop MapReduce e Algoritmos Bio-inspirados: Uma Revisão Sistemática,2016,Português,Revista de Informática Teórica e Aplicada: RITA,SEM_DADOS,SEM_DADOS,"['MENEZES, S. and', 'SCHROEDER, R. and', 'PARPINELLI, R. S. and']"
LATTES,PERIODICO,4011022927056926,Rebeca Schroeder Freitas,10.1007/s10619-020-07296-w,A data distribution model for RDF,2020,Inglês,DISTRIBUTED AND PARALLEL DATABASES (DORDRECHT. ONLINE),SEM_DADOS,SEM_DADOS,"['Schroeder, Rebeca and', 'PENTEADO, RAQUELINE R. M. and', 'HARA, CARMEM S. and']"
