FONTE,TIPO,ID,NOME,DOI,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,PERIODICO,3867942762661182,Renata Galante,,Temporal and Versioning Model for Schema Evolution in Object-Oriented Databases,2005,Inglês,Data &amp; Knowledge Engineering,SEM_DADOS,SEM_DADOS,"['GALANTE, R.;Galante, Renata and', 'SANTOS, Clesio Saraiva dos and', 'EDELWEISS, Nina and', 'MOREIRA, Álvaro Freitas and']"
LATTES,PERIODICO,3867942762661182,Renata Galante,,Type-safe Versioned Object Query Language. (Versão estendida do artigo publicado no SBLP 2006),2006,Inglês,Journal of Universal Computer Science (Print),SEM_DADOS,SEM_DADOS,"['MACHADO, Rodrigo and', 'MOREIRA, Álvaro Freitas and', 'GALANTE, R.;Galante, Renata and', 'MORO, Mirella Moura and']"
LATTES,PERIODICO,3867942762661182,Renata Galante,,TVX - Time and Versions in XML,2007,Inglês,Revista de Informática Teórica e Aplicada,SEM_DADOS,SEM_DADOS,"['SANTOS, Rodrigo Gasparoni dos and', 'GALANTE, R.;Galante, Renata and', 'EDELWEISS, Nina and']"
LATTES,PERIODICO,3867942762661182,Renata Galante,,XML: Some Papers in a Haystack,2009,Inglês,SIGMOD Record,SEM_DADOS,SEM_DADOS,"['MORO, Mirella Moura and', 'BRAGANHOLO, Vanessa and', 'DORNELES, Carina Friedrich and', 'Duarte, Denio and', 'GALANTE, R.;Galante, Renata and', 'MELLO, Ronaldo dos Santos and']"
LATTES,PERIODICO,3867942762661182,Renata Galante,10.1016/j.jss.2011.01.027,A synergistic model-driven approach for persistence modeling with UML,2011,Inglês,The Journal of Systems and Software,SEM_DADOS,SEM_DADOS,"['Torres, Alexandre and', 'GALANTE, R.;Galante, Renata and', 'Pimenta, Marcelo S. and']"
LATTES,PERIODICO,3867942762661182,Renata Galante,,TaxonomyBrowser: a biodiversity data management system,2011,Inglês,Journal of Computational Interdisciplinary Sciences,SEM_DADOS,SEM_DADOS,"['Tavares, D. L. M. and', 'Cañete, S. C. and', 'Henkin, R. and', 'Estrela, P. C. and', 'GALANTE, R.;Galante, Renata and', 'FREITAS, C. M. D. S. and']"
LATTES,PERIODICO,3867942762661182,Renata Galante,10.1016/j.ipm.2011.01.009,An unsupervised heuristic-based approach for bibliographic metadata deduplication,2011,Inglês,Information Processing &amp; Management,SEM_DADOS,SEM_DADOS,"['Borges, Eduardo N. and', 'de Carvalho, Moisés G. and', 'Galante, Renata and', 'Gonçalves, Marcos André and', 'Laender, Alberto H.F. and']"
LATTES,PERIODICO,3867942762661182,Renata Galante,,Handling Temporal Information in Web Search Engine,2012,Inglês,SIGMOD Record,SEM_DADOS,SEM_DADOS,"['Manica, E. and', 'DORNELES, Carina Friedrich and', 'Galante, Renata and']"
LATTES,PERIODICO,3867942762661182,Renata Galante,,ENORM: An Essential Notation for Object-Relational Mapping,2014,Português,SIGMOD Record,SEM_DADOS,SEM_DADOS,"['Torres, A. and', 'GALANTE, R. and', 'PIMENTA, Marcelo Soares and']"
LATTES,PERIODICO,3867942762661182,Renata Galante,10.1109/tkde.2015.2416734,A Practical and Effective Sampling Selection Strategy for Large Scale Deduplication,2015,Inglês,IEEE Transactions on Knowledge and Data Engineering (Print),SEM_DADOS,SEM_DADOS,"['BIANCO, GUILHERME DAL and', 'Galante, Renata and', 'GONCALVES, MARCOS ANDRE and', 'CANUTO, SERGIO and', 'HEUSER, CARLOS A. and']"
LATTES,PERIODICO,3867942762661182,Renata Galante,10.1016/j.infsof.2016.09.009,"Twenty years of object-relational mapping: A survey on patterns, solutions, and their implications on application design",2017,Inglês,Information and Software Technology,SEM_DADOS,SEM_DADOS,"['Torres, Alexandre and', 'Galante, Renata and', 'Pimenta, Marcelo S. and', 'MARTINS, ALEXANDRE JONATAN B. and']"
LATTES,PERIODICO,3867942762661182,Renata Galante,,TaxonomyBrowser: a biodiversity data management system,2011,Inglês,journal of computacional interdisciplinary sciences,SEM_DADOS,SEM_DADOS,"['TAVARES, D. L. M. and', 'CANETE, S. C. and', 'HENKIN, R. and', 'ESTRELA, P. C. and', 'FREITAS, T. R. O. and', 'GALANTE, R.;Galante, Renata and', 'FREITAS, C. M. D. S. and']"
LATTES,PERIODICO,3867942762661182,Renata Galante,10.1002/asi.24167,Bag of textual graphs (BoTG): A general graph-based text representation model,2019,Inglês,Journal of the Association for Information Science and Technology,SEM_DADOS,SEM_DADOS,"['DOURADO, ÍCARO CAVALCANTE and', 'Galante, Renata and', 'Gonçalves, Marcos André and', 'DA SILVA TORRES, RICARDO and']"
LATTES,PERIODICO,3867942762661182,Renata Galante,10.1145/3365574,Combining URL and HTML Features for Entity Discovery in the Web,2019,Inglês,ACM Transactions on the Web,SEM_DADOS,SEM_DADOS,"['MANICA, EDIMAR and', 'DORNELES, Carina Friedrich and', 'Galante, Renata and']"
LATTES,PERIODICO,3867942762661182,Renata Galante,,Supporting Temporal Queries on XML Keyword Search Engines,2010,Inglês,Journal of Information and Data Management - JIDM,SEM_DADOS,SEM_DADOS,"['Manica, E. and', 'DORNELES, Carina Friedrich and', 'GALANTE, R.;Galante, Renata and']"
