FONTE,TIPO,ID,NOME,DOI,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,O Ambiente como Elemento de Comunicação,2001,Português,Ecos Revista,SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,Caminhos para a construção de uma política de comunicação para a qualidade: o papel das Relações Públicas,2001,Português,Revista FAMECOS,SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,Os(Des) Caminhos da Comunicação na Implantação do Programa de Qualidade na Universidade,2002,Português,Educação Brasileira,SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,Re) pensando la Comunicación en las Organizaciones,2003,Espanhol,Anais Dicoen 2003,SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,Qu'est-ce que la communication organisationelle'dans un pays de contact?,2004,Francês,Sociétés (Paris),SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,As organizações na Internet: um estudo camparativo,2005,Português,E-Compós (Brasília),SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,Revisitando a (Re) Construção Histórica das Relações Públicas,2005,Português,Conexão (Caxias do Sul),SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,Trajetórias teórico-conceituais da Comunicação Organizacional,2006,Português,Revista FAMECOS,SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,Comunicação Empresarial no Brasil: uma leitura crítica,2006,Português,InTexto,SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,Auditoria da Comunicação e Avaliação Institucional: um [novo] desafio para a Universidade,2006,Português,Animus (Santa Maria),SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,Comunicação e poder nas organizações: contribuições o núcleo de pesquisa,2007,Português,Revista Latinoamericana de Ciencias de la Comunicación,SEM_DADOS,SEM_DADOS,"['MOURA, C. P. and', 'SCROFERNEKER, Cleusa Maria Andrade and', 'SIMÕES, R. P. and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,Comunicação empresarial no Brasil: uma leitura crítica,2007,Português,Comunicação &amp; Sociedade,SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,"Relações públicas e comunicação organizacional: encontros, desencontros e reencontros",2009,Português,Organicom (USP),SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,A comunicação e as organizações como sistemas complexos: uma análise a partir das perspectivas de Niklas Luhmann e Edgar Morin,2008,Português,E-Compós (Brasília),SEM_DADOS,SEM_DADOS,"['CURVELLO, João José Azevedo and', 'SCROFERNEKER, Cleusa Maria Andrade and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,As Ouvidorias virtuais em instituições de ensino superior brasileiras,2010,Português,Organicom (USP),SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and']"
LATTES,PERIODICO,4838297393852726,Cleusa Maria Andrade Scroferneker,,As ?Ouvidorias? virtuais em Hospitais Universitários Brasileiros e Espanhóis,2013,Português,Revista Internacional de Relaciones Publicas,SEM_DADOS,SEM_DADOS,"['SCROFERNEKER, Cleusa Maria Andrade and', 'AMORIN, Lidiane Ramirez de and', 'ESCOBAR, R. and']"
