FONTE,TIPO,ID_LATTES,NOME,DOI,TITULO,ANO,LANG,EVENTO/JOURNAL/LIVRO,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,PERIODICO,1853313255345200,Eugênio de Oliveira Simonetto,,Um Sistema de Apoio à Pesquisa para o Incentivo da Piscicultura na Bacia do Rio Uruguai,2000,Português,Revista do CCEI,SEM_DADOS,SEM_DADOS,"['Ribeiro, J.C. and', 'Cardoso, F.C. and', 'SIMONETTO, E. O.;SIMONETTO, EUGÊNIO DE OLIVEIRA;SIMONETTO, EUG&amp;ECIRC;NIO DE OLIVEIRA and']"
LATTES,PERIODICO,1853313255345200,Eugênio de Oliveira Simonetto,,SEM_DADOS,1999,Português,Revista do CCEI,SEM_DADOS,SEM_DADOS,"['SIMONETTO, E. O.;SIMONETTO, EUGÊNIO DE OLIVEIRA;SIMONETTO, EUG&amp;ECIRC;NIO DE OLIVEIRA and', 'RUIZ, Duncan Dubugras Alcoba and']"
LATTES,PERIODICO,1853313255345200,Eugênio de Oliveira Simonetto,,O Usuário Final no Desenvolvimento de Software,1999,Português,Revista do CCEI,SEM_DADOS,SEM_DADOS,"['SIMONETTO, E. O.;SIMONETTO, EUGÊNIO DE OLIVEIRA;SIMONETTO, EUG&amp;ECIRC;NIO DE OLIVEIRA and']"
LATTES,PERIODICO,1853313255345200,Eugênio de Oliveira Simonetto,,Os Modelos de Programação Linear Sob a Ótica da Racionalidade Limitada,2003,Português,Revista do CCEI,SEM_DADOS,SEM_DADOS,"['SIMONETTO, E. O.;SIMONETTO, EUGÊNIO DE OLIVEIRA;SIMONETTO, EUG&amp;ECIRC;NIO DE OLIVEIRA and', 'LÖBLER, Mauri Leodir and']"
LATTES,PERIODICO,1853313255345200,Eugênio de Oliveira Simonetto,,O USO DE SIMULAÇÃO PARA O DIMENSIONAMENTO DE DEPÓSITOS DE RESÍDUOS SÓLIDOS URBANOS,2003,Português,REAd. Revista Eletrônica de Administração,SEM_DADOS,SEM_DADOS,"['SIMONETTO, E. O.;SIMONETTO, EUGÊNIO DE OLIVEIRA;SIMONETTO, EUG&amp;ECIRC;NIO DE OLIVEIRA and', 'CHERUBINI NETO, Reinaldo and']"
LATTES,PERIODICO,1853313255345200,Eugênio de Oliveira Simonetto,,Avaliação de um Sistema de Informação sob as Percepções de Usuários e Desenvolvedores,2004,Português,Revista do CCEI,SEM_DADOS,SEM_DADOS,"['LUCCA, Giana and', 'LÖBLER, Mauri Leodir and', 'SIMONETTO, E. O.;SIMONETTO, EUGÊNIO DE OLIVEIRA;SIMONETTO, EUG&amp;ECIRC;NIO DE OLIVEIRA and']"
LATTES,PERIODICO,1853313255345200,Eugênio de Oliveira Simonetto,10.14488/1676-1901.v4i4.1857,SCOLDSS - Sistema de Apoio à Decisão Aplicado ao Planejamento e Distribuição da Coleta Seletiva de Resíduos Sólidos,2004,Português,REVISTA PRODUÇÃO ONLINE,SEM_DADOS,SEM_DADOS,"['SIMONETTO, E. O.;SIMONETTO, EUGÊNIO DE OLIVEIRA;SIMONETTO, EUG&amp;ECIRC;NIO DE OLIVEIRA and', 'BORENSTEIN, Denis and']"
LATTES,PERIODICO,1853313255345200,Eugênio de Oliveira Simonetto,10.1016/j.wasman.2006.06.012,A decision support system for the operational planning of solid waste collection,2007,Inglês,WASTE MANAGEMENT,SEM_DADOS,SEM_DADOS,"['SIMONETTO, E. O.;SIMONETTO, EUGÊNIO DE OLIVEIRA;SIMONETTO, EUG&amp;ECIRC;NIO DE OLIVEIRA and', 'BORENSTEIN, Denis and']"
LATTES,PERIODICO,1853313255345200,Eugênio de Oliveira Simonetto,10.1590/S0104-530X2006000300008,Gestão operacional da coleta seletiva de resíduos sólidos urbanos - abordagem utilizando um sistema de apoio à decisão,2006,Português,Gestão e Produção (UFSCar),SEM_DADOS,SEM_DADOS,"['SIMONETTO, E. O.;SIMONETTO, EUGÊNIO DE OLIVEIRA;SIMONETTO, EUG&amp;ECIRC;NIO DE OLIVEIRA and', 'BORENSTEIN, Denis and']"
LATTES,PERIODICO,1853313255345200,Eugênio de Oliveira Simonetto,,ClockTool: Uma ferramenta web para a construção de bases de dados temporais,2004,Português,Hífen (Uruguaiana),SEM_DADOS,SEM_DADOS,"['SIMONETTO, E. O.;SIMONETTO, EUGÊNIO DE OLIVEIRA;SIMONETTO, EUG&amp;ECIRC;NIO DE OLIVEIRA and', 'NAZARI, Marcio Tamiosso and', 'RUIZ, Duncan Dubugras Alcoba and']"
LATTES,PERIODICO,1853313255345200,Eugênio de Oliveira Simonetto,,SIRSWeb - Sistema de Informações sobre Resíduos Sólidos via Web,2003,Português,Disciplinarum Scientia. Série Ciências Sociais e Humanas (Cessou em 2002. Cont. 1981-1381 Disciplinarum Scientia. Série Ciências Humanas),SEM_DADOS,SEM_DADOS,"['TOCCHETTO, A.L. and', 'SIMONETTO, E. O.;SIMONETTO, EUGÊNIO DE OLIVEIRA;SIMONETTO, EUG&amp;ECIRC;NIO DE OLIVEIRA and']"
LATTES,PERIODICO,1853313255345200,Eugênio de Oliveira Simonetto,,Proposta de um Modelo Espaço- Temporal Utilizando SGBD Open-Source,2008,Português,Gestão (Curitiba),SEM_DADOS,SEM_DADOS,"['SIMONETTO, E. O.;SIMONETTO, EUGÊNIO DE OLIVEIRA;SIMONETTO, EUG&amp;ECIRC;NIO DE OLIVEIRA and', 'Nilson Ribeiro Modro and', 'Luiz Antonio Pereira Neves and', 'SAUERESSIG, Juliano and']"
LATTES,PERIODICO,1853313255345200,Eugênio de Oliveira Simonetto,,MODELO DE BUSINESS INTELLIGENCE PARA AUXÍLIO NO PLANEJAMENTO DA COLETA DE RESÍDUOS ? ABORDAGEM UTILIZANDO SOFTWARE LIVRE,2008,Português,RNTI. Revista Negócios e Tecnologia da Informação (Online),SEM_DADOS,SEM_DADOS,"['SIMONETTO, E. O.;SIMONETTO, EUGÊNIO DE OLIVEIRA;SIMONETTO, EUG&amp;ECIRC;NIO DE OLIVEIRA and', 'Casagrande Jr., Eloy Fassi and']"
LATTES,PERIODICO,1853313255345200,Eugênio de Oliveira Simonetto,,"Tudo o que é sólido desmancha no ar. Os métodos usados nas pesquisas de Sistemas de Informação no Brasil, uma análise dos últimos cinco anos da área temática Impactos Socioculturais dos Sistemas de Informação no ENANPAD",2008,Português,Revista de Administração da UFSM,SEM_DADOS,SEM_DADOS,"['Fabio Tolfo Ribas and', 'Taís de Andrade and', 'LÖBLER, Mauri Leodir and', 'SIMONETTO, E. O.;SIMONETTO, EUGÊNIO DE OLIVEIRA;SIMONETTO, EUG&amp;ECIRC;NIO DE OLIVEIRA and']"
