FONTE,TIPO,ID_LATTES,NOME,DOI,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,PERIODICO,4309165322070547,Dinei André Rockenbach,,A influência do atendimento para satisfação e fidelização de associados em cooperativa de crédito,2017,Português,REVISTA DE GESTÃO E ORGANIZAÇÕES COOPERATIVAS,SEM_DADOS,SEM_DADOS,"['HOLZ, A. and', 'GESSI, N. L. and', 'MELCHIOR, C. and', 'ROCKENBACH, D. A.;ROCKENBACH, Dinei A. and', 'ZANINI, R. R. and', 'ALLEBRANDT, S. L. and']"
LATTES,PERIODICO,4309165322070547,Dinei André Rockenbach,10.1002/cpe.5786,Latency-aware adaptive micro-batching techniques for streamed data compression on graphics processing units,2020,Inglês,CONCURRENY AND COMPUTATION (ONLINE),SEM_DADOS,SEM_DADOS,"['STEIN, CHARLES M. and', 'ROCKENBACH, Dinei A. and', 'GRIEBLER, DALVAN and', 'TORQUATI, MASSIMO and', 'MENCAGLI, GABRIELE and', 'DANELUTTO, MARCO and', 'FERNANDES, LUIZ G. and']"
LATTES,PERIODICO,4309165322070547,Dinei André Rockenbach,10.5281/zenodo.1228502,Estudo Comparativo de Bancos de Dados NoSQL,2018,Português,REVISTA ELETRÔNICA ARGENTINA-BRASIL DE TECNOLOGIAS DA INFORMAÇÃO E DA COMUNICAÇÃO,SEM_DADOS,SEM_DADOS,"['ROCKENBACH, Dinei A. and', 'ANDERLE, N. and', 'GRIEBLER, D. and', 'SOUZA, S. and']"
