FONTE,TIPO,ID_LATTES,NOME,DOI,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,PERIODICO,1217067328251304,Sergio Luis Dill,SEM_DADOS,Aplicação de cluster computacional na análise do teor de umidade de solos irrigados,2007,Português,Revista do CCEI,SEM_DADOS,SEM_DADOS,"['PADOIN, E. L. and', 'SALVADORI, Fabiano and', 'BORGES, Roberto Schaedler and', 'BORGES, Pedro Augusto Pereira and', 'SEM_DADOS and']"
LATTES,PERIODICO,1217067328251304,Sergio Luis Dill,SEM_DADOS,Inclusão Digital: uma via de Inclusão Social,2007,Português,Revista do CCEI,SEM_DADOS,SEM_DADOS,"['PADOIN, E. L. and', 'PADOIN, F. Fabiana and', 'FRITZEN, Cledison Eduardo and', 'Poersccke, Greice C. and', 'SANTOS, Jamile Paula dos and', 'ROHDEN, Rafael Barasuol and', 'POSSOBOM, C. C. and', 'SEM_DADOS and']"
LATTES,PERIODICO,1217067328251304,Sergio Luis Dill,SEM_DADOS,Desafio de prover Qualidade de Serviço nas Redes de Sensores Sem Fio,2008,Português,Revista do CCEI,SEM_DADOS,SEM_DADOS,"['SAUSEN, Paulo Sergio and', 'PADOIN, Edson Luiz and', 'SALVADORI, Fabiano and', 'Mauricio de Campos and', 'SEM_DADOS and']"
LATTES,PERIODICO,1217067328251304,Sergio Luis Dill,SEM_DADOS,Sistema de Monitoramento de Pacientes através de Telefone Celular,2008,Português,Revista do CCEI,SEM_DADOS,SEM_DADOS,"['MACHADO, A. and', 'PADOIN, Edson Luiz and', 'SAUSEN, Paulo Sergio and', 'SALVADORI, Fabiano and', 'SEM_DADOS and']"
LATTES,PERIODICO,1217067328251304,Sergio Luis Dill,SEM_DADOS,A escolha de cultivares de soja como alternativa para beneficiar produtores,2009,Português,Revista INGEPRO,SEM_DADOS,SEM_DADOS,"['PADOIN, E. L. and', 'LEANDRO, Gedeon V and', 'Rech, Cassiano and', 'SEM_DADOS and']"
LATTES,PERIODICO,1217067328251304,Sergio Luis Dill,SEM_DADOS,AVALIAÇÃO DE METODOLOGIAS PARA PROJETO DE DATA WAREHOUSE E SUA APLICABILIDADE PRÁTICA,2009,Português,Revista do CCEI,SEM_DADOS,SEM_DADOS,"['PADOIN, Edson Luiz and', 'SAUSEN, Paulo Sergio and', 'Mauricio de Campos and', 'LEANDRO, G. V. and', 'SEM_DADOS and']"
LATTES,PERIODICO,1217067328251304,Sergio Luis Dill,SEM_DADOS,Mobilidade no Monitoramento de Subestações Elétricas por meio de Serviços Web,2006,Português,Disciplinarum Scientia. Série Ciências Naturais e Tecnológicas,SEM_DADOS,SEM_DADOS,"['IDALENCIO, T. A. and', 'PADOIN, E. L. and', 'SALVADORI, Fabiano and', 'CAMPOS, Maurício de and', 'SAUSEN, P. S. and', 'SEM_DADOS and']"
LATTES,PERIODICO,1217067328251304,Sergio Luis Dill,SEM_DADOS,Desenvolvimento de Um Sistema Para Aquisição de Corrente Alternada Utilizando Uma Bobina de Rogowski,2008,Português,Hífen (PUCRS. Impresso),SEM_DADOS,SEM_DADOS,"['SCHRENK, F. W. and', 'CAMARGO, R. F. and', 'SEM_DADOS and']"
