ID,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO,
1894333931411941,"Instituto Federal de Educação, Ciência e Tecnologia Sul-Riograndense",2009,2010,Coordenador Curso Superior de Tecnologia,
1894333931411941,"Instituto Federal de Educação, Ciência e Tecnologia Sul-Riograndense",2013,2015,Coordenador do Curso TSPI,
1894333931411941,Alexandre Tagliari Lazzaretti e Cia Ltda,2000,2008,Analista/Programador,
1894333931411941,Centro Nacional de Pesquisa de Trigo - CNPT,2012,,,
1894333931411941,Autônomo,1996,2000,Autônomo,
1894333931411941,Revista Conexões - Ciência e tecnologia,2014,,,
1894333931411941,Revista Brasileira de Computação Aplicada,2016,,,
1894333931411941,Prefeitura Municipal de Passo Fundo,2018,,,
2319733789095224,Junior Achievement,2007,2007,Gerente de Finanças,
2319733789095224,Prefeitura Municipal de Alegrete,2010,2011,Técnico em Computação,
2319733789095224,Universidade Federal do Pampa,2012,2013,Bolsista PIBIC Fapergs,
2319733789095224,The Wedding Opera,2014,2014,Desenvolvedor,
2319733789095224,SiDi,2019,,Desenvolvedor Pleno,
4441280690459628,GRUPO DASS,2011,,Programador de Software,
593153801544855,Universidade do Vale do Itajaí,2000,,Bolsista,
732331994776858,Universität Basel,2018,,Assistente de Pesquisa,
732331994776858,Universidade Federal do Rio Grande do Sul,2014,2018,Iniciação Científica,
732331994776858,Universidade Federal do Rio Grande do Sul,2013,2014,Iniciação Científica,
867460619908697,Universidade Federal de Santa Catarina,2011,,Analista de TI,
8974041265721813,Agrosoft,2001,2001,CIEE,
8974041265721813,Universidade Regional Integrada do Alto Uruguai e das Missões,2000,2000,PII - URI,
8974041265721813,Universidade Regional Integrada do Alto Uruguai e das Missões,1999,2000,PII - URI,
8974041265721813,Universidade Federal do Rio Grande do Sul,2001,2003,DTI-H,
8974041265721813,All Print Produções Gráficas,1998,1999,Estágio  CIEE,
8974041265721813,Cumerlato &amp, Schuster,2003,2004,Funcionario
4134668596803043,Instituto Federal Farroupilha,2010,2010,Aluno,
4134668596803043,AVMB Consultoria e Assessoria,2016,,Analista de Sistema,
4134668596803043,AVMB Consultoria e Assessoria,2016,2016,Programador Java Júnior,
4134668596803043,Universidade Federal de Santa Maria,2014,2015,,
743793296062293,Centro de Pesquisa e Desenvolvimento Leopoldo Américo Miguêz de Mello,2003,2004,Bolsista de Pesquisa,
743793296062293,Centro Universitário Plínio Leite,2011,2011,Professor Assistente,
743793296062293,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,2011,2013,Professor Temporário,
743793296062293,RETEC. Revista de Tecnologias (Ourinhos),2012,,,
743793296062293,Universidade Federal Fluminense,2013,2015,Professor Adjunto I,
743793296062293,Universidade Federal Fluminense,2015,2017,Professor Adjunto II,
743793296062293,Universidade Federal Fluminense,2017,2019,Professor Adjunto III,
743793296062293,Universidade Federal Fluminense,2019,,Professor Adjunto IV,
743793296062293,Journal of Information and Data Management - JIDM,2013,,,
743793296062293,Fundação Centro de Ciências e Educação Superior à Distância do Estado do RJ,2011,2014,Tutor de Banco de Dados,
743793296062293,Fundação Centro de Ciências e Educação Superior à Distância do Estado do RJ,2014,2016,Coordenador de Tutoria,
743793296062293,Fundação Centro de Ciências e Educação Superior à Distância do Estado do RJ,2016,,Conteudista,
743793296062293,Data &amp, Knowledge Engineering,2013,,
743793296062293,The Journal of Systems and Software,2013,,,
743793296062293,Journal of Biomedical Informatics,2013,2013,,
743793296062293,Journal of Grid Computing,2013,2013,,
743793296062293,J ZHEJIANG U-SCI C,2013,,,
743793296062293,Computer Journal (Print),2014,,,
743793296062293,Journal of the Brazilian Computer Society (Impresso),2014,,,
743793296062293,IEEE T SERV COMPUT,2014,,,
743793296062293,Laboratório Nacional de Computação Científica,2014,,Colaborador,
743793296062293,Applied Computing and Informatics,2014,2014,,
743793296062293,Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do RJ,2014,2014,,
743793296062293,Journal of Supercomputing,2014,,,
743793296062293,IEEE Transactions on Parallel and Distributed Systems (Print),2014,,,
743793296062293,BMC Bioinformatics,2014,,,
743793296062293,Universidade Federal do Rio de Janeiro,2012,,Colaborador,
743793296062293,Universidade Federal do Rio de Janeiro,2005,2008,Aluno de Mestrado,
743793296062293,Universidade Federal do Rio de Janeiro,2008,2012,Aluno de Doutorado,
743793296062293,Universidade Federal do Rio de Janeiro,2000,2004,Aluno de Graduação,
743793296062293,Journal of Computational Science,2016,,,
743793296062293,Journal of Computational Science,2016,2016,,
743793296062293,Conselho Nacional de Desenvolvimento Científico e Tecnológico,2016,,,
743793296062293,Institut National de Recherche en Informatique et en Automatique - Siège,2017,,,
743793296062293,JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING,2018,,,
743793296062293,VLDB JOURNAL,2018,,,
743793296062293,Future Generation Computer Systems-The International Journal of eScience,2016,,,
743793296062293,HELIYON,2019,2019,,
743793296062293,PeerJ,2019,,,
743793296062293,Netherlands Organisation for Scientific Research,2019,,,
743793296062293,IEEE Access,2020,,,
3086826486256981,Itau Unibanco,1997,2004,Programadora,
3086826486256981,Itau Unibanco,2004,2008,Analista Sistemas,
3086826486256981,Itau Unibanco,2008,2014,Analista Sistemas,
3086826486256981,Universidade Presbiteriana Mackenzie,2017,2017,Professor Pós Graduação,
9961895409746090,Audaces Automação e Informática Industrial,2010,2011,Estagiário em Programação,
9961895409746090,Micromar Indústria e Comércio Ltda,2011,2012,Estagiário em Programação,
9961895409746090,Micromar Indústria e Comércio Ltda,2012,2013,Analista de Sistemas,
9961895409746090,PROGIC Tecnologia Eletrônica,2015,2018,Analista de Sistemas,
9961895409746090,Centro de Informática e Automação do Estado de Santa Catarina,2018,,Analista de Sistemas,
7914190406004023,Pontifícia Universidade Católica do Paraná,2000,2001,,
7914190406004023,Pontifícia Universidade Católica do Paraná,2004,2006,Bolsista,
7914190406004023,Global Village Telecom,2001,2002,Estagiário Suporte Técnico,
7914190406004023,Faculdade Anchieta de Ensino Superior do Paraná,2008,2008,Professor Assistente I,
7914190406004023,Faculdade de Tecnologia de Curitiba,2008,2008,Bolsista,
7914190406004023,Faculdade de Tecnologia Expert,2009,2009,Professor Assistente,
7914190406004023,Centro Universitário Internacional,2009,2009,Professor Assistente,
7914190406004023,AVIS Consultorias e Treinamento,2010,2011,Bolsista,
7914190406004023,Instituto Federal Catarinense,2012,2014,"Professor do Ensino Básico, Téc. e Tecnológic",
7914190406004023,Instituto Federal Catarinense,2014,,Professor de Ensino Básico Téc. e Tecnológico,
7914190406004023,Instituto Federal Catarinense,2016,2017,Coordenador de Curso Técnico,
776438722468291,Universidade Federal da Fronteira Sul,2010,2011,Bolsista,
776438722468291,Universidade Federal da Fronteira Sul,2011,2012,Estagiário,
776438722468291,Universidade Federal da Fronteira Sul,2013,2013,Monitor,
776438722468291,BVM Máquinas de Venda Automatica,2009,2010,Estagiário,
776438722468291,Oren Systems Ltda,2012,2012,Programador,
776438722468291,Avior Soluções em Logística e Monitoramento LTDA,2012,2013,Programador,
776438722468291,Universidade Federal de Santa Catarina,2014,2016,Bolsita de Mestrado,
776438722468291,Universidade Federal de Santa Catarina,2016,2018,Bolsista Projeto Bridge,
776438722468291,Universidade Federal de Santa Catarina,2017,2020,Bolsista Doutorado,
776438722468291,Universidade do Oeste de Santa Catarina,2019,2020,Professor,
776438722468291,Universidade do Oeste de Santa Catarina,2020,,Professor,
9597436299457760,Ecocentauro Sistemas Inteligentes,2013,2015,Programador,
9597436299457760,Origammi,2015,,Desenvolvedor e Analista,
9597436299457760,Datacoper Software,2011,2012,Pesquisador,
9597436299457760,,,,,
